reviews,country,date,cleaned_reviews,sentiment_score,review_category
"As I am a CMA student so everytime I have to be motivated to focus on my study to clear my exams after reading this book which is very much helpful to get motivate. Really this book is much helpful to get motivate, to concentrate, to focus and one last thing the ideas and trick given by Shilpi Mam is really going to help if we follow with all handwork rather than thinking what we should do, how we will clear exams. So Thankyou Mam for such a wonderful thoughts sharing with us via this book.",India,6-March-2022,cma student everytim motiv focu studi clear exam read book much help get motiv realli book much help get motiv concentr focu one last thing idea trick given shilpi mam realli go help follow handwork rather think clear exam thankyou mam wonder thought share us via book,0.9789,positive
"This is one of the best study prep books I have ever come across, with good illustrations and techniques and maps to make it an enjoyable and more importantly a practical ready to use DIY approach to any tough to crack exam not just CA",India,5-March-2022,one best studi prep book ever come across good illustr techniqu map make enjoy importantli practic readi use diy approach tough crack exam ca,0.9273,positive
"This books is a MASTERPIECE. I would like to proudly state that I was a part of Shilpi Ma'am's first batch of CA Course and one of whose who cracked the exams under her guidance.When I read this book, I feel that Shilpi Ma'am's guidance (which we used to get from her during our classes) embedded in this books is a FOUNDATION for those who wants to achieve their target of become a CA.Although I was a student from a Marathi Medium, her guidance helped a lot and I cracked my all CA levels.I recommend to students who want to crack the CA course, must read this book and it will give you the direction to crack the exam.Further, I can strongly say that one who follows this book's guidance is bound to overcome the CA exams like I did.",India,6-March-2022,book masterpiec would like proudli state part shilpi maam first batch ca cours one whose crack exam guidancewhen read book feel shilpi maam guidanc use get class embed book foundat want achiev target becom caalthough student marathi medium guidanc help lot crack ca levelsi recommend student want crack ca cours must read book give direct crack examfurth strongli say one follow book guidanc bound overcom ca exam like,0.9541,positive
"Firstly congratulations to the shilpi ma'am. This book is extremely informative and beneficial for everyone CA, CMA, Cs students or Any professional courses student. I love the concept and ideas. I like Specially find out ur 'WHY' is more important. So much informative and give kick towords successful life😍 Thank you for your guidance.",India,7-March-2022,firstli congratul shilpi maam book extrem inform benefici everyon ca cma cs student profession cours student love concept idea like special find ur import much inform give kick toword success life thank guidanc,0.9755,positive
"This book will play a role of a catalyst in improving the score and attempts of the students in any professional courses. If the book is read with more and wide purpose, it will help in improving the quality and focus in professional career and life.A very good book gifted to society by a CA teaching since last 15 years.",India,5-March-2022,book play role catalyst improv score attempt student profession cours book read wide purpos help improv qualiti focu profession career lifea good book gift societi ca teach sinc last 15 year,0.9168,positive
Every student should read this book before choosing a career. The author eliminates the associated myths and shows a step by step technique towards success. Bob.Seshadri,India,6-March-2022,everi student read book choos career author elimin associ myth show step step techniqu toward success bobseshadri,0.5719,positive
I got interested to read this book after having a look at the reviews and it surely was worth it.The author knows how to connect with the readers because she starts off with examples about her personal life and connects all the dots by bringing in her learnings and her tremendous experience of teaching many students In-Person.Reading this book you will learn a lot of different techniques and ways to plan your exam preparation.Will highly recommend anyone to have a look at it irrespective of the exam you are preparing for because there's a lot of insightful information here.Thank you CA Shilpi Kothari!,India,6-March-2022,got interest read book look review sure worth itth author know connect reader start exampl person life connect dot bring learn tremend experi teach mani student inpersonread book learn lot differ techniqu way plan exam preparationwil highli recommend anyon look irrespect exam prepar there lot insight inform herethank ca shilpi kothari,0.862,positive
Every future Chartered Accountants should read this book this book motivated me to start again and the best part is how to crack the CA exam in 90 days really helped me.,India,7-March-2022,everi futur charter account read book book motiv start best part crack ca exam 90 day realli help,0.802,positive
The style of writing is captivating. The variety of examples can help you grasp the idea.,India,25-March-2022,style write captiv varieti exampl help grasp idea,0.4019,positive
This Book gives us clear idea about achieving the goals in dedicated maner..Nothing is Easy in life...the way author narrates her story is very inspiring for all students. Mam simply explains here the key to success in any field.. Must buy book especially for students cadre.,India,1-March-2022,book give us clear idea achiev goal dedic manernoth easi lifeth way author narrat stori inspir student mam simpli explain key success field must buy book especi student cadr,0.9359,positive
"As I am a CMA student so everytime I have to be motivated to focus on my study to clear my exams after reading this book which is very much helpful to get motivate. Really this book is much helpful to get motivate, to concentrate, to focus and one last thing the ideas and trick given by Shilpi Mam is really going to help if we follow with all handwork rather than thinking what we should do, how we will clear exams. So Thankyou Mam for such a wonderful thoughts sharing with us via this book.",India,6-March-2022,cma student everytim motiv focu studi clear exam read book much help get motiv realli book much help get motiv concentr focu one last thing idea trick given shilpi mam realli go help follow handwork rather think clear exam thankyou mam wonder thought share us via book,0.9789,positive
"This is one of the best study prep books I have ever come across, with good illustrations and techniques and maps to make it an enjoyable and more importantly a practical ready to use DIY approach to any tough to crack exam not just CA",India,5-March-2022,one best studi prep book ever come across good illustr techniqu map make enjoy importantli practic readi use diy approach tough crack exam ca,0.9273,positive
"This books is a MASTERPIECE. I would like to proudly state that I was a part of Shilpi Ma'am's first batch of CA Course and one of whose who cracked the exams under her guidance.When I read this book, I feel that Shilpi Ma'am's guidance (which we used to get from her during our classes) embedded in this books is a FOUNDATION for those who wants to achieve their target of become a CA.Although I was a student from a Marathi Medium, her guidance helped a lot and I cracked my all CA levels.I recommend to students who want to crack the CA course, must read this book and it will give you the direction to crack the exam.Further, I can strongly say that one who follows this book's guidance is bound to overcome the CA exams like I did.",India,6-March-2022,book masterpiec would like proudli state part shilpi maam first batch ca cours one whose crack exam guidancewhen read book feel shilpi maam guidanc use get class embed book foundat want achiev target becom caalthough student marathi medium guidanc help lot crack ca levelsi recommend student want crack ca cours must read book give direct crack examfurth strongli say one follow book guidanc bound overcom ca exam like,0.9541,positive
"Firstly congratulations to the shilpi ma'am. This book is extremely informative and beneficial for everyone CA, CMA, Cs students or Any professional courses student. I love the concept and ideas. I like Specially find out ur 'WHY' is more important. So much informative and give kick towords successful life😍 Thank you for your guidance.",India,7-March-2022,firstli congratul shilpi maam book extrem inform benefici everyon ca cma cs student profession cours student love concept idea like special find ur import much inform give kick toword success life thank guidanc,0.9755,positive
"This book will play a role of a catalyst in improving the score and attempts of the students in any professional courses. If the book is read with more and wide purpose, it will help in improving the quality and focus in professional career and life.A very good book gifted to society by a CA teaching since last 15 years.",India,5-March-2022,book play role catalyst improv score attempt student profession cours book read wide purpos help improv qualiti focu profession career lifea good book gift societi ca teach sinc last 15 year,0.9168,positive
Every student should read this book before choosing a career. The author eliminates the associated myths and shows a step by step technique towards success. Bob.Seshadri,India,6-March-2022,everi student read book choos career author elimin associ myth show step step techniqu toward success bobseshadri,0.5719,positive
I got interested to read this book after having a look at the reviews and it surely was worth it.The author knows how to connect with the readers because she starts off with examples about her personal life and connects all the dots by bringing in her learnings and her tremendous experience of teaching many students In-Person.Reading this book you will learn a lot of different techniques and ways to plan your exam preparation.Will highly recommend anyone to have a look at it irrespective of the exam you are preparing for because there's a lot of insightful information here.Thank you CA Shilpi Kothari!,India,6-March-2022,got interest read book look review sure worth itth author know connect reader start exampl person life connect dot bring learn tremend experi teach mani student inpersonread book learn lot differ techniqu way plan exam preparationwil highli recommend anyon look irrespect exam prepar there lot insight inform herethank ca shilpi kothari,0.862,positive
Every future Chartered Accountants should read this book this book motivated me to start again and the best part is how to crack the CA exam in 90 days really helped me.,India,7-March-2022,everi futur charter account read book book motiv start best part crack ca exam 90 day realli help,0.802,positive
The style of writing is captivating. The variety of examples can help you grasp the idea.,India,25-March-2022,style write captiv varieti exampl help grasp idea,0.4019,positive
This Book gives us clear idea about achieving the goals in dedicated maner..Nothing is Easy in life...the way author narrates her story is very inspiring for all students. Mam simply explains here the key to success in any field.. Must buy book especially for students cadre.,India,1-March-2022,book give us clear idea achiev goal dedic manernoth easi lifeth way author narrat stori inspir student mam simpli explain key success field must buy book especi student cadr,0.9359,positive
