reviews,country,date,cleaned_reviews,sentiment_score,review_category
"Didn’t expect this from Amazon, their official seller Cloudtail is duping people and selling the product for higher than MRP! The Max Retail Price (MRP) is now 7600₹, and I just bought this on the Amazon Great Indian Sale. The price listed on Amazon is way over MRP at 8990₹ and seller Cloudtail (Amazons Official Seller) has quoted a 1991₹ discount (approx 22% discount) on the initial quote of 8990₹, hence I have only received a 600₹ or 8% discount only. Never expected Amazon to follow these shady tactics that other e-commerce sites follow. Quite ridiculous!Regarding the product it’s good but not great, rarely there is a slight lag time and sometimes it wouldn’t register. The charge time is blazingly fast! If plugged into the iPad for charging in about 15 seconds you get 30mins of usablity. And around 20mins overall to charge 100%. There is no on/off button and it shuts down or goes into sleep mode when the iPad is or when the Pencil is not in use so you don’t have to worry about it. An extra tip and a lighining adapter is given so you charge it directly via your charging cable and charge times are about the same. Overall feel is great but some kind of protection is needed as it can easily roll off a table. You can see the battery percentage, if it’s connected or charging via the batteries widget on your iPad. It’s connected via low energy Bluetooth and once plugged into the iPad it automatically connects and it is ready for use.Overall I have returned the product as it’s simply not worth the price, and to top that Amazon is selling it over and above the MRP and then saying it’s on a sale which isn’t right! But if you’re an artist I’d suggest you give it a try and see for yourself and try to get it during an ‘actual’ sale! Anything below 6800₹ which is the actual price abroad, it maybe worth it to you.",India,12-October-2017,didnt expect amazon offici seller cloudtail dupe peopl sell product higher mrp max retail price mrp 7600 bought amazon great indian sale price list amazon way mrp 8990 seller cloudtail amazon offici seller quot 1991 discount approx 22 discount initi quot 8990 henc receiv 600 8 discount never expect amazon follow shadi tactic ecommerc site follow quit ridiculousregard product good great rare slight lag time sometim wouldnt regist charg time blazingli fast plug ipad charg 15 second get 30min usabl around 20min overal charg 100 onoff button shut goe sleep mode ipad pencil use dont worri extra tip lighin adapt given charg directli via charg cabl charg time overal feel great kind protect need easili roll tabl see batteri percentag connect charg via batteri widget ipad connect via low energi bluetooth plug ipad automat connect readi useoveral return product simpli worth price top amazon sell mrp say sale isnt right your artist id suggest give tri see tri get actual sale anyth 6800 actual price abroad mayb worth,0.8503,positive
"I had bought this to go along with the ipad 2018, and I have been using the two for about a month now.Earlier I had the samsung note 10.1 2014 edition, came with an s-pen stylus.It was good enough, and I used to take lecture notes on it for years.Now anybody who has ever used any samsung note model would know,that the s-pen is decent enough for most of your scribbling, doodling and note taking jobs...But it can't hold a candle to the apple pencil. The apple pencil simply blows it out of the water.Right off the bat, the lines are more precise, handwriting is vastly improved, drawing is a breeze, and note taking(even those including a lot of math) is just so much easier.And with dedicated note taking apps like goodnotes,and drawing apps like procreate;this is a worthwhile, no...a must have essential,for anyone who draws, sketches and takes notes digitally.",India,24-May-2020,bought go along ipad 2018 use two month nowearli samsung note 101 2014 edit came spen stylusit good enough use take lectur note yearsnow anybodi ever use samsung note model would knowthat spen decent enough scribbl doodl note take jobsbut cant hold candl appl pencil appl pencil simpli blow waterright bat line precis handwrit vastli improv draw breez note takingeven includ lot math much easierand dedic note take app like goodnotesand draw app like procreatethi worthwhil noa must essentialfor anyon draw sketch take note digit,0.9371,positive
"I bought the Apple Pencil for the iPad 9.7 6th Gen. And both the iPad and Apple Pencil has exceeded my expectations.Yes it's expensive but it's not overpriced. The quality is undoubtedly Apple. The performance is exceptionally well. As the name suggests, it's like holding a pencil. It's about the same size as a regular pencil, only heavier and cylindrical.Pros:1. Blazingly fast charging. About a minute of charging through iPad can give you about an hour of usage. The battery goes from 0% - 30% in 5 minutes. About 20 minutes for a full charge.2. It's very accurate and fast. The pressure sensitivity works really well.3. It's well balanced and feel natural in your hand. There is neat trick to it. If you put it on a flat surface it will always roll back to the Apple Pencil label on the chrome part.4. For all of the pros this one is the best. There is not much difference in performance whether you are using it with an iPad 6th Gen or iPad Pro (which is twice the price of iPad 6th Gen). The accuracy is similar to the point where you can't tell them apart. Sure there will be differences but they are not huge and will not affect your work.So if you are an artist on budget, both the iPad 6th Gen and Apple Pencil will not disappoint you!Cons:1. It's made of slippery hard plastic. Plus the rubber tip is smooth soft plastic. So there is not much friction to it while holding or drawing. I like the Wacom stylus on this front, it has a texture to it so it's much easier to hold.2. I wish it has the hexagonal shape instead of cylindrical just  like an real pencil. It would have been much easier to hold it then.Workaround for the less friction part:I bought a ₹10 pen with a rubber grip and applied the rubber on the pencil. All is well now. You can always opt out for a matte screen protector for the friction on the display.Overall it's a great product. Worth the money!",India,12-October-2017,bought appl pencil ipad 97 6th gen ipad appl pencil exceed expectationsy expens overpr qualiti undoubtedli appl perform except well name suggest like hold pencil size regular pencil heavier cylindricalpros1 blazingli fast charg minut charg ipad give hour usag batteri goe 0 30 5 minut 20 minut full charge2 accur fast pressur sensit work realli well3 well balanc feel natur hand neat trick put flat surfac alway roll back appl pencil label chrome part4 pro one best much differ perform whether use ipad 6th gen ipad pro twice price ipad 6th gen accuraci similar point cant tell apart sure differ huge affect workso artist budget ipad 6th gen appl pencil disappoint youcons1 made slipperi hard plastic plu rubber tip smooth soft plastic much friction hold draw like wacom stylu front textur much easier hold2 wish hexagon shape instead cylindr like real pencil would much easier hold thenworkaround less friction parti bought 10 pen rubber grip appli rubber pencil well alway opt matt screen protector friction displayoveral great product worth money,0.9955,positive
"Battery is pathetic, if you don't use apple pencil for couple of months the battey will die and you can't do anything to make it working again.Now whenever I see my dead apple pencil I curse apple for designing such a world class product with such a third class quality.Never buy this.",India,11-August-2018,batteri pathet dont use appl pencil coupl month battey die cant anyth make work againnow whenev see dead appl pencil curs appl design world class product third class qualitynev buy,-0.9468,negative
"My Apple Pencil stopped working after 2 weeks of purchase, showing battery is at 0%.Since then I am trying to charge it/ troubleshoot it. It is stuck at 0% (for more than 12 hrs).I contacted amazon customer support & they are giving me generic response like “replacement window is closed you need to invoke warranty”. Which could be a valid response if it has been a couple of month from purchase.With only 2weeks of purchase, my product has to go through a repair because amazon’s window is too short (to identify such issues) & have no policy to support customer’s interest beyond generic response.after bit or research i came across multiple such complains, So please beware of this product’s battery issue. It can very well develop just after closure of replacement window. You can’t really depend on Amazon support they are quite frankly useless!I would suggest you to thoroughly check for everything Within replacement window.",India,9-July-2018,appl pencil stop work 2 week purchas show batteri 0sinc tri charg troubleshoot stuck 0 12 hrsi contact amazon custom support give gener respons like replac window close need invok warranti could valid respons coupl month purchasewith 2week purchas product go repair amazon window short identifi issu polici support custom interest beyond gener responseaft bit research came across multipl complain pleas bewar product batteri issu well develop closur replac window cant realli depend amazon support quit frankli uselessi would suggest thoroughli check everyth within replac window,0.9472,positive
What a masterpiece of engineering it is.. U swipe.. U paint.. U brush.. Everything.. It follows ur order like the ginie.. It feels sturdy.. With purposefully a bit ammount of weight for better fit on palm.. Even i dropped it a couple of time and it is smiling me flat..... Best pencil.. I got it for 6080 under the big saving day offer.. Savage ya.. Even if it is 7000 it still worthy of money.. Cmon they are apple.. They dnt make quality compromises.. And i am not a half backed apple fan boy.. U can belive my review.. Go for it.. U ll smile.. Wishing for a like folks,India,24-May-2020,masterpiec engin u swipe u paint u brush everyth follow ur order like gini feel sturdi purpos bit ammount weight better fit palm even drop coupl time smile flat best pencil got 6080 big save day offer savag ya even 7000 still worthi money cmon appl dnt make qualiti compromis half back appl fan boy u beliv review go u smile wish like folk,0.9782,positive
"NEVER BUY EXPENSIVE APPLE PRODUCTS FROM AMAZON !!!!!.I bought the Apple Pencil first generation on October first week , it worked perfectly for nearly a month and then stopped working at all.  Went to Apple service Center and they gave a biggest shock  saying that they cannot verify the purchase as the serial no in invoice was not matching and they would not accept my pencil. I can’t even return the product now.Talked to Amazon and they told they will resolve this issue in 3 days. It’s been nearly a week now and no response from Amazon till now.  Kind of feel cheated by Amazon and appario retail.My humble advice to future buyers : Always verify serial no in invoice with product . If it’s not matching then refuse the delivery or return the product immediately.",India,3-September-2020,never buy expens appl product amazon bought appl pencil first gener octob first week work perfectli nearli month stop work went appl servic center gave biggest shock say cannot verifi purchas serial invoic match would accept pencil cant even return product nowtalk amazon told resolv issu 3 day nearli week respons amazon till kind feel cheat amazon appario retailmi humbl advic futur buyer alway verifi serial invoic product match refus deliveri return product immedi,-0.3676,negative
The pencil doesn't connect it shows low battery error !Faulty Product delivered to me !It doesn't charge doesn't connect only shows 3% low battery ! I checked it on Apple forums turns out that it is when the battery dies due to not charging for long time and it is beyond repair !I am really unhappy and considering to buy Logitech Crayon much better than this problem !,India,18-October-2018,pencil doesnt connect show low batteri error faulti product deliv doesnt charg doesnt connect show 3 low batteri check appl forum turn batteri die due charg long time beyond repair realli unhappi consid buy logitech crayon much better problem ,-0.9054,negative
"Apple makes dope things, we have to admire. It's really aesthetic. Looks dope, feels dope, writes dope. It is dope 🤘🤘🤘",India,14-November-2020,appl make dope thing admir realli aesthet look dope feel dope write dope dope ,0.4767,positive
"My opinion.,1, artists there are lot of drawings tablets that are much better than this2, paper-pen is much faster and easier to use, can't write a lot as its shown in those YouTube videos ( use a scanner app and upload your notes to google drive , then your notes will always be there with you )3, I use it to annotate PDF and do infographics this device ( apple pencil + ipad ) is very good for it but studying with electronic screen is not always easy.,( Buy it only if you can spare your extra money., Don't waste your saved money ) ,",India,11-August-2020,opinion1 artist lot draw tablet much better this2 paperpen much faster easier use cant write lot shown youtub video use scanner app upload note googl drive note alway 3 use annot pdf infograph devic appl pencil ipad good studi electron screen alway easi buy spare extra money dont wast save money ,0.2114,positive
"Didn’t expect this from Amazon, their official seller Cloudtail is duping people and selling the product for higher than MRP! The Max Retail Price (MRP) is now 7600₹, and I just bought this on the Amazon Great Indian Sale. The price listed on Amazon is way over MRP at 8990₹ and seller Cloudtail (Amazons Official Seller) has quoted a 1991₹ discount (approx 22% discount) on the initial quote of 8990₹, hence I have only received a 600₹ or 8% discount only. Never expected Amazon to follow these shady tactics that other e-commerce sites follow. Quite ridiculous!Regarding the product it’s good but not great, rarely there is a slight lag time and sometimes it wouldn’t register. The charge time is blazingly fast! If plugged into the iPad for charging in about 15 seconds you get 30mins of usablity. And around 20mins overall to charge 100%. There is no on/off button and it shuts down or goes into sleep mode when the iPad is or when the Pencil is not in use so you don’t have to worry about it. An extra tip and a lighining adapter is given so you charge it directly via your charging cable and charge times are about the same. Overall feel is great but some kind of protection is needed as it can easily roll off a table. You can see the battery percentage, if it’s connected or charging via the batteries widget on your iPad. It’s connected via low energy Bluetooth and once plugged into the iPad it automatically connects and it is ready for use.Overall I have returned the product as it’s simply not worth the price, and to top that Amazon is selling it over and above the MRP and then saying it’s on a sale which isn’t right! But if you’re an artist I’d suggest you give it a try and see for yourself and try to get it during an ‘actual’ sale! Anything below 6800₹ which is the actual price abroad, it maybe worth it to you.",India,12-October-2017,didnt expect amazon offici seller cloudtail dupe peopl sell product higher mrp max retail price mrp 7600 bought amazon great indian sale price list amazon way mrp 8990 seller cloudtail amazon offici seller quot 1991 discount approx 22 discount initi quot 8990 henc receiv 600 8 discount never expect amazon follow shadi tactic ecommerc site follow quit ridiculousregard product good great rare slight lag time sometim wouldnt regist charg time blazingli fast plug ipad charg 15 second get 30min usabl around 20min overal charg 100 onoff button shut goe sleep mode ipad pencil use dont worri extra tip lighin adapt given charg directli via charg cabl charg time overal feel great kind protect need easili roll tabl see batteri percentag connect charg via batteri widget ipad connect via low energi bluetooth plug ipad automat connect readi useoveral return product simpli worth price top amazon sell mrp say sale isnt right your artist id suggest give tri see tri get actual sale anyth 6800 actual price abroad mayb worth,0.8503,positive
"I had bought this to go along with the ipad 2018, and I have been using the two for about a month now.Earlier I had the samsung note 10.1 2014 edition, came with an s-pen stylus.It was good enough, and I used to take lecture notes on it for years.Now anybody who has ever used any samsung note model would know,that the s-pen is decent enough for most of your scribbling, doodling and note taking jobs...But it can't hold a candle to the apple pencil. The apple pencil simply blows it out of the water.Right off the bat, the lines are more precise, handwriting is vastly improved, drawing is a breeze, and note taking(even those including a lot of math) is just so much easier.And with dedicated note taking apps like goodnotes,and drawing apps like procreate;this is a worthwhile, no...a must have essential,for anyone who draws, sketches and takes notes digitally.",India,24-May-2020,bought go along ipad 2018 use two month nowearli samsung note 101 2014 edit came spen stylusit good enough use take lectur note yearsnow anybodi ever use samsung note model would knowthat spen decent enough scribbl doodl note take jobsbut cant hold candl appl pencil appl pencil simpli blow waterright bat line precis handwrit vastli improv draw breez note takingeven includ lot math much easierand dedic note take app like goodnotesand draw app like procreatethi worthwhil noa must essentialfor anyon draw sketch take note digit,0.9371,positive
