reviews,country,date,cleaned_reviews,sentiment_score,review_category
"The quality is not upto the mark. The Earpods which come with the New iPhone - Cable is Soft and is very subtle when felt by hand, on the other hand, however close the Manufacturer has tried to copy it, but havent used the same grade material - the Earpod Cable feels hard and the plastic of earpods is also not good. This product has gone bad already within a month. I cannot use it. A waste of Rs. 2,000 for me. Amazon should try and judge the product quality before allowing sellers to sell such products on their platform.",India,23-July-2018,qualiti upto mark earpod come new iphon cabl soft subtl felt hand hand howev close manufactur tri copi havent use grade materi earpod cabl feel hard plastic earpod also good product gone bad alreadi within month cannot use wast rs 2000 amazon tri judg product qualiti allow seller sell product platform,-0.8364,negative
Nice and genuine earphones. I lost the old earphone but no worry I got the original earphone.,India,18-December-2018,nice genuin earphon lost old earphon worri got origin earphon,0.7437,positive
It’s broken wire and box was also not sealed,India,18-December-2018,broken wire box also seal,-0.4767,negative
"                    The media could not be loaded.
                



 Well I Like The Quality & Sound Is Good.Worth buying. Also as shown in the video (1900rs) I got in discounted rate too. Something around 1700rsThe ones giving negative review is false. Or Maybe you guys don’t use your earphones properly. We all know that extra care is to be taken when it comes to apple gadgets.Earphones that came along with my phone lasted for a year *hardly* As i use it roughly!Now I purchased this *will be using it properly* 😬",India,23-July-2018," media could loaded
 



well like qualiti sound goodworth buy also shown video 1900r got discount rate someth around 1700rsthe one give neg review fals mayb guy dont use earphon properli know extra care taken come appl gadgetsearphon came along phone last year hardli use roughlynow purchas use properli ",0.1724,positive
"After reading some of the reviews here, I was skeptical about purchasing these. But I needed a pair of these urgently and took a chance.The product looks genuine and the sound quality is good, too. It is fully functional as well. I only wonder how I can claim the one year Apple warranty.I would recommend you to go for it. There is nothing wrong with the product.",India,27-September-2018,read review skeptic purchas need pair urgent took chanceth product look genuin sound qualiti good fulli function well wonder claim one year appl warrantyi would recommend go noth wrong product,0.9157,positive
The product is 100% first copy and not an original Apple EarPods. The quality of the earphones is cheap and not even close to the original. It is not worth the price listed by the seller. You can get this product in small phone repair shops for 200₹,India,7-June-2021,product 100 first copi origin appl earpod qualiti earphon cheap even close origin worth price list seller get product small phone repair shop 200,-0.0844,negative
The product is 100% first copy and not an original Apple EarPods. The quality of the earphones is cheap and not even close to the original. It is not worth the price listed by the seller. You can get this product in small phone repair shops for 200₹,India,17-May-2019,product 100 first copi origin appl earpod qualiti earphon cheap even close origin worth price list seller get product small phone repair shop 200,-0.0844,negative
"Fake product, defective in nature and came with a 3.5 mm jack,though had specifically ordered the one with a lighting jack as even the cover mentioned so",India,3-July-2020,fake product defect natur came 35 mm jackthough specif order one light jack even cover mention,-0.7184,negative
"                    The media could not be loaded.
                



 I have purchased this two times, and both the time the left ear bud stop working after 15-20 days of use, i request manufacture to check this problem, and replace my ear phone drpranaywal@gmail.com",India,26-November-2020," media could loaded
 



i purchas two time time left ear bud stop work 1520 day use request manufactur check problem replac ear phone drpranaywalgmailcom",-0.6514,negative
"Dear seller, MRP is not Rs.2500/- but 1900/- so stop deceiving and change it asap!Regarding fake or genuine, the product I received seems to be quite as genuine as possible - the sound quality, the packaging etc.(editing today)Received around 9th of June and today is 28th June... Looking if there is warranty. Sometimes it lose connection, sometimes deafening noise comes out. I don't know why as I didn't use it roughly.",India,24-June-2020,dear seller mrp rs2500 1900 stop deceiv chang asapregard fake genuin product receiv seem quit genuin possibl sound qualiti packag etcedit todayreceiv around 9th june today 28th june look warranti sometim lose connect sometim deafen nois come dont know didnt use roughli,-0.9539,negative
"The quality is not upto the mark. The Earpods which come with the New iPhone - Cable is Soft and is very subtle when felt by hand, on the other hand, however close the Manufacturer has tried to copy it, but havent used the same grade material - the Earpod Cable feels hard and the plastic of earpods is also not good. This product has gone bad already within a month. I cannot use it. A waste of Rs. 2,000 for me. Amazon should try and judge the product quality before allowing sellers to sell such products on their platform.",India,23-July-2018,qualiti upto mark earpod come new iphon cabl soft subtl felt hand hand howev close manufactur tri copi havent use grade materi earpod cabl feel hard plastic earpod also good product gone bad alreadi within month cannot use wast rs 2000 amazon tri judg product qualiti allow seller sell product platform,-0.8364,negative
Nice and genuine earphones. I lost the old earphone but no worry I got the original earphone.,India,18-December-2018,nice genuin earphon lost old earphon worri got origin earphon,0.7437,positive
It’s broken wire and box was also not sealed,India,18-December-2018,broken wire box also seal,-0.4767,negative
"                    The media could not be loaded.
                



 Well I Like The Quality & Sound Is Good.Worth buying. Also as shown in the video (1900rs) I got in discounted rate too. Something around 1700rsThe ones giving negative review is false. Or Maybe you guys don’t use your earphones properly. We all know that extra care is to be taken when it comes to apple gadgets.Earphones that came along with my phone lasted for a year *hardly* As i use it roughly!Now I purchased this *will be using it properly* 😬",India,23-July-2018," media could loaded
 



well like qualiti sound goodworth buy also shown video 1900r got discount rate someth around 1700rsthe one give neg review fals mayb guy dont use earphon properli know extra care taken come appl gadgetsearphon came along phone last year hardli use roughlynow purchas use properli ",0.1724,positive
"After reading some of the reviews here, I was skeptical about purchasing these. But I needed a pair of these urgently and took a chance.The product looks genuine and the sound quality is good, too. It is fully functional as well. I only wonder how I can claim the one year Apple warranty.I would recommend you to go for it. There is nothing wrong with the product.",India,27-September-2018,read review skeptic purchas need pair urgent took chanceth product look genuin sound qualiti good fulli function well wonder claim one year appl warrantyi would recommend go noth wrong product,0.9157,positive
The product is 100% first copy and not an original Apple EarPods. The quality of the earphones is cheap and not even close to the original. It is not worth the price listed by the seller. You can get this product in small phone repair shops for 200₹,India,7-June-2021,product 100 first copi origin appl earpod qualiti earphon cheap even close origin worth price list seller get product small phone repair shop 200,-0.0844,negative
The product is 100% first copy and not an original Apple EarPods. The quality of the earphones is cheap and not even close to the original. It is not worth the price listed by the seller. You can get this product in small phone repair shops for 200₹,India,17-May-2019,product 100 first copi origin appl earpod qualiti earphon cheap even close origin worth price list seller get product small phone repair shop 200,-0.0844,negative
"Fake product, defective in nature and came with a 3.5 mm jack,though had specifically ordered the one with a lighting jack as even the cover mentioned so",India,3-July-2020,fake product defect natur came 35 mm jackthough specif order one light jack even cover mention,-0.7184,negative
"                    The media could not be loaded.
                



 I have purchased this two times, and both the time the left ear bud stop working after 15-20 days of use, i request manufacture to check this problem, and replace my ear phone drpranaywal@gmail.com",India,26-November-2020," media could loaded
 



i purchas two time time left ear bud stop work 1520 day use request manufactur check problem replac ear phone drpranaywalgmailcom",-0.6514,negative
"Dear seller, MRP is not Rs.2500/- but 1900/- so stop deceiving and change it asap!Regarding fake or genuine, the product I received seems to be quite as genuine as possible - the sound quality, the packaging etc.(editing today)Received around 9th of June and today is 28th June... Looking if there is warranty. Sometimes it lose connection, sometimes deafening noise comes out. I don't know why as I didn't use it roughly.",India,24-June-2020,dear seller mrp rs2500 1900 stop deceiv chang asapregard fake genuin product receiv seem quit genuin possibl sound qualiti packag etcedit todayreceiv around 9th june today 28th june look warranti sometim lose connect sometim deafen nois come dont know didnt use roughli,-0.9539,negative
