reviews,country,date,cleaned_reviews,sentiment_score,review_category
"                    The media could not be loaded.
                



 Lots of request floating in @ What the WATT - Reviews for reviewing this entry level headphones from JBL.  We got this headphones from a colleague and thought its time to post a detailed review after a week of constant usage.We tried plenty of entry level cheap headphones, time and again realizing one thing - ""The bitterness of poor quality remains long after the sweetness of low prices are forgotten""Summary of review1. Specifications – Mic and 1-button remote2. Reasons to buy  a. Great fit and multiple right sleeves for that perfect bass response  b. Amazing bass3. Reasons not to buy  a. Many options available if one can up the budget by 100 Rupees by JBL and other brandsDetailed reviewPackaging - The one startling thing you notice when receiving this product from amazon is what lies beneath that packaging of Amazon is a great package of JBL and JBL has not compromised on their values to provide great packaging and great sound. When you compare the same with Mi or boat its pretty evident that there is a significant compromise on the packaging in order to probably provide a good product, but the compromise in other product department is also clear when one starts discovering other aspects of say MI and boat (Rating 5/5)Design/Comfort – When choice is of great sound - its also for great aesthetics, you probably don’t want to carry an awful product in your ear/body and only enjoy great music, isn’t it ! JBL does not disappoint in design even at this entry level wired headphone. The wire is long (sometimes feels too long) but after a use of 2-3 days we find it quite manageable. The twin cable is back but JBL has some special engineering design for this good old twin cable – “High fidelity twin cable” (rating 3.5/5)Sound – In a nutshell the audio is crisp and loud. This time I believe JBL got the voice of customer and packed a great sound in great price. The beauty of these headphones is you don’t have to screw those in your ear. One of the sleeve will fit perfectly to an Indian ear and that matters for experiencing the bass properly, a bad fit will certainly be not delivering experience of good bass. The shape of the headphone tube/canal is rightly angled – honestly we have not seen such a good design, it’s a little way from typical JBL design but we welcome that change which reflects in sound positively. Low frequency – 5/5, Mid/High Frequency – 4.5/5 – Voice clarity – 4/5. Over all sound is a go from our side and we give these headphones 4.5/5 ratingDurability – We ran an exhaustive test on these headphones especially on the electrical joints/abused them and these held on to the connections really long. Infact lifted a 2KG load with the cables to test strength and they did not break at all – A specially designed test in our labsCall quality - Noise cancellation microphone is indeed a treat to the ears while on call and a one button remote is certainly value for money at the price. We give it 5/5 for the microphone and call quality. Remote is of great usage, smart one button remote in same microphone housing - wonderful (Single press - Mute/start music, Double click - Next song)Overall rating – If you are looking for a budget good sounding product and value the brand you get associated with – JBL C50HI is for you. We rate these 4/5 and not many entry level headphones get past 3.5 rating from our test lab and reviewers. So go for these headphones (pick any color from 3 available).Used it for almost 3 months now - Updating rating to 5/5 - Amazing durability",India,15-January-2019," media could loaded
 



lot request float watt review review entri level headphon jbl got headphon colleagu thought time post detail review week constant usagew tri plenti entri level cheap headphon time realiz one thing bitter poor qualiti remain long sweet low price forgottensummari review1 specif mic 1button remote2 reason buy great fit multipl right sleev perfect bass respons b amaz bass3 reason buy mani option avail one budget 100 rupe jbl brandsdetail reviewpackag one startl thing notic receiv product amazon lie beneath packag amazon great packag jbl jbl compromis valu provid great packag great sound compar mi boat pretti evid signific compromis packag order probabl provid good product compromis product depart also clear one start discov aspect say mi boat rate 55designcomfort choic great sound also great aesthet probabl dont want carri aw product earbodi enjoy great music isnt jbl disappoint design even entri level wire headphon wire long sometim feel long use 23 day find quit manag twin cabl back jbl special engin design good old twin cabl high fidel twin cabl rate 355sound nutshel audio crisp loud time believ jbl got voic custom pack great sound great price beauti headphon dont screw ear one sleev fit perfectli indian ear matter experienc bass properli bad fit certainli deliv experi good bass shape headphon tubecan rightli angl honestli seen good design littl way typic jbl design welcom chang reflect sound posit low frequenc 55 midhigh frequenc 455 voic clariti 45 sound go side give headphon 455 ratingdur ran exhaust test headphon especi electr jointsabus held connect realli long infact lift 2kg load cabl test strength break special design test labscal qualiti nois cancel microphon inde treat ear call one button remot certainli valu money price give 55 microphon call qualiti remot great usag smart one button remot microphon hous wonder singl press mutestart music doubl click next songoveral rate look budget good sound product valu brand get associ jbl c50hi rate 45 mani entri level headphon get past 35 rate test lab review go headphon pick color 3 availableus almost 3 month updat rate 55 amaz durabl",0.9993,positive
"The bass response of the earphones is amazing. If the sound is distinctively clear for a song like ""smoke in the water"", imagine how impressed I would have been! The design of it is great especially because it helps in noise isolation when on call and fits perfectly (I got tiny ears :D). And the ear canal fit is amazing. Also one small trick one can do is to twist the buds after you fit in the canal (you can thank me later). I think it's great for the price you pay in comparison to all the other products within this price range + I got it during the sale. It also works great on my laptop. Absolute worth the buy according to me.",India,17-March-2019,bass respons earphon amaz sound distinct clear song like smoke water imagin impress would design great especi help nois isol call fit perfectli got tini ear ear canal fit amaz also one small trick one twist bud fit canal thank later think great price pay comparison product within price rang got sale also work great laptop absolut worth buy accord,0.9909,positive
Bought this one reading all the good reviews but it was so misleading . JBL is known for good sound n bass but this one is complete disappointing. The sound is ordinary n no bass at all . Didn't enjoy music experience at all . Plz don't  give false reviews just becoz it's JBL . Most of buying happens reading reviews as there is no product return in electronics ones bought n only exchange with same one which doesn't really help,India,15-January-2019,bought one read good review mislead jbl known good sound n bass one complet disappoint sound ordinari n bass didnt enjoy music experi plz dont give fals review becoz jbl buy happen read review product return electron one bought n exchang one doesnt realli help,-0.9436,negative
Product was good..JBL mark ..But worst delivery by Amazon..,India,14-February-2019,product goodjbl mark worst deliveri amazon,-0.6808,negative
"Very POOR quality. Stopped working in 3 days. Even the sound quality is not great. Very unsatisfactory. And the wires are so fragile and thin. Go for boat instead, sturdy and way better quality.",India,17-March-2019,poor qualiti stop work 3 day even sound qualiti great unsatisfactori wire fragil thin go boat instead sturdi way better qualiti,-0.7707,negative
"Great music.. excellent treble, good base,.. best in this price bracket😍😍",India,17-January-2019,great music excel trebl good base best price bracket,0.9678,positive
"I recently bought these earphones because I enjoy listening to music at all times and with this one, it's great to do so for its fit primarily.The buds are ideal for all ear size and the canal design makes it stay in ear all times. I did like the fact that it came with 3 sizes for the ear piece, because I can share my earphone with my brother too. And it the large size fits him perfectly well. Another issue that I used to face is with 3.5mm connector is not being compatible with my mobile phone because of the mobile case, but now it is easy and fits perfectly. Compared to the products that are available in this price range, I think this is the best one! The attention to details are credible especially to the connectors and ear buds.",India,18-May-2019,recent bought earphon enjoy listen music time one great fit primarilyth bud ideal ear size canal design make stay ear time like fact came 3 size ear piec share earphon brother larg size fit perfectli well anoth issu use face 35mm connector compat mobil phone mobil case easi fit perfectli compar product avail price rang think best one attent detail credibl especi connector ear bud,0.9834,positive
"There are three things that impressed me the most: Quality of the music, clarity and durability of the product. The cable is thin but looks pretty sturdy. It's got an ideal cable size for comfortable user experience. I give it a 5/5 for the output of highs, mids and lows! The price is genuinely remarkable and maybe safe to say that it is much better than all other cheap Chinese counterparts of similar price range in the market.",India,22-January-2019,three thing impress qualiti music clariti durabl product cabl thin look pretti sturdi got ideal cabl size comfort user experi give 55 output high mid low price genuin remark mayb safe say much better cheap chines counterpart similar price rang market,0.9833,positive
"I bought these earphones a couple of weeks back, during a sale. I picked it up without much research simply beause it's a JBL product but I was truly impressed with what I received. A simple but great package that encased the product. I've been using it ever since & may I say, I have butter fingers and have dropped my phone plenty of times but the cable didn't rip or shred at all due to the sudden drop or anything! Giving 6/5 on the make and durability it offers. Somethings that are worth the mention are its sound quality, light weight and bass. As a student, this fits perfectly in my budget but definitely offers a music experience that is beyond any other product of this range.",India,5-February-2019,bought earphon coupl week back sale pick without much research simpli beaus jbl product truli impress receiv simpl great packag encas product ive use ever sinc may say butter finger drop phone plenti time cabl didnt rip shred due sudden drop anyth give 65 make durabl offer someth worth mention sound qualiti light weight bass student fit perfectli budget definit offer music experi beyond product rang,0.9819,positive
"Sound quality is just ok but if cord touches any object, it humms in ear. That is worst enough to irritate you. Secondly, cord is not of quality for durability, no quality in the play/pause button too. No value for money at all as my  hp earphone is far better than this. And most important, no return, only exchange, means once your money is gone means gone. Hell of it. Sincerely, stay away from it. High brand name only but cheap ordinary Chinese product, made in china. Better to buy of other good, reputed  Chinese brand. Sincerely.",India,12-February-2019,sound qualiti ok cord touch object humm ear worst enough irrit secondli cord qualiti durabl qualiti playpaus button valu money hp earphon far better import return exchang mean money gone mean gone hell sincer stay away high brand name cheap ordinari chines product made china better buy good reput chines brand sincer,-0.3031,negative
