reviews,country,date,cleaned_reviews,sentiment_score,review_category
"Changed the way I used my IPad. The notes are perfect, enjoy drawing n doodling. Save paper save trees",India,5-July-2019,chang way use ipad note perfect enjoy draw n doodl save paper save tree,0.9231,positive
Got fake product so I returned it. Got the same fake product in return again.,India,7-December-2020,got fake product return got fake product return,-0.7351,negative
Good but could have added more features other than double tap. I wish it had some buttons for more features.Check out my drawings on procreate.,India,5-July-2019,good could ad featur doubl tap wish button featurescheck draw procreat,0.6705,positive
Received damaged wires and some pen of 10 rupees.,India,7-December-2020,receiv damag wire pen 10 rupe,-0.4404,negative
"Instead of Apple Pencil, a normal 10Rs pencil has been delivered. After getting a replacement, the same 10Rs pencil delivered again.",India,4-March-2020,instead appl pencil normal 10r pencil deliv get replac 10r pencil deliv,0.0,neutral
Awesome definitely needed.. But tip needs to be protected..costly,India,23-January-2021,awesom definit need tip need protectedcostli,0.5267,positive
Fake item delivered,India,1-January-2021,fake item deliv,-0.4767,negative
This is what I got in the package. Some rubbishes. One plastic pen & wire. Following up with Amazon for the refund. Going forward I will never buy such stuff from Amazon.,India,23-February-2019,got packag rubbish one plastic pen wire follow amazon refund go forward never buy stuff amazon,0.34,positive
"                    The media could not be loaded.
                



 The apple pencil box was filled with some junk.",India,15-January-2021," media could loaded
 



the appl pencil box fill junk",0.0,neutral
Received a cheap ball point pen and some broken used wires on ordering this. Amazon's supply chain seems to be in a tizzy for this product looking at multiple similar complaints in the review section. Should have read and paid heed to the other reviewers.,India,15-March-2021,receiv cheap ball point pen broken use wire order amazon suppli chain seem tizzi product look multipl similar complaint review section read paid heed review,-0.7003,negative
"Changed the way I used my IPad. The notes are perfect, enjoy drawing n doodling. Save paper save trees",India,5-July-2019,chang way use ipad note perfect enjoy draw n doodl save paper save tree,0.9231,positive
Got fake product so I returned it. Got the same fake product in return again.,India,7-December-2020,got fake product return got fake product return,-0.7351,negative
Good but could have added more features other than double tap. I wish it had some buttons for more features.Check out my drawings on procreate.,India,5-July-2019,good could ad featur doubl tap wish button featurescheck draw procreat,0.6705,positive
Received damaged wires and some pen of 10 rupees.,India,7-December-2020,receiv damag wire pen 10 rupe,-0.4404,negative
"Instead of Apple Pencil, a normal 10Rs pencil has been delivered. After getting a replacement, the same 10Rs pencil delivered again.",India,4-March-2020,instead appl pencil normal 10r pencil deliv get replac 10r pencil deliv,0.0,neutral
Awesome definitely needed.. But tip needs to be protected..costly,India,23-January-2021,awesom definit need tip need protectedcostli,0.5267,positive
Fake item delivered,India,1-January-2021,fake item deliv,-0.4767,negative
This is what I got in the package. Some rubbishes. One plastic pen & wire. Following up with Amazon for the refund. Going forward I will never buy such stuff from Amazon.,India,23-February-2019,got packag rubbish one plastic pen wire follow amazon refund go forward never buy stuff amazon,0.34,positive
"                    The media could not be loaded.
                



 The apple pencil box was filled with some junk.",India,15-January-2021," media could loaded
 



the appl pencil box fill junk",0.0,neutral
Received a cheap ball point pen and some broken used wires on ordering this. Amazon's supply chain seems to be in a tizzy for this product looking at multiple similar complaints in the review section. Should have read and paid heed to the other reviewers.,India,15-March-2021,receiv cheap ball point pen broken use wire order amazon suppli chain seem tizzi product look multipl similar complaint review section read paid heed review,-0.7003,negative
