reviews,country,date,cleaned_reviews,sentiment_score,review_category
I bought 2 sets and after 3 months the left earplugs of both of them stopped working.,India,1-June-2018,bought 2 set 3 month left earplug stop work,-0.2263,negative
Don't let the cost fool you this is better than any other 1k earphone by famous brandsm. Philips is good old manufacturer who sells to most other brands.,India,5-May-2018,dont let cost fool better 1k earphon famou brandsm philip good old manufactur sell brand,0.4404,positive
Good earphone in this price range,India,5-May-2018,good earphon price rang,0.4404,positive
"Writing review after using them in the worst possible way for 6 months...- Dragged on floor- Crushed under my butt😅- Soaked in water for an hour ( forgot to take out from jeans while washing)They still work like a charmAlthough I didn't expect such quality while buying, I guess that's what Phillips is ! QUALITY",India,1-June-2018,write review use worst possibl way 6 month drag floor crush butt soak water hour forgot take jean washingthey still work like charmalthough didnt expect qualiti buy guess that phillip qualiti,-0.5255,negative
The sound quality is surprisingly amazing.. never expected such fantastic performance from such cheap earphones. Phillips is a trusted choice when it comes to earphones and music systems. However the thin wires don't seem to be much reliable for rugged usage.P.S. to avoid disconnection of wiring from earpieces due to unintentional stretching just put a small knot (semi tight) just short of all d three ends which can absorb the shocks ib themselves. See pic,India,5-September-2018,sound qualiti surprisingli amaz never expect fantast perform cheap earphon phillip trust choic come earphon music system howev thin wire dont seem much reliabl rug usagep avoid disconnect wire earpiec due unintent stretch put small knot semi tight short three end absorb shock ib see pic,0.3348,positive
"I got this on November 20, 2018. Today is April 10, 2019 as I write this. Nearly 5 months using everyday for hours on end. Still working on both earpieces. I hope it works up to 1 year... That will be awesome. I will update when it stops working.",India,9-April-2019,got novemb 20 2018 today april 10 2019 write nearli 5 month use everyday hour end still work earpiec hope work 1 year awesom updat stop work,0.7506,positive
"Best earphones in the price under 400. Before this i had order boat 225 earphone which was costly and worst earphone cause it was itchy and paining in the ears so i returned it. I think old is platinum so i gave chance to Philips brand. Nice sound quality, microphone also good. Made in china mention on the microphone and it proves again that why the chinese manufactured products are good.Not for those who are looking for higher bass quality sound.Simple made earphone,  build quality is very lighty which i like it. So go for it....",India,24-January-2020,best earphon price 400 order boat 225 earphon costli worst earphon caus itchi pain ear return think old platinum gave chanc philip brand nice sound qualiti microphon also good made china mention microphon prove chines manufactur product goodnot look higher bass qualiti soundsimpl made earphon build qualiti lighti like go,0.6557,positive
I don't know whether my my piece was a fake one or not but its quality was like a 100rs earphone. Plus the left side stopped working after 1 week or so. Soundoutput is bad. Just bad for me. retutned it to amazon,India,10-April-2019,dont know whether piec fake one qualiti like 100r earphon plu left side stop work 1 week soundoutput bad bad retutn amazon,-0.8625,negative
With in 11 days the speaker got damaged and not working now. Poor quality in sound effects. Waste of money. I think this is not original philips and amazon is supporting for duplicates. Don't go with Amazon .Please.,India,13-January-2019,11 day speaker got damag work poor qualiti sound effect wast money think origin philip amazon support duplic dont go amazon pleas,0.0706,positive
PROS:Good Sound QualityComfortableBuilt In MicrophoneCall Attend ButtonDeep BassOk PriceYou get an philips brand,India,24-August-2018,prosgood sound qualitycomfortablebuilt microphonecal attend buttondeep bassok pricey get philip brand,0.0,neutral
I bought 2 sets and after 3 months the left earplugs of both of them stopped working.,India,1-June-2018,bought 2 set 3 month left earplug stop work,-0.2263,negative
Don't let the cost fool you this is better than any other 1k earphone by famous brandsm. Philips is good old manufacturer who sells to most other brands.,India,5-May-2018,dont let cost fool better 1k earphon famou brandsm philip good old manufactur sell brand,0.4404,positive
Good earphone in this price range,India,5-May-2018,good earphon price rang,0.4404,positive
"Writing review after using them in the worst possible way for 6 months...- Dragged on floor- Crushed under my butt😅- Soaked in water for an hour ( forgot to take out from jeans while washing)They still work like a charmAlthough I didn't expect such quality while buying, I guess that's what Phillips is ! QUALITY",India,1-June-2018,write review use worst possibl way 6 month drag floor crush butt soak water hour forgot take jean washingthey still work like charmalthough didnt expect qualiti buy guess that phillip qualiti,-0.5255,negative
The sound quality is surprisingly amazing.. never expected such fantastic performance from such cheap earphones. Phillips is a trusted choice when it comes to earphones and music systems. However the thin wires don't seem to be much reliable for rugged usage.P.S. to avoid disconnection of wiring from earpieces due to unintentional stretching just put a small knot (semi tight) just short of all d three ends which can absorb the shocks ib themselves. See pic,India,5-September-2018,sound qualiti surprisingli amaz never expect fantast perform cheap earphon phillip trust choic come earphon music system howev thin wire dont seem much reliabl rug usagep avoid disconnect wire earpiec due unintent stretch put small knot semi tight short three end absorb shock ib see pic,0.3348,positive
"I got this on November 20, 2018. Today is April 10, 2019 as I write this. Nearly 5 months using everyday for hours on end. Still working on both earpieces. I hope it works up to 1 year... That will be awesome. I will update when it stops working.",India,9-April-2019,got novemb 20 2018 today april 10 2019 write nearli 5 month use everyday hour end still work earpiec hope work 1 year awesom updat stop work,0.7506,positive
"Best earphones in the price under 400. Before this i had order boat 225 earphone which was costly and worst earphone cause it was itchy and paining in the ears so i returned it. I think old is platinum so i gave chance to Philips brand. Nice sound quality, microphone also good. Made in china mention on the microphone and it proves again that why the chinese manufactured products are good.Not for those who are looking for higher bass quality sound.Simple made earphone,  build quality is very lighty which i like it. So go for it....",India,24-January-2020,best earphon price 400 order boat 225 earphon costli worst earphon caus itchi pain ear return think old platinum gave chanc philip brand nice sound qualiti microphon also good made china mention microphon prove chines manufactur product goodnot look higher bass qualiti soundsimpl made earphon build qualiti lighti like go,0.6557,positive
I don't know whether my my piece was a fake one or not but its quality was like a 100rs earphone. Plus the left side stopped working after 1 week or so. Soundoutput is bad. Just bad for me. retutned it to amazon,India,10-April-2019,dont know whether piec fake one qualiti like 100r earphon plu left side stop work 1 week soundoutput bad bad retutn amazon,-0.8625,negative
