reviews,country,date,cleaned_reviews,sentiment_score,review_category
It’s user friendly but difficult to connect with other digital equipment,India,13-April-2021,user friendli difficult connect digit equip,-0.2846,negative
Very nice product 😊 I loved this product it answers for all our command and plays all which we asked and till now no problem in my Alexa,India,8-April-2021,nice product love product answer command play ask till problem alexa,0.9478,positive
"Totally wastage of money.. Strict no .Feeling cheated. We were so excited for this products, but what we received an adulterated product, even box was not original this one",India,13-April-2021,total wastag money strict feel cheat excit product receiv adulter product even box origin one,0.0724,positive
"At its best . It has no scratches and works smoothly, connects to all smart devices . It is as like as new one . Better buy this and save more than 900 . I love it , and recommend my review viewers to buy this if you are opt to buy an alexa . Best for your kids , it reminds my parents to take medicine and plays any bhajana you ask her .",India,1-June-2021,best scratch work smoothli connect smart devic like new one better buy save 900 love recommend review viewer buy opt buy alexa best kid remind parent take medicin play bhajana ask ,0.9781,positive
This is my second Amazon owned refurbished product which is a total disaster. The echo dot has developed jarring noise within 3 months of purchase and needs to be restarted often. Went by Amazon promise on refurbished product and feel cheated. No returns or refund also after 3 months!!!!,India,8-April-2021,second amazon own refurbish product total disast echo dot develop jar nois within 3 month purchas need restart often went amazon promis refurbish product feel cheat return refund also 3 month,-0.8106,negative
"                    The media could not be loaded.
                



 Its perfect for time pass mood .when i am confused about anything then i talk with alexa and she give all answers in different ways . mostly i like the line when i said i miss you Alexa, she replied aww Mai to yahi the.its make me happy i forgot everything after this line.big fan of you alexa thanks for this.and thank amazon to build a machine person.",India,24-June-2021," media could loaded
 



it perfect time pass mood confus anyth talk alexa give answer differ way mostli like line said miss alexa repli aww mai yahi theit make happi forgot everyth linebig fan alexa thank thisand thank amazon build machin person",0.9371,positive
I was little hesitant in buying because its refurbished but it had 1 year warranty and got it at discounted price . the product seems flawless even if it's a refurbished .Worth buying it .Go for it,India,13-January-2022,littl hesit buy refurbish 1 year warranti got discount price product seem flawless even refurbish worth buy go,0.7748,positive
"                    The media could not be loaded.
                



 Nice Bass and sound also good.",India,25-January-2022," media could loaded
 



nice bass sound also good",0.1451,positive
Annoying Bluetooth notifications . Alexa keeps announcing “now connected to computer” This has been reported several years ago in Alexa forums but no one from Amazon seems to be interested in resolving it,India,1-August-2022,annoy bluetooth notif alexa keep announc connect comput report sever year ago alexa forum one amazon seem interest resolv,0.6542,positive
If u r strict with budget and want to experience alexa then i will suggest you to go with this refurbished version. This looks and seems new and u would't feel that this is not new. Sound quality is not good when u hear songs at higher volume...eg above 8 to 10..but below 8 that u can experience and expect good quality of sound. Paying less and enjoying more is the virtue of this Alexa smart device. So just go with it.,India,8-May-2021,u r strict budget want experi alexa suggest go refurbish version look seem new u wouldt feel new sound qualiti good u hear song higher volumeeg 8 10but 8 u experi expect good qualiti sound pay less enjoy virtu alexa smart devic go,0.8651,positive
It’s user friendly but difficult to connect with other digital equipment,India,13-April-2021,user friendli difficult connect digit equip,-0.2846,negative
Very nice product 😊 I loved this product it answers for all our command and plays all which we asked and till now no problem in my Alexa,India,8-April-2021,nice product love product answer command play ask till problem alexa,0.9478,positive
"Totally wastage of money.. Strict no .Feeling cheated. We were so excited for this products, but what we received an adulterated product, even box was not original this one",India,13-April-2021,total wastag money strict feel cheat excit product receiv adulter product even box origin one,0.0724,positive
"At its best . It has no scratches and works smoothly, connects to all smart devices . It is as like as new one . Better buy this and save more than 900 . I love it , and recommend my review viewers to buy this if you are opt to buy an alexa . Best for your kids , it reminds my parents to take medicine and plays any bhajana you ask her .",India,1-June-2021,best scratch work smoothli connect smart devic like new one better buy save 900 love recommend review viewer buy opt buy alexa best kid remind parent take medicin play bhajana ask ,0.9781,positive
This is my second Amazon owned refurbished product which is a total disaster. The echo dot has developed jarring noise within 3 months of purchase and needs to be restarted often. Went by Amazon promise on refurbished product and feel cheated. No returns or refund also after 3 months!!!!,India,8-April-2021,second amazon own refurbish product total disast echo dot develop jar nois within 3 month purchas need restart often went amazon promis refurbish product feel cheat return refund also 3 month,-0.8106,negative
"                    The media could not be loaded.
                



 Its perfect for time pass mood .when i am confused about anything then i talk with alexa and she give all answers in different ways . mostly i like the line when i said i miss you Alexa, she replied aww Mai to yahi the.its make me happy i forgot everything after this line.big fan of you alexa thanks for this.and thank amazon to build a machine person.",India,24-June-2021," media could loaded
 



it perfect time pass mood confus anyth talk alexa give answer differ way mostli like line said miss alexa repli aww mai yahi theit make happi forgot everyth linebig fan alexa thank thisand thank amazon build machin person",0.9371,positive
I was little hesitant in buying because its refurbished but it had 1 year warranty and got it at discounted price . the product seems flawless even if it's a refurbished .Worth buying it .Go for it,India,13-January-2022,littl hesit buy refurbish 1 year warranti got discount price product seem flawless even refurbish worth buy go,0.7748,positive
"                    The media could not be loaded.
                



 Nice Bass and sound also good.",India,25-January-2022," media could loaded
 



nice bass sound also good",0.1451,positive
Annoying Bluetooth notifications . Alexa keeps announcing “now connected to computer” This has been reported several years ago in Alexa forums but no one from Amazon seems to be interested in resolving it,India,1-August-2022,annoy bluetooth notif alexa keep announc connect comput report sever year ago alexa forum one amazon seem interest resolv,0.6542,positive
If u r strict with budget and want to experience alexa then i will suggest you to go with this refurbished version. This looks and seems new and u would't feel that this is not new. Sound quality is not good when u hear songs at higher volume...eg above 8 to 10..but below 8 that u can experience and expect good quality of sound. Paying less and enjoying more is the virtue of this Alexa smart device. So just go with it.,India,8-May-2021,u r strict budget want experi alexa suggest go refurbish version look seem new u wouldt feel new sound qualiti good u hear song higher volumeeg 8 10but 8 u experi expect good qualiti sound pay less enjoy virtu alexa smart devic go,0.8651,positive
