reviews,country,date,cleaned_reviews,sentiment_score,review_category
"                    The media could not be loaded.
                



 Alexa cannot hear after she starts playing",India,9-August-2021," media could loaded
 



alexa cannot hear start play",0.2023,positive
"I purchased this as a birthday gift for my 7 years old son. Since he don't have siblings so I though it would be a fun experience for him talking to and giving commands to alexa. But to my dismay he only used it for playing music that also only one song after one month of his birthday. ""Alexa please play the flying jat song"". There were things I demonstrated him about alexa like jungle quiz, panchtantra ki kahaniya, alexa laugh, beatbox, fart!  Etc. But after one month of use he lost interest in it and being powered from socket I am also not interested to use it as a bluetooth speaker. I configured it to control a wipro smart bulb. But after few days  I started using the smart bulb as a regular bulb because it's easier to press the physical switch compared to checking the configuration & connection everytime ""Alexa Bulb on"" or ""Alexa bulb off"" voice command doesn't work. So now it is kept idle since 3 months and will remain so for many more months/years to come. The bottomline is that alexa is not that useful as advertised and we tend to lose interest in it very quickly.",India,13-April-2022,purchas birthday gift 7 year old son sinc dont sibl though would fun experi talk give command alexa dismay use play music also one song one month birthday alexa pleas play fli jat song thing demonstr alexa like jungl quiz panchtantra ki kahaniya alexa laugh beatbox fart etc one month use lost interest power socket also interest use bluetooth speaker configur control wipro smart bulb day start use smart bulb regular bulb easier press physic switch compar check configur connect everytim alexa bulb alexa bulb voic command doesnt work kept idl sinc 3 month remain mani monthsyear come bottomlin alexa use advertis tend lose interest quickli,0.9753,positive
"                    The media could not be loaded.
                



/*Here I'm Uploading video, enjoy*/Most idiotic device I every bought, never play original songs. Always play some or the other remix or instrumental songs.I wish I would have bought Google home or some Bluetooth speakers./*Some attachments after talking to Amazon Echo Dot Executive*/After my above review, Echo Dot representative called me, I'm glad for this.I showed him the issue with song selection but he told me that it is because of library doesn't have songs that I'm selecting and it is better to add gaana.com from alexa app, after following his guidelines, I repeated and recorded issues. Please see the screen shots and listed to audio  for Alexa and have fun (Now I realise amazon review doen't support audio but only video).You can buy this device if you have to have personalised fun in your life. The is not way of attaching Audio files only video so this is again funny, if I wan't to attach some feedback for Alexa why do I need Video :). This is called mismatch in basic requirement.I'll try to get capture view than attach here for same issues added as image. Till than enjoy.",India,13-April-2022," media could loaded
 



here im upload video enjoymost idiot devic everi bought never play origin song alway play remix instrument songsi wish would bought googl home bluetooth speakerssom attach talk amazon echo dot executiveaft review echo dot repres call im glad thisi show issu song select told librari doesnt song im select better add gaanacom alexa app follow guidelin repeat record issu pleas see screen shot list audio alexa fun realis amazon review doent support audio videoy buy devic personalis fun life way attach audio file video funni want attach feedback alexa need video call mismatch basic requirementil tri get captur view attach issu ad imag till enjoy",0.9763,positive
I bought this product to gift some one else and now I come to know that the product (wipro smart bulb) is faulty its not changing color.not satisfied with this deal.,India,4-August-2020,bought product gift one els come know product wipro smart bulb faulti chang colornot satisfi deal,0.2425,positive
"                    The media could not be loaded.
                



 Do not buy this product. When i asked alexa that kashmir is part of which country it said china.Boycott alexa",India,16-July-2020," media could loaded
 



do buy product ask alexa kashmir part countri said chinaboycott alexa",0.0,neutral
"                    The media could not be loaded.
                



 It's just amazing. I bought it for my son. And he is loving it like crazy. The perfect smart speaker with reasonable price. Must buy product if you want to buy a smart speaker. And I bought it Ina combo with light. And it's working super fine.",India,13-October-2021," media could loaded
 



it amaz bought son love like crazi perfect smart speaker reason price must buy product want buy smart speaker bought ina combo light work super fine",0.9716,positive
"Alexa is very good but came with defective smart bulb..., took very much time for setting and now Alexa is replying 'device is not compatible'. Now the smart bulb is working as a normal bulb of Rs. 25/-",India,23-October-2020,alexa good came defect smart bulb took much time set alexa repli devic compat smart bulb work normal bulb rs 25,0.6538,positive
Bhut hi Achha hai aur bhut achhe se kam karta hai,India,9-August-2021,bhut hi achha hai aur bhut achh se kam karta hai,0.0,neutral
"                    The media could not be loaded.
                



 Worst experience with alexa no warranty you get with this product.Amazon policy are worst. Ctdi partner an official amazon devices service partner.I have requested to Amazon to replace my alexa device with in the warranty period the refuses my request. issue is escalated bu amazon team but no follow up call can be held till today. They are giving fake excuses for service they are temporary un available for service of alexa after few days the warranty get to expire then they say your product warranty has expired so we did not give you a service for your product. “ excuse me amazon all of the world wide companies change their policies in national lockdown.” I think amazon policy are worst. They stand in the last of the top companies list. They have no customer satisfaction. Even apple has extended there warranty of their product in lockdown. Amazon shame Amazon shameful for you",India,25-August-2021," media could loaded
 



worst experi alexa warranti get productamazon polici worst ctdi partner offici amazon devic servic partneri request amazon replac alexa devic warranti period refus request issu escal bu amazon team follow call held till today give fake excus servic temporari un avail servic alexa day warranti get expir say product warranti expir give servic product excus amazon world wide compani chang polici nation lockdown think amazon polici worst stand last top compani list custom satisfact even appl extend warranti product lockdown amazon shame amazon shame",-0.9514,negative
Its just one if the best deal i ever got on amazon I purchased it with a 12 watt wipro light at 2200 and enjoying it since last 2 daya its my 4th echo device and yes I would highly recommend buying a product with this just search echo dot wall mount you ll see a 800-900 rupees wall mount trust me it will make a huge difference between sound and transportability plus when its on wall if will recognise your voice quicker as it faces you on the wall seriously guys the combination of these two is compulsory,India,26-September-2021,one best deal ever got amazon purchas 12 watt wipro light 2200 enjoy sinc last 2 daya 4th echo devic ye would highli recommend buy product search echo dot wall mount see 800900 rupe wall mount trust make huge differ sound transport plu wall recognis voic quicker face wall serious guy combin two compulsori,0.9565,positive
"                    The media could not be loaded.
                



 Alexa cannot hear after she starts playing",India,9-August-2021," media could loaded
 



alexa cannot hear start play",0.2023,positive
"I purchased this as a birthday gift for my 7 years old son. Since he don't have siblings so I though it would be a fun experience for him talking to and giving commands to alexa. But to my dismay he only used it for playing music that also only one song after one month of his birthday. ""Alexa please play the flying jat song"". There were things I demonstrated him about alexa like jungle quiz, panchtantra ki kahaniya, alexa laugh, beatbox, fart!  Etc. But after one month of use he lost interest in it and being powered from socket I am also not interested to use it as a bluetooth speaker. I configured it to control a wipro smart bulb. But after few days  I started using the smart bulb as a regular bulb because it's easier to press the physical switch compared to checking the configuration & connection everytime ""Alexa Bulb on"" or ""Alexa bulb off"" voice command doesn't work. So now it is kept idle since 3 months and will remain so for many more months/years to come. The bottomline is that alexa is not that useful as advertised and we tend to lose interest in it very quickly.",India,13-April-2022,purchas birthday gift 7 year old son sinc dont sibl though would fun experi talk give command alexa dismay use play music also one song one month birthday alexa pleas play fli jat song thing demonstr alexa like jungl quiz panchtantra ki kahaniya alexa laugh beatbox fart etc one month use lost interest power socket also interest use bluetooth speaker configur control wipro smart bulb day start use smart bulb regular bulb easier press physic switch compar check configur connect everytim alexa bulb alexa bulb voic command doesnt work kept idl sinc 3 month remain mani monthsyear come bottomlin alexa use advertis tend lose interest quickli,0.9753,positive
"                    The media could not be loaded.
                



/*Here I'm Uploading video, enjoy*/Most idiotic device I every bought, never play original songs. Always play some or the other remix or instrumental songs.I wish I would have bought Google home or some Bluetooth speakers./*Some attachments after talking to Amazon Echo Dot Executive*/After my above review, Echo Dot representative called me, I'm glad for this.I showed him the issue with song selection but he told me that it is because of library doesn't have songs that I'm selecting and it is better to add gaana.com from alexa app, after following his guidelines, I repeated and recorded issues. Please see the screen shots and listed to audio  for Alexa and have fun (Now I realise amazon review doen't support audio but only video).You can buy this device if you have to have personalised fun in your life. The is not way of attaching Audio files only video so this is again funny, if I wan't to attach some feedback for Alexa why do I need Video :). This is called mismatch in basic requirement.I'll try to get capture view than attach here for same issues added as image. Till than enjoy.",India,13-April-2022," media could loaded
 



here im upload video enjoymost idiot devic everi bought never play origin song alway play remix instrument songsi wish would bought googl home bluetooth speakerssom attach talk amazon echo dot executiveaft review echo dot repres call im glad thisi show issu song select told librari doesnt song im select better add gaanacom alexa app follow guidelin repeat record issu pleas see screen shot list audio alexa fun realis amazon review doent support audio videoy buy devic personalis fun life way attach audio file video funni want attach feedback alexa need video call mismatch basic requirementil tri get captur view attach issu ad imag till enjoy",0.9763,positive
I bought this product to gift some one else and now I come to know that the product (wipro smart bulb) is faulty its not changing color.not satisfied with this deal.,India,4-August-2020,bought product gift one els come know product wipro smart bulb faulti chang colornot satisfi deal,0.2425,positive
"                    The media could not be loaded.
                



 Do not buy this product. When i asked alexa that kashmir is part of which country it said china.Boycott alexa",India,16-July-2020," media could loaded
 



do buy product ask alexa kashmir part countri said chinaboycott alexa",0.0,neutral
"                    The media could not be loaded.
                



 It's just amazing. I bought it for my son. And he is loving it like crazy. The perfect smart speaker with reasonable price. Must buy product if you want to buy a smart speaker. And I bought it Ina combo with light. And it's working super fine.",India,13-October-2021," media could loaded
 



it amaz bought son love like crazi perfect smart speaker reason price must buy product want buy smart speaker bought ina combo light work super fine",0.9716,positive
"Alexa is very good but came with defective smart bulb..., took very much time for setting and now Alexa is replying 'device is not compatible'. Now the smart bulb is working as a normal bulb of Rs. 25/-",India,23-October-2020,alexa good came defect smart bulb took much time set alexa repli devic compat smart bulb work normal bulb rs 25,0.6538,positive
Bhut hi Achha hai aur bhut achhe se kam karta hai,India,9-August-2021,bhut hi achha hai aur bhut achh se kam karta hai,0.0,neutral
"                    The media could not be loaded.
                



 Worst experience with alexa no warranty you get with this product.Amazon policy are worst. Ctdi partner an official amazon devices service partner.I have requested to Amazon to replace my alexa device with in the warranty period the refuses my request. issue is escalated bu amazon team but no follow up call can be held till today. They are giving fake excuses for service they are temporary un available for service of alexa after few days the warranty get to expire then they say your product warranty has expired so we did not give you a service for your product. “ excuse me amazon all of the world wide companies change their policies in national lockdown.” I think amazon policy are worst. They stand in the last of the top companies list. They have no customer satisfaction. Even apple has extended there warranty of their product in lockdown. Amazon shame Amazon shameful for you",India,25-August-2021," media could loaded
 



worst experi alexa warranti get productamazon polici worst ctdi partner offici amazon devic servic partneri request amazon replac alexa devic warranti period refus request issu escal bu amazon team follow call held till today give fake excus servic temporari un avail servic alexa day warranti get expir say product warranti expir give servic product excus amazon world wide compani chang polici nation lockdown think amazon polici worst stand last top compani list custom satisfact even appl extend warranti product lockdown amazon shame amazon shame",-0.9514,negative
