reviews,country,date,cleaned_reviews,sentiment_score,review_category
"Don't buy it. The headphone doesn't fit properly in ear.. The mic is not at proper position, so you can't talk without holding the mic up..Thumbs down to Amazon for not replacing the item.",India,11-July-2019,dont buy headphon doesnt fit properli ear mic proper posit cant talk without hold mic upthumb amazon replac item,-0.1053,negative
"Amazing! After a long time I got something perfect. I am a sound engineer , so it's very hard for me to select a earphone . But trust me it sounds like my sennheiser studio headphones.  Perfect lows ,perfect mid, perfect highs . And the best part is I got this earphone at just 380 rupees.",India,11-July-2019,amaz long time got someth perfect sound engin hard select earphon trust sound like sennheis studio headphon perfect low perfect mid perfect high best part got earphon 380 rupe,0.9872,positive
Pros- Light weight------- look stylish--------boat branding on both side mic or 👂 buds__________ NICE VOCALS.#CONS#VOLUME_LOWER_SIDE#AVERAGE BUILD QUALITY#BASS THAT  NOT MUCH GREAT#THANKS_FOR_READING_THIS_REVIEW,India,11-July-2019,pro light weight look stylishboat brand side mic bud nice vocalsconsvolumelowersideaverag build qualitybass much greatthanksforreadingthisreview,0.5473,positive
Everything is fantastic about this earphone...But the right side one of my one stopped producing sound only after just 1 month of purchase...I would request the officials to look into the matter as the customer care has not responded and it has also already been a month...,India,11-July-2019,everyth fantast earphonebut right side one one stop produc sound 1 month purchasei would request offici look matter custom care respond also alreadi month,0.7184,positive
This is my fourth purchase of boat earphones. I already had a boat 100 earphone. I will write down the pros and cons after eight months of using boat earphones.Pros:1. Good wire length.2. Fits in the ear.3. Sound quality is good.4. Bass is good.5. Easy for taking calls and speaking while working.6. Great for regular use.Cons:1. Musically it is moderately good. Treble is low.2. Absence of flat cables.3. Small ear beads.If it is used with care then it will last a good few years. The cable is regular wires given by nokia and other headphones.I am very happy with my purchase. Nice one for daily use by the general public who is not buying for musical use. Greatly recommended for everyday use. Extra beads are given matching ear type. Boat us a really genuine company with the given product range that it offers. Certainly go for it. I bought it at 399. At this price it is genuinely a good earphone.,India,16-July-2019,fourth purchas boat earphon alreadi boat 100 earphon write pro con eight month use boat earphonespros1 good wire length2 fit ear3 sound qualiti good4 bass good5 easi take call speak working6 great regular usecons1 music moder good trebl low2 absenc flat cables3 small ear beadsif use care last good year cabl regular wire given nokia headphonesi happi purchas nice one daili use gener public buy music use greatli recommend everyday use extra bead given match ear type boat us realli genuin compani given product rang offer certainli go bought 399 price genuin good earphon,0.985,positive
"I am a loyal boat fan. Having said that, I would like to share my review about this product within first 5 minutes of its use.The sound quality is awesome but still not as good as the hawk shaped variant. I opened up wynk playlist and it was a smooth experience. The bass effect is distinguishable. Loved the packaging shouting out 'Eargasm in the box'. The product lives up to it. It comes with a one year warranty which is a good deal, given the price point. I will update this review after one month of use. I hope it doesn't disappoint me. Boat never does that, actually.",India,8-October-2019,loyal boat fan said would like share review product within first 5 minut useth sound qualiti awesom still good hawk shape variant open wynk playlist smooth experi bass effect distinguish love packag shout eargasm box product live come one year warranti good deal given price point updat review one month use hope doesnt disappoint boat never actual,0.9658,positive
"Amazing! After a long time I got something perfect. I am a sound engineer , so it's very hard for me to select a earphone . But trust me it sounds like my sennheiser studio headphones. Perfect lows ,perfect mid, perfect highs . And the best part is I got this earphone at just 380 rupees.Its just amazing. worth the price and great value.Ultimate headphones for this price in this segment , i dint regret even a penny for buying this 😍his is my fourth purchase of boat earphones. I already had a boat 100 earphone. I will write down the pros and cons after eight months of using boat earphones.Pros:1. Good wire length.2. Fits in the ear.3. Sound quality is good.4. Bass is good.5. Easy for taking calls and speaking while working.6. Great for regular use.Cons:1. Musically it is moderately good. Treble is low.2. Absence of flat cables.3. Small ear beads.If it is used with care then it will last a good few years. The cable is regular wires given by nokia and other headphones.I am very happy with my purchase. Nice one for daily use by the general public who is not buying for musical use. Greatly recommended for everyday use. Extra beads are given matching ear type. Boat us a really genuine company with the given product range that it offers. Certainly go for it. I bought it at 399. At this price it is genuinely a good earphone.At the first it was awesome because I used to listen like western song(Rock💥)but after few days I don't knw wht happen suddenly its giving problem in volume like automatically up and down and the bass was totaly not working so with the help of one(1) year warranty I resend the earphones but still didn't get back but hope so it will work as working during the time of my purchased . And the other thing is jzt ""😍"" it..... Try it for further not regretting another time🙂Really a fantastic product for BOAT lovers. The sound quality is excellent. Overall, it's an amazing headphone with good value for money.Real noise cancellation. Worth buying it at this price.Good sound quality.Doesn't look cheap.Not a first copy considering lovely sound.It's just like mentioned in discription, very good quality of sound.",India,2-December-2019,amaz long time got someth perfect sound engin hard select earphon trust sound like sennheis studio headphon perfect low perfect mid perfect high best part got earphon 380 rupeesit amaz worth price great valueultim headphon price segment dint regret even penni buy fourth purchas boat earphon alreadi boat 100 earphon write pro con eight month use boat earphonespros1 good wire length2 fit ear3 sound qualiti good4 bass good5 easi take call speak working6 great regular usecons1 music moder good trebl low2 absenc flat cables3 small ear beadsif use care last good year cabl regular wire given nokia headphonesi happi purchas nice one daili use gener public buy music use greatli recommend everyday use extra bead given match ear type boat us realli genuin compani given product rang offer certainli go bought 399 price genuin good earphoneat first awesom use listen like western songrockbut day dont knw wht happen suddenli give problem volum like automat bass totali work help one1 year warranti resend earphon still didnt get back hope work work time purchas thing jzt tri regret anoth timer fantast product boat lover sound qualiti excel overal amaz headphon good valu moneyr nois cancel worth buy pricegood sound qualitydoesnt look cheapnot first copi consid love soundit like mention discript good qualiti sound,0.9995,positive
"It's the most useless and pathetic earphones available as it falls from the ear just in 2 to 5 seconds, each 2 or 3 minutes yiu need to plug in as it gets unplugged too easily, please don't buy it as I saw the reviews and then bought it but it's completely worthless and overpriced.",India,28-May-2020,useless pathet earphon avail fall ear 2 5 second 2 3 minut yiu need plug get unplug easili pleas dont buy saw review bought complet worthless overpr,-0.7556,negative
"This a perfect example when a branding of a product pushes u to believe in its quality and then under delivers.The pods were uncomfortable because they aren’t ergonomic in design, so they PIO out easily. The wire was very delicate and snapped recently as I was gently trying to pick and pull it out .Colour was lovely!  ..... and it did it’s job of enticing me to buy it.",India,4-January-2020,perfect exampl brand product push u believ qualiti deliversth pod uncomfort arent ergonom design pio easili wire delic snap recent gentli tri pick pull colour love job entic buy,0.9019,positive
">The sound quality is average.>The bass is there but it doesn't feel good it feels like its trying too hard to push bass and still fails to do it.> It claims to be tangle free which it is but theres a issue the cable is of very sticky rubber so if use earphones while lying in bed, it will stick in your clothes, bedsheet, blanket and will yank of you ears & that's really frustrating sometimes.> The fittings on these are really bad they don't fit properly in my years and have more than 10 pairs of earphones of different brands and they all fit perfectly, but this one doesn't sit properly, keeps falling out.>I may be nit picking a lot about these pairs but for the price of 350 we can't for whole lot so they're decent for their price...The only major issue for me is the ear fitting other than that they get the job done",India,13-September-2019,sound qualiti averageth bass doesnt feel good feel like tri hard push bass still fail claim tangl free there issu cabl sticki rubber use earphon lie bed stick cloth bedsheet blanket yank ear that realli frustrat sometim fit realli bad dont fit properli year 10 pair earphon differ brand fit perfectli one doesnt sit properli keep fall outi may nit pick lot pair price 350 cant whole lot theyr decent priceth major issu ear fit get job done,-0.852,negative
