reviews,country,date,cleaned_reviews,sentiment_score,review_category
AFTER 2 WEEKS OF DAILY 1-2 HR USEPROS:Sound quality is ear deafening... u can use it with 70-80% more than that u cant ..or u r crazy ...BASS 5/5I feel the price is affordable.5/5The wire are very durable 5/5(Wires with nylon outer cover as of i know )the buttons 5/5I use it as a daily driver in gym it wont come unless u take it out.Cons: After using it for 60-70 minutes you will feel slight discomfort due to the ear wing and  also you feel discomfort whiling  using it in while on a pillow in bed.( the ear hooks are detachable) it gives more comfort.but it is the best wired headset in the range and it is better than their own 225 headphones...i highly recommend it for people who need A good bass headphones,India,14-August-2019,2 week daili 12 hr useprossound qualiti ear deafen u use 7080 u cant u r crazi bass 55i feel price affordable55th wire durabl 55wire nylon outer cover know button 55i use daili driver gym wont come unless u take outcon use 6070 minut feel slight discomfort due ear wing also feel discomfort while use pillow bed ear hook detach give comfortbut best wire headset rang better 225 headphonesi highli recommend peopl need good bass headphon,0.5975,positive
"I was looking for midrange earphones from quite sometime for my workouts and running .but this piece of earphone is upto my mark asIt is perfectly grip in my ears no fear of falling while running,Clear and metallic soundGood bass ,Look wise it is awesome.Braided wire means strengthAfter using it for few days there is change in sound pattern  so I returned it. And I'm changing my review from 5 stars to 2",India,11-July-2019,look midrang earphon quit sometim workout run piec earphon upto mark asit perfectli grip ear fear fall runningclear metal soundgood bass look wise awesomebraid wire mean strengthaft use day chang sound pattern return im chang review 5 star 2,0.9259,positive
Loved this earphone its bass is out standing... build quality is great...if you're getting it for 449... Grab it. It's better than boat 225 and ant w56.. good for jogging. Design is not so Good but build quality is great. Get black color earphones. And cherry on top is it's has volume control buttons too... nobody gives volume control buttons in this price.,India,14-August-2019,love earphon bass stand build qualiti greatif your get 449 grab better boat 225 ant w56 good jog design good build qualiti great get black color earphon cherri top volum control button nobodi give volum control button price,0.9039,positive
As they promised that the quality of wire is too good but it is not.. the wire got damaged with in very short time at the joint as shown in the pic. I cannot replace now not sure how to claim warranty. Can someone (Amazon) help me to get this replaced or repaired?I will mark it as 5 star if it is replaced.,India,11-July-2019,promis qualiti wire good wire got damag short time joint shown pic cannot replac sure claim warranti someon amazon help get replac repairedi mark 5 star replac,0.2516,positive
"Excellent bass above 70% of volume. Sometime you will feel vibration of bass in 100% volume.😀Nice build quality.Ear tip fits well.You get this earphone, extra pair of eartip (small and large) and collor clip in the box. Neon green colour looks very nice.Didn't find any con after listening to 12-15 different genres songs, call quality is also good.Go for it in this price range (450-500).Though I received an open box but its not related to product quality. 1 less star for delivery and packing.",India,15-July-2019,excel bass 70 volum sometim feel vibrat bass 100 volumenic build qualityear tip fit wellyou get earphon extra pair eartip small larg collor clip box neon green colour look nicedidnt find con listen 1215 differ genr song call qualiti also goodgo price rang 450500though receiv open box relat product qualiti 1 less star deliveri pack,0.4767,positive
"This is a product review after using it for straight 2 hours since it just got delivered today.What an improvement firstly from the boat bassheads 225.Now, i dont know what the other negative reviews are about since i personally did not find any issue whatsoever with these infact i am delighted by it.If you are looking a for a good wired earphone and dont want to spend much then this would be the best budget earphone in the market right now.Firstly speaking of the body it is plastic and not metallic and so it has become lighter than the previous bassheads so much that after using it for 2 straight hours i almost forgot i had them put on. I just felt the wire could have been a bit thicker but dont forget the wire is braided and coated with a rubber like material which should resolve that dilemma.These come with ear hooks which to my surprise were so comfortable. I usually hate ear hooks cause they hurt after a while but these are just so soft and fit right in.Moving on the main purpose and the bigger question ""BASS"".I would say it's perfect.The sound quality is so very crisp and clear.BASS is in the right spot and according to me you dont need anymore.You may hear from other reviewers the BASS is not as good as the previous bassheads please understand it depends on what kind of music you listen and mostly the KBPS which is kilo bits per second. The higher the kbps the better the sound including bass and treble.The loudness is great almost deafening at the highest volume.To check noise cancellation (although these earphones dont say noise cancellation) I made a few phone calls and asked if they heard any background noise and they said they could hear little to nothing of whats happening in the background. Now ofcourse this is in a normal environment and may not cancel the traffic sounds or a loud background noise.The added advantage is the IPX4 sweat and water resistance (you dont find this feature in most wired earphones atleast not in this price range) which is great specially when you work out or when you are jogging or talking a walk. Although since it is wired you will find discomfort and so may want to get wireless bluetooth earphones instead.So heres how i would rate it on a scale of 1 - 5, 5 being the highest and 1 being the lowest.Price: 5Build Quality: 4.5 ( Only cause i think the wire could have been a little thicker)Loudness: 5Call Quality: 5Bass: 5 (The bass is just perfect if any more bass than this you'd better be putting your ears on a  loudspeaker).Hope this clarifies your doubts about this product.All in all yet another great product from BOAT and you wont regret the purchase.",India,7-October-2019,product review use straight 2 hour sinc got deliv todaywhat improv firstli boat basshead 225now dont know neg review sinc person find issu whatsoev infact delight itif look good wire earphon dont want spend much would best budget earphon market right nowfirstli speak bodi plastic metal becom lighter previou basshead much use 2 straight hour almost forgot put felt wire could bit thicker dont forget wire braid coat rubber like materi resolv dilemmathes come ear hook surpris comfort usual hate ear hook caus hurt soft fit right inmov main purpos bigger question bassi would say perfectth sound qualiti crisp clearbass right spot accord dont need anymorey may hear review bass good previou basshead pleas understand depend kind music listen mostli kbp kilo bit per second higher kbp better sound includ bass trebleth loud great almost deafen highest volumeto check nois cancel although earphon dont say nois cancel made phone call ask heard background nois said could hear littl noth what happen background ofcours normal environ may cancel traffic sound loud background noiseth ad advantag ipx4 sweat water resist dont find featur wire earphon atleast price rang great special work jog talk walk although sinc wire find discomfort may want get wireless bluetooth earphon insteadso here would rate scale 1 5 5 highest 1 lowestpric 5build qualiti 45 caus think wire could littl thickerloud 5call qualiti 5bass 5 bass perfect bass youd better put ear loudspeakerhop clarifi doubt productal yet anoth great product boat wont regret purchas,0.993,positive
"I purchased this boat hadset, initially it was working excellent but after 2 months, I don't know whether it's a design issues or might be other problem, I contacted service center of boat. They denied to replace my headphone, staff said me that it's a special cricketer editon so I need to complain via online from the boat website and I registered a complete raised ticket but still now no reply. Poor service. till date no reply from  BOAT. kindly think before buying boat products.",India,22-July-2019,purchas boat hadset initi work excel 2 month dont know whether design issu might problem contact servic center boat deni replac headphon staff said special cricket editon need complain via onlin boat websit regist complet rais ticket still repli poor servic till date repli boat kindli think buy boat product,-0.4057,negative
"This is the true earphone to connect you to nirvana not for longer times because it starts pain in ear after a long time continuous use.Bass- in the price of 450, bass is terrible. You will get powerful bass than you expect.Sound- if a headphone has poor sound, it is not a headphone. But this one has the sound that will blow your mind totally.Noice cancellation- in the price range of 400-500 no brand will give you perfect noice cancellation headphones, but in boat bassheads, there is noice cancellation but not so good.Overall- if you have 500 rs. And you are searching for beast headphone in you budget and if you are reading reviews, and if you are reading this one, i am telling you go for it without hesitation beacuse after a long research on 2 shopping sites i found thi product best in my price range.(i bouggt it for 450).",India,28-June-2020,true earphon connect nirvana longer time start pain ear long time continu usebass price 450 bass terribl get power bass expectsound headphon poor sound headphon one sound blow mind totallynoic cancel price rang 400500 brand give perfect noic cancel headphon boat basshead noic cancel goodoveral 500 rs search beast headphon budget read review read one tell go without hesit beacus long research 2 shop site found thi product best price rangei bouggt 450,0.8696,positive
It is second day of my usage. I went for run with this ear phones. They claim to be sweat proof but after 2 minutes of run my mic and volume button are giving false signals. Automatically music gets change and volume goes to zero all of sudden. I think this is because of sweat and mic is mis-operating.I think we should not call earphones sweat protection if any of the system is friendly for sweat. completely disappointed with product.,India,17-June-2020,second day usag went run ear phone claim sweat proof 2 minut run mic volum button give fals signal automat music get chang volum goe zero sudden think sweat mic misoperatingi think call earphon sweat protect system friendli sweat complet disappoint product,0.4235,positive
"Just overdid it on the bass. There is virtually no treble. The singers voice just gets muted. Good for pew pew Hindi, pop, hip-hop type songs. I guess that's why they are sold in India. Not for metalheads! Also the eargrips are uncomfortable after long use. Needless addition. Durability I will comment a few months later. But for the price can't complain. It's no Bose.",India,29-October-2019,overdid bass virtual trebl singer voic get mute good pew pew hindi pop hiphop type song guess that sold india metalhead also eargrip uncomfort long use needless addit durabl comment month later price cant complain bose,0.5912,positive
