reviews,country,date,cleaned_reviews,sentiment_score,review_category
Great quality and the sound is actually great.Pros1) hd sound quality is great it has micro woffers.2) built quality is great wires are thick.3) hd calling is great my voice was clearly audible to  other person on the call.Cons1) sometimes earbuds hurt the ears and they might not be comfortable to some people otherwise it's a great product,India,19-July-2019,great qualiti sound actual greatpros1 hd sound qualiti great micro woffers2 built qualiti great wire thick3 hd call great voic clearli audibl person callcons1 sometim earbud hurt ear might comfort peopl otherwis great product,0.959,positive
"I've been using this from past 6 months. This was the actual earphones that i was searching for.. And really had a great experience.Specs of the earphones are great, the micro woofers deliver you great sound quality and bass. And the noise cancellation is upto the mark. Earphones never slips from the ears and you too won't allow them to as they deliver gread sound effect. Right now my earphones are not there because it was damaged by my brother.",India,10-September-2019,ive use past 6 month actual earphon search realli great experiencespec earphon great micro woofer deliv great sound qualiti bass nois cancel upto mark earphon never slip ear wont allow deliv gread sound effect right earphon damag brother,0.8749,positive
Perfect bass and nice one. Superb sound and it has noise cancellation. Simply Superb and worthy.,India,19-July-2019,perfect bass nice one superb sound nois cancel simpli superb worthi,0.9559,positive
"A quick honest review.Wanted a portable earphones alternate to my big headphones which sometimes gives pain to ears after constant use so thought of getting earphones as having earphones and headphones at same time is like getting better from both the world's.Design - red variant have killer color design.Sound- very nice even at lowest volume, you can still hear it nicely.Bass- justify at this price range.Treble- just equivalent to bass magnitude.What I felt is that in this earphones bass and treble goes hand by hand , none of the one has edge over other which makes it perfect for me. Both are complimentary to each other, perfectly match.What I didn't liked is in ear design, it pains sometimes, comes with different sizes of ear buds and rings too so you have to see which one fits perfectly.Overall at this price range it's worth it, definitely go for it.Edit: it's 24 September 2020, more than a year and it's still delivering music without any issues. Moreover I have purchased many earphones in between ,some in ear and some headphones, but this is still working while many have encountered issues. I have used this while riding bike under heavy rain so it's also immune to rain, mic wasn't very good from the beginning as it should not be for a calling purpose. Music is really good, seeing its overall built quality and thick wires,it's pretty obvious that that's why it still working perfectly fine without any issues.",India,9-March-2020,quick honest revieww portabl earphon altern big headphon sometim give pain ear constant use thought get earphon earphon headphon time like get better worldsdesign red variant killer color designsound nice even lowest volum still hear nicelybass justifi price rangetrebl equival bass magnitudewhat felt earphon bass trebl goe hand hand none one edg make perfect complimentari perfectli matchwhat didnt like ear design pain sometim come differ size ear bud ring see one fit perfectlyoveral price rang worth definit go itedit 24 septemb 2020 year still deliv music without issu moreov purchas mani earphon ear headphon still work mani encount issu use ride bike heavi rain also immun rain mic wasnt good begin call purpos music realli good see overal built qualiti thick wiresit pretti obviou that still work perfectli fine without issu,0.9787,positive
I got duplicate product.Logo of the boult is differentInvalid warranty cardQuality of the wire is very poorThe box is totally differentThe mic is very poor,India,20-July-2019,got duplic productlogo boult differentinvalid warranti cardqual wire poorth box total differentth mic poor,-0.5256,negative
"If you are a bass lover and love to listen the song in full volume then **THIS HEADPHONE IS NOT MEANT FOR IT**. The output coming out of this headset is very loud and I feel irritated after just listing one song.I wanted to return this but my kid tore down the packaging so I cannot return it.  Don't just see the rating and buy the headphone.Quality is okay....Pros1.  If you looking for loud audio output, then this is the one2. Only voice nothing else.Cons1. No Bass2. No clarityNot my kind of Headset...",India,10-September-2019,bass lover love listen song full volum headphon meant output come headset loud feel irrit list one songi want return kid tore packag cannot return dont see rate buy headphonequ okaypros1 look loud audio output one2 voic noth elsecons1 bass2 claritynot kind headset,0.7693,positive
I ordered Boult Wireless earphones and this is so wonderful. neckband is so soft it doesnt hurt on neck and so light weight you will not feal any burden on neck. plus sound quality and overall earphone quality is wonderful. you will also get extra buds with earphones in case if you lose any rubber buds to it. noise reduction is also fair. worth to buy.,India,6-August-2020,order boult wireless earphon wonder neckband soft doesnt hurt neck light weight feal burden neck plu sound qualiti overal earphon qualiti wonder also get extra bud earphon case lose rubber bud nois reduct also fair worth buy,0.934,positive
"Boult pro Bass x1-Delivery - in 2 days received.Overall Sound Quality-4.8/5Noise cancellation-4.5/5.BASS-4.8/5.Vocals & Trabels - 4.8/5Quality of neckband - 4.5/5.Calling -3.8/5(same time connection failed)Betty life- 4/51st impression- Very GoodCompare with (overall rating)Boult pro bass x1 -(4.8/5) vsBoat (330,333,255 pro+) -(4.5/5)",India,1-October-2019,boult pro bass x1deliveri 2 day receivedoveral sound quality485nois cancellation455bass485voc trabel 485qualiti neckband 455call 385same time connect failedbetti life 451st impress goodcompar overal ratingboult pro bass x1 485 vsboat 330333255 pro 455,0.2263,positive
"Here is the review after 1 week of usePros:1.Best build quality even under price range of 1000 rs2.Best mic and relatively better wire length3.Best fit in ears4.Good for classical music-------------------------------------------------------------Cons:1.Not the best sound quality in this price range2.Low end sucks3.Muffled bass4.It can't handle songs with both highs and lows simultaneously5.It confuses between them and the output is unexpected6.Cant use it for extended period and while sleeping on sides which most of the engineering students do.7.Not loud enough compared Sennheiser cx180,boat basshead 100,225 etc8.Starts crackling at highest volume.Go for boat basshead 100 350rs if you can compromise build qualityIt has the best bass quality even under 900 rsBut it wont last more than 6 months1.",India,27-July-2021,review 1 week usepros1best build qualiti even price rang 1000 rs2best mic rel better wire length3best fit ears4good classic musiccons1not best sound qualiti price range2low end sucks3muffl bass4it cant handl song high low simultaneously5it confus output unexpected6c use extend period sleep side engin student do7not loud enough compar sennheis cx180boat basshead 100225 etc8start crackl highest volumego boat basshead 100 350r compromis build qualityit best bass qualiti even 900 rsbut wont last 6 months1,0.8934,positive
"The company says that it has subwoofers! They do not perform even close to what subwoofers are supposed to do. I had to increase the 60 Hz Freq response by +10 Db using an EQ to get enough bass that will give a flat sounding experience. For this price point, I have seen different earphones that perform really well in the low frequency range. The mids and highs are okayish and are suitable for watching videos and movies.About the build quality and form factor, they are well built, 3.5mm jack is angled and will last long. These are durable earphones if you take care of them. And they also provide different sizes for ear support buds.",India,1-August-2021,compani say subwoof perform even close subwoof suppos increas 60 hz freq respons 10 db use eq get enough bass give flat sound experi price point seen differ earphon perform realli well low frequenc rang mid high okayish suitabl watch video moviesabout build qualiti form factor well built 35mm jack angl last long durabl earphon take care also provid differ size ear support bud,0.8716,positive
Great quality and the sound is actually great.Pros1) hd sound quality is great it has micro woffers.2) built quality is great wires are thick.3) hd calling is great my voice was clearly audible to  other person on the call.Cons1) sometimes earbuds hurt the ears and they might not be comfortable to some people otherwise it's a great product,India,19-July-2019,great qualiti sound actual greatpros1 hd sound qualiti great micro woffers2 built qualiti great wire thick3 hd call great voic clearli audibl person callcons1 sometim earbud hurt ear might comfort peopl otherwis great product,0.959,positive
