reviews,country,date,cleaned_reviews,sentiment_score,review_category
Four stars because the outer condition of books was a little wrinkled in process. Ill recommend this book for every ca inter student as it covers full syllabus that too in a good and simple manner. Chapters in which there is a possibility of numericals has a seperate numerical sectionAbove all it has super and clear mind map fir each and every chapter at the beginning.,India,19-July-2020,four star outer condit book littl wrinkl process ill recommend book everi ca inter student cover full syllabu good simpl manner chapter possibl numer seper numer sectionabov super clear mind map fir everi chapter begin,0.8442,positive
"It is a 3year old book , the title shows book for may 22 but it isn't for may 2022 it's printed in 2019 for may 20 , so please save your money and don't buy this",India,18-March-2022,3year old book titl show book may 22 isnt may 2022 print 2019 may 20 pleas save money dont buy,0.8659,positive
The book has been summarised with great efforts and has been presented very well. The summarised view and graphical view makes it easy to understand.A good book for reference.,India,19-July-2020,book summaris great effort present well summaris view graphic view make easi understanda good book refer,0.9061,positive
Best bookBetter than other booksLanguage is very easy to understandGood work by Prof Mr.Sonu Rane,India,18-March-2022,best bookbett bookslanguag easi understandgood work prof mrsonu rane,0.8122,positive
Really it's a great bookI will recommend to every ca inter studentsIt's easy to understand and used simple language,India,10-July-2022,realli great booki recommend everi ca inter studentsit easi understand use simpl languag,0.8678,positive
Loved the book... If read thoroughly u can score very good mrks... Buy it without any doubt,India,9-January-2020,love book read thoroughli u score good mrk buy without doubt,0.8482,positive
Good product with QR codes for video classes and easily understandable,India,29-August-2020,good product qr code video class easili understand,0.6486,positive
"It's so good book for CA students, this book contains the all concepts ant contents.This is defined in a simple language understanding under important headings.",India,21-March-2022,good book ca student book contain concept ant contentsthi defin simpl languag understand import head,0.6115,positive
This book is amazing but it's not the updated one. It's old edition. There are many amendments which are not covered in first 2 chapters.,India,7-August-2020,book amaz updat one old edit mani amend cover first 2 chapter,0.34,positive
Best summary book for Economics as well as conceptually clarity .,India,7-November-2021,best summari book econom well conceptu clariti ,0.8402,positive
Four stars because the outer condition of books was a little wrinkled in process. Ill recommend this book for every ca inter student as it covers full syllabus that too in a good and simple manner. Chapters in which there is a possibility of numericals has a seperate numerical sectionAbove all it has super and clear mind map fir each and every chapter at the beginning.,India,19-July-2020,four star outer condit book littl wrinkl process ill recommend book everi ca inter student cover full syllabu good simpl manner chapter possibl numer seper numer sectionabov super clear mind map fir everi chapter begin,0.8442,positive
"It is a 3year old book , the title shows book for may 22 but it isn't for may 2022 it's printed in 2019 for may 20 , so please save your money and don't buy this",India,18-March-2022,3year old book titl show book may 22 isnt may 2022 print 2019 may 20 pleas save money dont buy,0.8659,positive
The book has been summarised with great efforts and has been presented very well. The summarised view and graphical view makes it easy to understand.A good book for reference.,India,19-July-2020,book summaris great effort present well summaris view graphic view make easi understanda good book refer,0.9061,positive
Best bookBetter than other booksLanguage is very easy to understandGood work by Prof Mr.Sonu Rane,India,18-March-2022,best bookbett bookslanguag easi understandgood work prof mrsonu rane,0.8122,positive
Really it's a great bookI will recommend to every ca inter studentsIt's easy to understand and used simple language,India,10-July-2022,realli great booki recommend everi ca inter studentsit easi understand use simpl languag,0.8678,positive
Loved the book... If read thoroughly u can score very good mrks... Buy it without any doubt,India,9-January-2020,love book read thoroughli u score good mrk buy without doubt,0.8482,positive
Good product with QR codes for video classes and easily understandable,India,29-August-2020,good product qr code video class easili understand,0.6486,positive
"It's so good book for CA students, this book contains the all concepts ant contents.This is defined in a simple language understanding under important headings.",India,21-March-2022,good book ca student book contain concept ant contentsthi defin simpl languag understand import head,0.6115,positive
This book is amazing but it's not the updated one. It's old edition. There are many amendments which are not covered in first 2 chapters.,India,7-August-2020,book amaz updat one old edit mani amend cover first 2 chapter,0.34,positive
Best summary book for Economics as well as conceptually clarity .,India,7-November-2021,best summari book econom well conceptu clariti ,0.8402,positive
