reviews,country,date,cleaned_reviews,sentiment_score,review_category
"                    The media could not be loaded.
                



 Look:  👌👌👌👌White colour is seriously giving a feeling of recycle materials which is little faded and greyish in colour.Sound:👌👌👌👌👌Super Sound quality and entertaining.",India,9-November-2020," media could loaded
 



look white colour serious give feel recycl materi littl fade greyish coloursoundsup sound qualiti entertain",0.9942,positive
Even boat stone speaker has better sound quality than this so called smart speaker.They said in description it's bass will be improved and with improved sound quality.But this is the worst sound I have ever listened on speaker.I have preordered this item in October assuming by its description it will be good than previous generations.Firstly they delivered i got defected product and it was not working at all as it was not connecting to wifi . then they said we will replace it and now i got my replacement order today and found out that sound quality is too poor and bass is too less. I want to return it but now amazon customer care saying you should have told this earlier but i got this product today only  and the defected product was not  my  mistake and they are not giving me refund and not accepting return.  how can i check sound quality on defected product which was not connecting to the wifi. Im litterly surprised by the behaviour of the customer executive .0/5 In customer service,India,16-November-2020,even boat stone speaker better sound qualiti call smart speakerthey said descript bass improv improv sound qualitybut worst sound ever listen speakeri preorder item octob assum descript good previou generationsfirstli deliv got defect product work connect wifi said replac got replac order today found sound qualiti poor bass less want return amazon custom care say told earlier got product today defect product mistak give refund accept return check sound qualiti defect product connect wifi im litterli surpris behaviour custom execut 05 custom servic,0.0961,positive
"I own Alexa 3rd Generation without clock, with clock and also alexa flex. My review is purely in comparison with other Alexa's and unless you have used them before you may not feel the difference.Sound quality: It's just fair compared to the 3rd Generation without clock model but is almost same as 3rd Generation with clock model. Lacks bass.Listening: Does not wake up when called in normal voice. Need to shout to wake it up. This is even bad when in between music. Same experience with 3rd generation echo dot with clock but 3rd generation without clock does not have this issue.Notification light: It's provided in the bottom of the device which gets hidden when placed on a high surface. Eg I have placed it above my TV and when I am on bed, I don't see the notification light unlike in 3rd generation where the light was at top.Clock: It has ambient light sensor and brightness adjusts accord to the room lighting. Same as 3rd gen with clock.Overall I dint experience any significant improvement from 3rd gen clock model. It appears like 3rd Gen in new look. So far only major draw back is the position of notification light.",India,9-November-2020,alexa 3rd gener without clock clock also alexa flex review pure comparison alexa unless use may feel differencesound qualiti fair compar 3rd gener without clock model almost 3rd gener clock model lack basslisten wake call normal voic need shout wake even bad music experi 3rd gener echo dot clock 3rd gener without clock issuenotif light provid bottom devic get hidden place high surfac eg place tv bed dont see notif light unlik 3rd gener light topclock ambient light sensor bright adjust accord room light 3rd gen clockoveral dint experi signific improv 3rd gen clock model appear like 3rd gen new look far major draw back posit notif light,0.8294,positive
"I purchased this product about 10 days ago and it is not switching on any more, I know they got a one year warranty but I search every where how to make this warranty working but I don't find any where the option to return the product for services...it is very frustrating",India,16-November-2020,purchas product 10 day ago switch know got one year warranti search everi make warranti work dont find option return product servicesit frustrat,-0.6474,negative
"""A friend in a need is a friend indeed"" Echo dot is just like a true, smart and intelligent friend. It's upto your training how well you tune it. It easily respond whenever you say ""Alexa"".PROS:1. Easy and smooth conversation.2. Volume can easily cover your living room, bedroom or office. I never set it to maximum (10). 7 or 8 is sufficient. Usually I set it to 6.3. While listening to music base is much balanced and sound is crystal clear. It is equipped with Amazon Music, Hungama music, Apple Music, Deezer, iHeartRadio, Pandora, SiriusXM, Spotify, Tidal, TuneIn, and Vevo.4. As far as intelligence and General Knowledge is concern, it is bang on. It will give you exact answers related to your GK questions. You my also add your own questions and answers in 'my question' section. I.e Alexa please tell me who is best YouTube? Answers: your own name. 😀5. It connects diligently to different smart devices like Smart TV, AC, Smart switches, Smart Bulbs etc. No issues I found while I connected it with Smart devices at my home.6. It's LED light glows and indicates it's status quite well. Blue led indicates it is working fine. Yellow indicates it to be in setup mode and Red indicates that your device needs a troubleshoot.7. It's one of your best friend at your home. So enjoy It's company.CONS:1. The only con I found is incompatibilities with YouTube. It cannot connect with YouTube.Hope my review will help you buy this Smart Intelligent Friend. 🤟",India,27-November-2020,friend need friend inde echo dot like true smart intellig friend upto train well tune easili respond whenev say alexapros1 easi smooth conversation2 volum easili cover live room bedroom offic never set maximum 10 7 8 suffici usual set 63 listen music base much balanc sound crystal clear equip amazon music hungama music appl music deezer iheartradio pandora siriusxm spotifi tidal tunein vevo4 far intellig gener knowledg concern bang give exact answer relat gk question also add question answer question section ie alexa pleas tell best youtub answer name 5 connect dilig differ smart devic like smart tv ac smart switch smart bulb etc issu found connect smart devic home6 led light glow indic statu quit well blue led indic work fine yellow indic setup mode red indic devic need troubleshoot7 one best friend home enjoy companycons1 con found incompat youtub cannot connect youtubehop review help buy smart intellig friend ,0.9977,positive
"Worst experience ever. Evey 2-3 months there is connectivity issues. I bought twice. Both product same issue. Never expected the same issue 2nd time.Why some will buy or the issue is occurring with multiple devices bought in just 6 months. Same with 2 devices.After 1st occurance, I returned the device and bought another 1. Again after 2 months same issue.  One fine morning it's saying not able to connect wifi, where as other devices like phone and laptops aste fine with wifi connection.Amazon, please don't fool people with faulty devices, now it's  again it's confirmed china item is always duplicate.",India,2-January-2021,worst experi ever evey 23 month connect issu bought twice product issu never expect issu 2nd timewhi buy issu occur multipl devic bought 6 month 2 devicesaft 1st occur return devic bought anoth 1 2 month issu one fine morn say abl connect wifi devic like phone laptop ast fine wifi connectionamazon pleas dont fool peopl faulti devic confirm china item alway duplic,0.3412,positive
Just in a day my family started loving it. Just buy it now and she will become ur family member. It's sound bass is impressive. It's processing speed is much better than 3rd generation. You can add desired skills and routines according to ur desire. Alexa is superb on understanding hindi/English and mixed language commands properly.,India,7-April-2021,day famili start love buy becom ur famili member sound bass impress process speed much better 3rd gener add desir skill routin accord ur desir alexa superb understand hindienglish mix languag command properli,0.9584,positive
"                    The media could not be loaded.
                



 Voice recognition is very very very very poor",India,4-July-2021," media could loaded
 



voic recognit poor",-0.604,negative
"After 2 days of use, Alexa autimatically disconnect from wifi. And never connected back to wifi ever. I tried so many times manually also. But result was same. So i decidec to return it back ... Not aa god experience..",India,3-January-2021,2 day use alexa autimat disconnect wifi never connect back wifi ever tri mani time manual also result decidec return back aa god experi,-0.3007,negative
"For the past 3 months, the performance of this device has deteriorated so much so that its now kept disconnected. After power on, it takes time to connect to the wifi. The system completely fails within 2-3 hours, and then all its buttons, the mic, Alexa, bluetooth or any other phone functionalities just disappear. Only solution would be to reboot.",India,14-October-2021,past 3 month perform devic deterior much kept disconnect power take time connect wifi system complet fail within 23 hour button mic alexa bluetooth phone function disappear solut would reboot,-0.4005,negative
