reviews,country,date,cleaned_reviews,sentiment_score,review_category
Not good quality . So much disturbance . This was the worst product I could buy from Amazon !!!,India,17-May-2021,good qualiti much disturb worst product could buy amazon ,-0.8611,negative
It's an excellent product but after 2 months the left earphone went off and that's the reason I'm not at all satisfied,India,26-December-2020,excel product 2 month left earphon went that reason im satisfi,-0.165,negative
"The packing seemed new, yet there were scratches on the glossy case. The connectivity is easy, but sometimes it may disconnect for a split second. Good battery backup, would recommend for travelling use.",India,26-December-2020,pack seem new yet scratch glossi case connect easi sometim may disconnect split second good batteri backup would recommend travel use,0.8422,positive
Very bad sound quality. If u want to use it for calling it's pathetic. While riding bike u can't use calling as ur voice won't b audible to other person.,India,2-April-2021,bad sound qualiti u want use call pathet ride bike u cant use call ur voic wont b audibl person,-0.8016,negative
"                    The media could not be loaded.
                



 Out of two only one earpod is working. So this is a defective product send by vendor. Need to return money.",India,3-February-2021," media could loaded
 



out two one earpod work defect product send vendor need return money",-0.4404,negative
Actually the product is good but one of the left ear dopes is not working so returning,India,6-February-2021,actual product good one left ear dope work return,0.2382,positive
"one earpiece is not working after one month, my money wasted .",India,21-February-2022,one earpiec work one month money wast ,-0.4939,negative
It connectivity is very weak,India,17-May-2021,connect weak,-0.4927,negative
,India,7-September-2021,,0.0,neutral
"                    The media could not be loaded.
                



 One speaker working properly another one not working so I want to return it but now I am unable to return item. What to do for replacement",India,27-March-2021," media could loaded
 



one speaker work properli anoth one work want return unabl return item replac",0.0745,positive
Not good quality . So much disturbance . This was the worst product I could buy from Amazon !!!,India,17-May-2021,good qualiti much disturb worst product could buy amazon ,-0.8611,negative
It's an excellent product but after 2 months the left earphone went off and that's the reason I'm not at all satisfied,India,26-December-2020,excel product 2 month left earphon went that reason im satisfi,-0.165,negative
"The packing seemed new, yet there were scratches on the glossy case. The connectivity is easy, but sometimes it may disconnect for a split second. Good battery backup, would recommend for travelling use.",India,26-December-2020,pack seem new yet scratch glossi case connect easi sometim may disconnect split second good batteri backup would recommend travel use,0.8422,positive
Very bad sound quality. If u want to use it for calling it's pathetic. While riding bike u can't use calling as ur voice won't b audible to other person.,India,2-April-2021,bad sound qualiti u want use call pathet ride bike u cant use call ur voic wont b audibl person,-0.8016,negative
"                    The media could not be loaded.
                



 Out of two only one earpod is working. So this is a defective product send by vendor. Need to return money.",India,3-February-2021," media could loaded
 



out two one earpod work defect product send vendor need return money",-0.4404,negative
Actually the product is good but one of the left ear dopes is not working so returning,India,6-February-2021,actual product good one left ear dope work return,0.2382,positive
"one earpiece is not working after one month, my money wasted .",India,21-February-2022,one earpiec work one month money wast ,-0.4939,negative
It connectivity is very weak,India,17-May-2021,connect weak,-0.4927,negative
,India,7-September-2021,,0.0,neutral
"                    The media could not be loaded.
                



 One speaker working properly another one not working so I want to return it but now I am unable to return item. What to do for replacement",India,27-March-2021," media could loaded
 



one speaker work properli anoth one work want return unabl return item replac",0.0745,positive
