reviews,country,date,cleaned_reviews,sentiment_score,review_category
"This is my 1st ever Echo 🥺 I'm amazed by its capabilities, however I still do not feel any necessities of it.""The more you want to be dependent, you become dependent""It's really an impulsive purchase 😀. But still you should experience echo devices at least once. Just to experience the technology. In many things it is useful, like asking questions, weather, alarm, news etc.Now its pros:1. Love ❤️ the design.2. Has a good weight.3. Sturdy built.4. Good bass for such a 1.6"" driver.5. Highs with just 0.8"" tweeter is adding unbelievable clarity to the sound.6.  Can easily pair to the Alexa app.7. Priced moderately.8. You can make connections to smart plug and smart bulbs easily.9. Can play apple music if u hv subscription.10. Auto pairing after light cuts.11. Excellent sound quality for its wize 👍12. 5 feet power adaptor cable13. Has Line out 3.5mm for connecting external speakers or ht.Cons:1. Need a continuous power.2. Need a continuous wifi connection.Colors: black, white and blue. Black one gives you more contrast against its bottom lighting ring. Black doesn't get dirty easily. Gives a distinct look.That's about it friends! Ask me if you have any questions.",India,24-October-2020,1st ever echo im amaz capabl howev still feel necess itth want depend becom dependentit realli impuls purchas still experi echo devic least experi technolog mani thing use like ask question weather alarm news etcnow pros1 love design2 good weight3 sturdi built4 good bass 16 driver5 high 08 tweeter ad unbeliev clariti sound6 easili pair alexa app7 price moderately8 make connect smart plug smart bulb easily9 play appl music u hv subscription10 auto pair light cuts11 excel sound qualiti wize 12 5 feet power adaptor cable13 line 35mm connect extern speaker htcons1 need continu power2 need continu wifi connectioncolor black white blue black one give contrast bottom light ring black doesnt get dirti easili give distinct lookthat friend ask question,0.9945,positive
"So it is my first Echo Dot.It definitely looks good. I like its spherical shape as compared to Ice hockey shape of last gen.Setting up hardly takes a minute.Sound quality is nothing impressive.Loudness is good enough but bass response is too low. Even lower than my 5watt JBL speaker which is definitely a let down. However bass can be increased but make sure with bass you also increase mids n high a bit so that the bass doesn't overpower the vocals n instruments.It is quite responsive in taking commands but at times it does not respond even if I shout and that too when the speaker is the same room as I am. It appears that it goes on sleep mode when not in use for quite a while. Not a deal breaker but it can be a nuisance clicking the mute or voice recognition button just to ""wake"" it up.Overall I am fine the product. As a new user, I do not mind it however I feel like bigger echo will definitely be the best if money is not an issue.But yes for an entry level smart speaker it is amazing n definitely worth the price.",India,5-December-2020,first echo dotit definit look good like spheric shape compar ice hockey shape last genset hardli take minutesound qualiti noth impressiveloud good enough bass respons low even lower 5watt jbl speaker definit let howev bass increas make sure bass also increas mid n high bit bass doesnt overpow vocal n instrumentsit quit respons take command time respond even shout speaker room appear goe sleep mode use quit deal breaker nuisanc click mute voic recognit button wake upoveral fine product new user mind howev feel like bigger echo definit best money issuebut ye entri level smart speaker amaz n definit worth price,0.991,positive
"Excellent product, super quality. It capable to play audible audio books and it reads kindle e books also, I am wandering about reading capable of reading kindle books. I am enjoying.",India,24-October-2020,excel product super qualiti capabl play audibl audio book read kindl e book also wander read capabl read kindl book enjoy,0.9559,positive
Alexa is recording everything spoken at home and uploading to Amazon servers and then suggesting  what ig thinks you need to buy through the app. This is severe violation of personal privacy and illegalInchu of Amazon customer  care 1424H is in denial and defending  the indefensible. Wonder what the public think of Amazons illegal invasion of personal space like this,India,28-October-2020,alexa record everyth spoken home upload amazon server suggest ig think need buy app sever violat person privaci illegalinchu amazon custom care 1424h denial defend indefens wonder public think amazon illeg invas person space like,-0.34,negative
I was expecting more as it's 4th gen... But disappointed as nothing new as all things r same as 3rd gen..Even AUX IN Not supported. Light ring also not much visible at lower level.. Lots of design fault one can experience when use... Buttons also feels like cheap Bluetooth speakers.Audio quality seems same as 3rd gen.. I was expecting better sound quality as size increased.. At least more Bass can added... Very disappointed😞.. AUX IN is much needed n expected. I m keeing it as got in deal price..,India,25-October-2020,expect 4th gen disappoint noth new thing r 3rd geneven aux support light ring also much visibl lower level lot design fault one experi use button also feel like cheap bluetooth speakersaudio qualiti seem 3rd gen expect better sound qualiti size increas least bass ad disappoint aux much need n expect kee got deal price,-0.9239,negative
"                    The media could not be loaded.
                



 Alexa made my life so easier, i don't have to turn off and on lights and fans with my own hand, she take cares of those silly things. She know what songs i like, plays it for me.  She knows i like to listen news every morning when i wake up, i just say ""alexa! good morning"". She take cares of all my payments pending, all my ola bookings, and remind me to drink water every 1 hours later. Also some times when i cooking, i forget recipes, I just ask her, She knows every thing. I love my alexa.",India,5-December-2020," media could loaded
 



alexa made life easier dont turn light fan hand take care silli thing know song like play know like listen news everi morn wake say alexa good morn take care payment pend ola book remind drink water everi 1 hour later also time cook forget recip ask know everi thing love alexa",0.9761,positive
Love the new revamped version of Alexa.  All you need to do is configure the devices via Alexa app and your good to go.Sound is definitely better than 3rd gen echo dot.Bass is better than previous gen(Increase bass to full via Alexa app to enjoy).Easy to connect other smart home appliances.Pro-Good sound quality and bass.Mic sound reception is goodCon-Feels little bulkyNot so portable as it needs continues powersupply.,India,23-October-2020,love new revamp version alexa need configur devic via alexa app good gosound definit better 3rd gen echo dotbass better previou genincreas bass full via alexa app enjoyeasi connect smart home appliancesprogood sound qualiti bassmic sound recept goodconfeel littl bulkynot portabl need continu powersuppli,0.9538,positive
The sound quality is not that good. Especially the bass quality is very low. In the discription of the product it was mentioned that the bass quality has been improved compaired to older generations but it is not true. Paid more money for nothing.,India,22-January-2021,sound qualiti good especi bass qualiti low discript product mention bass qualiti improv compair older gener true paid money noth,-0.5183,negative
"Love the new revamped version of Alexa. Connected all my smart devices like Bulb, TV, Playstation etc. Everything is working seamlessly. All you need to do is configure the devices via Alexa app and your good to go.Sound is slightly better than previous version but if your coming from 3rd Gen you won't notice that much. For more deeper and rich experience i would say go for higher model and also at this point since it is a very new devices i can see sometimes the device didn't respond but i believe that will be fixed with software updates.",India,30-October-2020,love new revamp version alexa connect smart devic like bulb tv playstat etc everyth work seamlessli need configur devic via alexa app good gosound slightli better previou version come 3rd gen wont notic much deeper rich experi would say go higher model also point sinc new devic see sometim devic didnt respond believ fix softwar updat,0.9224,positive
"                    The media could not be loaded.
                



 Not responding after few minutes. Even if I speak within 30cm range. I have to press mute and unmute again to make it work. Have to return.",India,26-October-2020," media could loaded
 



not respond minut even speak within 30cm rang press mute unmut make work return",0.0,neutral
"This is my 1st ever Echo 🥺 I'm amazed by its capabilities, however I still do not feel any necessities of it.""The more you want to be dependent, you become dependent""It's really an impulsive purchase 😀. But still you should experience echo devices at least once. Just to experience the technology. In many things it is useful, like asking questions, weather, alarm, news etc.Now its pros:1. Love ❤️ the design.2. Has a good weight.3. Sturdy built.4. Good bass for such a 1.6"" driver.5. Highs with just 0.8"" tweeter is adding unbelievable clarity to the sound.6.  Can easily pair to the Alexa app.7. Priced moderately.8. You can make connections to smart plug and smart bulbs easily.9. Can play apple music if u hv subscription.10. Auto pairing after light cuts.11. Excellent sound quality for its wize 👍12. 5 feet power adaptor cable13. Has Line out 3.5mm for connecting external speakers or ht.Cons:1. Need a continuous power.2. Need a continuous wifi connection.Colors: black, white and blue. Black one gives you more contrast against its bottom lighting ring. Black doesn't get dirty easily. Gives a distinct look.That's about it friends! Ask me if you have any questions.",India,24-October-2020,1st ever echo im amaz capabl howev still feel necess itth want depend becom dependentit realli impuls purchas still experi echo devic least experi technolog mani thing use like ask question weather alarm news etcnow pros1 love design2 good weight3 sturdi built4 good bass 16 driver5 high 08 tweeter ad unbeliev clariti sound6 easili pair alexa app7 price moderately8 make connect smart plug smart bulb easily9 play appl music u hv subscription10 auto pair light cuts11 excel sound qualiti wize 12 5 feet power adaptor cable13 line 35mm connect extern speaker htcons1 need continu power2 need continu wifi connectioncolor black white blue black one give contrast bottom light ring black doesnt get dirti easili give distinct lookthat friend ask question,0.9945,positive
"So it is my first Echo Dot.It definitely looks good. I like its spherical shape as compared to Ice hockey shape of last gen.Setting up hardly takes a minute.Sound quality is nothing impressive.Loudness is good enough but bass response is too low. Even lower than my 5watt JBL speaker which is definitely a let down. However bass can be increased but make sure with bass you also increase mids n high a bit so that the bass doesn't overpower the vocals n instruments.It is quite responsive in taking commands but at times it does not respond even if I shout and that too when the speaker is the same room as I am. It appears that it goes on sleep mode when not in use for quite a while. Not a deal breaker but it can be a nuisance clicking the mute or voice recognition button just to ""wake"" it up.Overall I am fine the product. As a new user, I do not mind it however I feel like bigger echo will definitely be the best if money is not an issue.But yes for an entry level smart speaker it is amazing n definitely worth the price.",India,5-December-2020,first echo dotit definit look good like spheric shape compar ice hockey shape last genset hardli take minutesound qualiti noth impressiveloud good enough bass respons low even lower 5watt jbl speaker definit let howev bass increas make sure bass also increas mid n high bit bass doesnt overpow vocal n instrumentsit quit respons take command time respond even shout speaker room appear goe sleep mode use quit deal breaker nuisanc click mute voic recognit button wake upoveral fine product new user mind howev feel like bigger echo definit best money issuebut ye entri level smart speaker amaz n definit worth price,0.991,positive
"Excellent product, super quality. It capable to play audible audio books and it reads kindle e books also, I am wandering about reading capable of reading kindle books. I am enjoying.",India,24-October-2020,excel product super qualiti capabl play audibl audio book read kindl e book also wander read capabl read kindl book enjoy,0.9559,positive
Alexa is recording everything spoken at home and uploading to Amazon servers and then suggesting  what ig thinks you need to buy through the app. This is severe violation of personal privacy and illegalInchu of Amazon customer  care 1424H is in denial and defending  the indefensible. Wonder what the public think of Amazons illegal invasion of personal space like this,India,28-October-2020,alexa record everyth spoken home upload amazon server suggest ig think need buy app sever violat person privaci illegalinchu amazon custom care 1424h denial defend indefens wonder public think amazon illeg invas person space like,-0.34,negative
I was expecting more as it's 4th gen... But disappointed as nothing new as all things r same as 3rd gen..Even AUX IN Not supported. Light ring also not much visible at lower level.. Lots of design fault one can experience when use... Buttons also feels like cheap Bluetooth speakers.Audio quality seems same as 3rd gen.. I was expecting better sound quality as size increased.. At least more Bass can added... Very disappointed😞.. AUX IN is much needed n expected. I m keeing it as got in deal price..,India,25-October-2020,expect 4th gen disappoint noth new thing r 3rd geneven aux support light ring also much visibl lower level lot design fault one experi use button also feel like cheap bluetooth speakersaudio qualiti seem 3rd gen expect better sound qualiti size increas least bass ad disappoint aux much need n expect kee got deal price,-0.9239,negative
"                    The media could not be loaded.
                



 Alexa made my life so easier, i don't have to turn off and on lights and fans with my own hand, she take cares of those silly things. She know what songs i like, plays it for me.  She knows i like to listen news every morning when i wake up, i just say ""alexa! good morning"". She take cares of all my payments pending, all my ola bookings, and remind me to drink water every 1 hours later. Also some times when i cooking, i forget recipes, I just ask her, She knows every thing. I love my alexa.",India,5-December-2020," media could loaded
 



alexa made life easier dont turn light fan hand take care silli thing know song like play know like listen news everi morn wake say alexa good morn take care payment pend ola book remind drink water everi 1 hour later also time cook forget recip ask know everi thing love alexa",0.9761,positive
Love the new revamped version of Alexa.  All you need to do is configure the devices via Alexa app and your good to go.Sound is definitely better than 3rd gen echo dot.Bass is better than previous gen(Increase bass to full via Alexa app to enjoy).Easy to connect other smart home appliances.Pro-Good sound quality and bass.Mic sound reception is goodCon-Feels little bulkyNot so portable as it needs continues powersupply.,India,23-October-2020,love new revamp version alexa need configur devic via alexa app good gosound definit better 3rd gen echo dotbass better previou genincreas bass full via alexa app enjoyeasi connect smart home appliancesprogood sound qualiti bassmic sound recept goodconfeel littl bulkynot portabl need continu powersuppli,0.9538,positive
The sound quality is not that good. Especially the bass quality is very low. In the discription of the product it was mentioned that the bass quality has been improved compaired to older generations but it is not true. Paid more money for nothing.,India,22-January-2021,sound qualiti good especi bass qualiti low discript product mention bass qualiti improv compair older gener true paid money noth,-0.5183,negative
"Love the new revamped version of Alexa. Connected all my smart devices like Bulb, TV, Playstation etc. Everything is working seamlessly. All you need to do is configure the devices via Alexa app and your good to go.Sound is slightly better than previous version but if your coming from 3rd Gen you won't notice that much. For more deeper and rich experience i would say go for higher model and also at this point since it is a very new devices i can see sometimes the device didn't respond but i believe that will be fixed with software updates.",India,30-October-2020,love new revamp version alexa connect smart devic like bulb tv playstat etc everyth work seamlessli need configur devic via alexa app good gosound slightli better previou version come 3rd gen wont notic much deeper rich experi would say go higher model also point sinc new devic see sometim devic didnt respond believ fix softwar updat,0.9224,positive
"                    The media could not be loaded.
                



 Not responding after few minutes. Even if I speak within 30cm range. I have to press mute and unmute again to make it work. Have to return.",India,26-October-2020," media could loaded
 



not respond minut even speak within 30cm rang press mute unmut make work return",0.0,neutral
