reviews,country,date,cleaned_reviews,sentiment_score,review_category
"                    The media could not be loaded.
                



 Voice recognition is amazing, sound quality is fab. It’s value for money.! Must have.",India,9-September-2021," media could loaded
 



voic recognit amaz sound qualiti fab valu money must",0.8588,positive
"There’s a lot more to improve likecatching voice in a bit noisy environmentvolume levels. i.e. at volume 4 it seems too high, but at 3.5 it seems low.a better search and diverse apps connectivity.Although it is new generation, but lags a bit on startup, like refreshes when a button is pressed on remote. Rest of the time works butter smooth.Good for scheduling things like music, news, podcasts and turning on/off devices.Works well with Amazon Fire Sticks. I almost feel no need to touch my Firestick Remote.",India,1-December-2020,there lot improv likecatch voic bit noisi environmentvolum level ie volum 4 seem high 35 seem lowa better search divers app connectivityalthough new gener lag bit startup like refresh button press remot rest time work butter smoothgood schedul thing like music news podcast turn onoff deviceswork well amazon fire stick almost feel need touch firestick remot,0.7939,positive
Sound is below average my old 3rd generation is good and build is to good,India,9-September-2021,sound averag old 3rd gener good build good,0.7003,positive
Alexa write review 😉Very useful gadget however at times it becomes a bit moody and/or confused and is unable to follow the command given. Maybe environmental factors like external noise effect it.On the whole a must buy gadget 👍,India,28-December-2021,alexa write review use gadget howev time becom bit moodi andor confus unabl follow command given mayb environment factor like extern nois effect iton whole must buy gadget ,0.1531,positive
Okay,India,1-December-2020,okay,0.2263,positive
very useful for home automation and entertainment,India,28-July-2022,use home autom entertain,0.7178,positive
Attractive,India,4-March-2021,attract,0.4404,positive
Good,India,17-February-2021,good,0.4404,positive
"                    The media could not be loaded.
                



 Simply the best combo. I am in love with the speaker, it has some weight to it and the quality is way superior.",India,4-August-2021," media could loaded
 



simpli best combo love speaker weight qualiti way superior",0.9169,positive
Voice reciving capacity is low . function is very good. At least 20 feet covers voice receiving capacity modul look is good,India,5-February-2021,voic reciv capac low function good least 20 feet cover voic receiv capac modul look good,0.6115,positive
"                    The media could not be loaded.
                



 Voice recognition is amazing, sound quality is fab. It’s value for money.! Must have.",India,9-September-2021," media could loaded
 



voic recognit amaz sound qualiti fab valu money must",0.8588,positive
"There’s a lot more to improve likecatching voice in a bit noisy environmentvolume levels. i.e. at volume 4 it seems too high, but at 3.5 it seems low.a better search and diverse apps connectivity.Although it is new generation, but lags a bit on startup, like refreshes when a button is pressed on remote. Rest of the time works butter smooth.Good for scheduling things like music, news, podcasts and turning on/off devices.Works well with Amazon Fire Sticks. I almost feel no need to touch my Firestick Remote.",India,1-December-2020,there lot improv likecatch voic bit noisi environmentvolum level ie volum 4 seem high 35 seem lowa better search divers app connectivityalthough new gener lag bit startup like refresh button press remot rest time work butter smoothgood schedul thing like music news podcast turn onoff deviceswork well amazon fire stick almost feel need touch firestick remot,0.7939,positive
Sound is below average my old 3rd generation is good and build is to good,India,9-September-2021,sound averag old 3rd gener good build good,0.7003,positive
Alexa write review 😉Very useful gadget however at times it becomes a bit moody and/or confused and is unable to follow the command given. Maybe environmental factors like external noise effect it.On the whole a must buy gadget 👍,India,28-December-2021,alexa write review use gadget howev time becom bit moodi andor confus unabl follow command given mayb environment factor like extern nois effect iton whole must buy gadget ,0.1531,positive
Okay,India,1-December-2020,okay,0.2263,positive
very useful for home automation and entertainment,India,28-July-2022,use home autom entertain,0.7178,positive
Attractive,India,4-March-2021,attract,0.4404,positive
Good,India,17-February-2021,good,0.4404,positive
"                    The media could not be loaded.
                



 Simply the best combo. I am in love with the speaker, it has some weight to it and the quality is way superior.",India,4-August-2021," media could loaded
 



simpli best combo love speaker weight qualiti way superior",0.9169,positive
Voice reciving capacity is low . function is very good. At least 20 feet covers voice receiving capacity modul look is good,India,5-February-2021,voic reciv capac low function good least 20 feet cover voic receiv capac modul look good,0.6115,positive
