reviews,country,date,cleaned_reviews,sentiment_score,review_category
"Sold kidney bought this, now not feeling well but the number of days I am alive with one kidney will enjoy using this phone. Guys be careful if you rich it’s ok else sell something else but not kidney it hurts",India,21-November-2020,sold kidney bought feel well number day aliv one kidney enjoy use phone guy care rich ok els sell someth els kidney hurt,0.9661,positive
"This was my first switch to an ios device after using an android untill now. And I am not disappointed. The build quality, the responsive touch, the display, the camera, the battery life are just exceptional.Been using for about 10 days now, and consistently giving around 7h of screen on time.The camera is just way too good. Espeecially the night mode impressed me a lot.Only issue when switching from Android to iPhone I encountered was to be not able to restore my whatsapp chats. There are no official/free ways for doing this.The phone is simple amazing.",India,24-June-2021,first switch io devic use android until disappoint build qualiti respons touch display camera batteri life exceptionalbeen use 10 day consist give around 7h screen timeth camera way good espeeci night mode impress lotonli issu switch android iphon encount abl restor whatsapp chat officialfre way thisth phone simpl amaz,0.9211,positive
"Hello there,I am writing this review after 3-4 days of usage, Iphone 12 is a beast in terms of:-MemoryBuild qualityCameraProcessorDisplayExcept battery there’s rumour going on that iPhone 12 battery is bad or worst, so i am here to clarify all your doubts,iPhone battery will last easily a day but not more than that and here’s some condition that you should aware about1. If you are using your phone on wifi than it will last a day easily without any problem.2. If you are on 4g than it will not last a day for example, if you fully charged your phone at 8 am than it will last till 8 pm not more than that and this happen if you’re on 4g continuously otherwise it will last about 10 pm.Here’s some tip you should do after buying iPhone 12, watch video on YouTube to know “How to save battery on iPhone 12” this will help you increase your battery life as well battery health.For my experience, i think you should go for this device without any second thoughts & those who don’t have any tech knowledge and thinking of buying this then I recommend you to go for android because iOS has complicate settings than android...you will regret after buying it.Got original product Btw!!!!!",India,21-November-2020,hello therei write review 34 day usag iphon 12 beast term ofmemorybuild qualitycameraprocessordisplayexcept batteri there rumour go iphon 12 batteri bad worst clarifi doubtsiphon batteri last easili day here condit awar about1 use phone wifi last day easili without problem2 4g last day exampl fulli charg phone 8 last till 8 pm happen your 4g continu otherwis last 10 pmhere tip buy iphon 12 watch video youtub know save batteri iphon 12 help increas batteri life well batteri healthfor experi think go devic without second thought dont tech knowledg think buy recommend go android io complic set androidy regret buy itgot origin product btw,0.938,positive
"                    The media could not be loaded.
                



 Bad experience! I have purchased Iphone from Amazon before as well but this time the activation of new iphone 12 failed when I was setting it up. I tried contacting Apple support but the serial number mentioned on the box was invalid. I really don't know if it is a counterfeit product or there is some technical issue but one thing is sure that Apple's Website is not recognising the IMEI and serial Number of new Iphone 12 I bought from here",India,13-November-2020," media could loaded
 



bad experi purchas iphon amazon well time activ new iphon 12 fail set tri contact appl support serial number mention box invalid realli dont know counterfeit product technic issu one thing sure appl websit recognis imei serial number new iphon 12 bought",0.7242,positive
"I have been an android user for the past 8+ years. Recently was using iphone 6 for the past few months, liked it much and wanted to switch to ios. I did not want to regret, so i purchased the best in the market, going with iphone 12. Honestly, I dont feel its worthy. Perfomance wise, its good. A lot other phones like MI, 1+ everything gives us a very nice perfomance too. The A14 chip is just a tag line to sell the phone. Are we really going to process million instructions per second on a mobile phone? Defenitely not.Battery, After charging it to 100% in the morning, I am hardly getting 1 full day with average use. My battery is almost 20% at the end of the day with a screentime of 4-4.3 hours[Update : With low power mode, it makes a 6 hour day, ending with 30%]. Camera quality is amazing in natural light. Yes, as specified it works so nice in night light, but please dont mistake night light as no-light. Front camera is still average. The same things i see in every other mid range android phones. I am still using JIO 4g. Not sure how this would work on 5g (must drain even faster)Face detenction, the color of the phone, Water resistant and all stuffs are nice to have, fancy items.  But not really convinced if this is all we get for 84k?Fast charging - I bought a 20W charger from apple store for Rs.1900. I plug in when the battery is 20-25% and it takes 1.45 hours to reach 100%. If this is all about fast charging you are looking for, well and good. I never tried with magsafe, honestly. But this to me doesnt seem fast charging for 2800~ mah battery.I wont say that this phone is too poor. It gives us all that it promises. Personally I dont recommend investing 85k Indian money into this. Either go for lower versions of other iphones like 11 or you can wait for an year and buy this at cheaper cost.PROS : Camera & PerfomanceCONS : Battery and Cost",India,9-November-2020,android user past 8 year recent use iphon 6 past month like much want switch io want regret purchas best market go iphon 12 honestli dont feel worthi perfom wise good lot phone like mi 1 everyth give us nice perfom a14 chip tag line sell phone realli go process million instruct per second mobil phone defenit notbatteri charg 100 morn hardli get 1 full day averag use batteri almost 20 end day screentim 443 hoursupd low power mode make 6 hour day end 30 camera qualiti amaz natur light ye specifi work nice night light pleas dont mistak night light nolight front camera still averag thing see everi mid rang android phone still use jio 4g sure would work 5g must drain even fasterfac detenct color phone water resist stuff nice fanci item realli convinc get 84kfast charg bought 20w charger appl store rs1900 plug batteri 2025 take 145 hour reach 100 fast charg look well good never tri magsaf honestli doesnt seem fast charg 2800 mah batteryi wont say phone poor give us promis person dont recommend invest 85k indian money either go lower version iphon like 11 wait year buy cheaper costpro camera perfomancecon batteri cost,0.9774,positive
"                    The media could not be loaded.
                



 Dear Team,Please be informed that I am very dissatisfied by the services provided by Amazon buying this much expensive mobile from Amazon is not worth I believe they always provide us the defected item I recently purchased I phone 12 and it is creating a problem while switching on had to try multiple times for the same and this problem occurs every time whenever I switch off the mobile last time also the same issue occur when I bought my One plus 08 there was issue related to camera image was getting blurred each time and then I have to replace it I think Amazon just sell defected items I am very angry and wil take it forward because it's second time in a row and will never suggest any one to buy mobile especially from Amazon and also want to post the review about this on social media",India,24-June-2021," media could loaded
 



dear teampleas inform dissatisfi servic provid amazon buy much expens mobil amazon worth believ alway provid us defect item recent purchas phone 12 creat problem switch tri multipl time problem occur everi time whenev switch mobil last time also issu occur bought one plu 08 issu relat camera imag get blur time replac think amazon sell defect item angri wil take forward second time row never suggest one buy mobil especi amazon also want post review social media",-0.9183,negative
"After thinking a lot, I decided to go ahead with iPhone 12. The original price is ₹ 84900. After credit card discount(₹6000), old phone exchange(₹3450) and reward points money(₹4530) inclusion, I bought it for ₹70920. There’s also an additional 3000 discount on red and white variants but I couldn’t let go of blue1. PRICE: Considering iPhone 11 would be supported by iOS for 4 years, based on the current price it’d cost 13k per year and iPhone 12 for 5 years would cost 14.9k(excluding exchange discount) per year. For me price gap for both phones didn’t seem to make a huge difference as IPhone 11 is already an year old and costing only a 2k less per year.2: DISPLAY: I’ve purchased iPhone 11 for my mom last year and been observing the display for some months. Compared to iPhone 11, the iPhone 12 display is far superior and has better pixel quality.3: BEZELS: the bezels of iPhone 12 are much thinner and makes the phone look decent unlike in 11. Apart from this, the phone is incredibly light making it easy to hold it.How to choose between 64/128gb:If you’re not really tight on budget, I’d suggest to go for 128gb variant. I’ve been using one plus for 1.5 years and storage  occupied about 60gb. So it’d make good sense to check your current phone usage. Either way you can also opt for iCloud 50gb storage which would cost approximately the difference amount of 64 and 128 go for 5 years.CONS:1. Could have definitely included the charger for the price2. If you’re an android user, migration would be little time consumingUpdate: I’ve uploaded a couple of pictures shot using automatic night mode. :)",India,18-December-2020,think lot decid go ahead iphon 12 origin price 84900 credit card discount6000 old phone exchange3450 reward point money4530 inclus bought 70920 there also addit 3000 discount red white variant couldnt let go blue1 price consid iphon 11 would support io 4 year base current price itd cost 13k per year iphon 12 5 year would cost 149kexclud exchang discount per year price gap phone didnt seem make huge differ iphon 11 alreadi year old cost 2k less per year2 display ive purchas iphon 11 mom last year observ display month compar iphon 11 iphon 12 display far superior better pixel quality3 bezel bezel iphon 12 much thinner make phone look decent unlik 11 apart phone incred light make easi hold ithow choos 64128gbif your realli tight budget id suggest go 128gb variant ive use one plu 15 year storag occupi 60gb itd make good sens check current phone usag either way also opt icloud 50gb storag would cost approxim differ amount 64 128 go 5 yearscons1 could definit includ charger price2 your android user migrat would littl time consumingupd ive upload coupl pictur shot use automat night mode ,0.9882,positive
"I am writing this review after 40 days of use of iPhone 12. phone camera is excellent like DSLR ,very fast processor ,face ID feature looks great ,overall everything is fine but only issue which this phone has is , battery draining too fast. You can use 100% battery only for 5-6 hours of continuous use after that you have to charge it. Apple should look into this.",India,1-June-2021,write review 40 day use iphon 12 phone camera excel like dslr fast processor face id featur look great overal everyth fine issu phone batteri drain fast use 100 batteri 56 hour continu use charg appl look,0.7227,positive
"I went through a lot of reviews and articles before I decided on the iPhone 12. I’ve been an Android user all my life and frankly thought Apple phones were really overpriced(at least here in India). But in the present day, the flagship Android options are no less expensive. If you spend a lot of time on your mobile, using it as your primary camera, social media device, business emails/collaboration and also to stream videos then you definitely need to spend a little more and go with a flagship option for the best experience.Coming to the flagships today (Aug2021),  apart from the iPhone we have Samsung Galaxy S21/+/ultra, Oneplus 9 pro, Vivo x60 pro+, mi 11ultra.  If you read a few reviews you’ll understand that 888Snapdragon has a lot of heating issues  and 9pro cameras didn’t live up to the hype(also overheating when the camera is in use). Samsung in India ships the phone with exynos2100 which is way less powerful than 888. The prices of all these phones are in the same range (except the ultra). Imp note: iOS updates are across iPhone devices unlike the android updates.Apple has really done a lot of things right on the iPhone12:1. They changed its display from lcd to led (huge value jump)2. A14 Bionic chip is a really fast and smooth without any lag3. Huge improvement on the primary cameras. Still the best video recording phone in the market and the photos are top quality4. The change is the body design is really comfortable in the hand5. The haptics are spot onWhat’s Missing: (Minor misses though)1. The Notch. Really wish they get rid of the notch but looks like it wont be out until 2023. Anyway you’ll get used to it.2. USB type C charging. The iPad Pro 2020 model onwards already comes with the TypeC usb charging. I guess the iPhone 13 would get this change3. Fingerprint Sensor: Yes. Apple had done away with it couple of years back but with the pandemic still on, you sometimes wish there was a fingerprint sensorWait for the iPhone 13 or go with the 12:It took a while for 12’s prices to fall.  If you’re willing to wait till Feb-March 2022 for a good deal then wait for the 13. If you want to change it now, go with the 12.64GB or 128GB:The difference is around ₹6000.  64GB if you don’t play too many games and keep dumping the media files every once in while to your pc/storage . Else, the 128😊Battery:I was indeed very surprised with the battery life. Charging time is a little slower compared to  it’s competition but the back up is impressive. It easily lasts a day.Android Flagship Option:The truth is, right now is not a good time to purchase an android flagship. If you really want to buy an android flagship, do wait for a while. 895 snapdragon phones are expected to be out by end of the year or early 2022.Hope this review helped :)Update:13 gets a better cam sensor, a15 bionic, 10% bigger battery and a slightly smaller notch. That’s it. No more differences. Everything else remains the same.iPhone 13 launched at 80k which is lesser than 12’s launch price(86k).  If you want to save on some cash , 12 will still  do the job (12 is currently around 55k-62k).  However if you can spend that extra 20k, then 13 should be your pick.Planning on taking an Android? Definitely wait until early 2022.",India,24-December-2020,went lot review articl decid iphon 12 ive android user life frankli thought appl phone realli overpricedat least india present day flagship android option less expens spend lot time mobil use primari camera social media devic busi emailscollabor also stream video definit need spend littl go flagship option best experiencecom flagship today aug2021 apart iphon samsung galaxi s21ultra oneplu 9 pro vivo x60 pro mi 11ultra read review youll understand 888snapdragon lot heat issu 9pro camera didnt live hypealso overh camera use samsung india ship phone exynos2100 way less power 888 price phone rang except ultra imp note io updat across iphon devic unlik android updatesappl realli done lot thing right iphone121 chang display lcd led huge valu jump2 a14 bionic chip realli fast smooth without lag3 huge improv primari camera still best video record phone market photo top quality4 chang bodi design realli comfort hand5 haptic spot onwhat miss minor miss though1 notch realli wish get rid notch look like wont 2023 anyway youll get use it2 usb type c charg ipad pro 2020 model onward alreadi come typec usb charg guess iphon 13 would get change3 fingerprint sensor ye appl done away coupl year back pandem still sometim wish fingerprint sensorwait iphon 13 go 12it took 12 price fall your will wait till febmarch 2022 good deal wait 13 want chang go 1264gb 128gbthe differ around 6000 64gb dont play mani game keep dump media file everi pcstorag els 128batteryi inde surpris batteri life charg time littl slower compar competit back impress easili last dayandroid flagship optionth truth right good time purchas android flagship realli want buy android flagship wait 895 snapdragon phone expect end year earli 2022hope review help update13 get better cam sensor a15 bionic 10 bigger batteri slightli smaller notch that differ everyth els remain sameiphon 13 launch 80k lesser 12 launch price86k want save cash 12 still job 12 current around 55k62k howev spend extra 20k 13 pickplan take android definit wait earli 2022,0.9979,positive
"This is going to be a long review, sit back, relax and have a read.I bought the iPhone 12 in May of 2021 after selling my OnePlus.Having used the iPhone7 and XR for years, this was my third iPhone.I have to say the iOS experience on the XR was absolutely horrible. Terrible reception, average battery and mediocre cameras forced me to move to android. I was tempted to move the 12 for all the improvements in modems, screen and the camera.And boy was I surprised . Let’s take up the review in sections.1. Screen: Having used a high refresh rate screen of OP8 before, I was quite sceptical about the 60hz of iPhone12 before I bought it. But, astonishingly, the iPhone12 screen is buttery smooth, courtesy of the high touch sampling rate and excellent animations. This does not feel like a 60hz display, and I cannot stress this enough. The display is EXCELLENT .2. Camera: being a photographer who has spent half of his life travelling, I prioritise a good camera over anything else. And these are surely the most spectacular cameras that I have used on a smartphone. Excellent HDR, great details and very post processing friendly. Of course, the video is as good as it gets on a phone. Attaching some images I shot on the 12 for your reference. Trust me when I say this, you could use this for some semi professional shoot just fine, if it’s only for social media and you are not printing really big.3. Battery: Battery on this device is not spectacular, it’s average. It will get you through the day for sure, unless you are in very long video calls two three times a day. It is good enough, on par with my OnePlus.4. Build Quality: this is where it is head and shoulders above the competition. Rock solid, an led weirdly lightweight, this feels very, very premium.5. Software: iOS 14 and the iOS15 have really pushed the sub par experience of ios11 away, and this software now feels smoother than ever. Great improvements. Excellent software experience, not something I could say with my XR.Summary: Excellent device, with no complains. This could really be one of the first devices that I used which I can call perfect. Highly recommended.",India,7-November-2020,go long review sit back relax readi bought iphon 12 may 2021 sell oneplushav use iphone7 xr year third iphonei say io experi xr absolut horribl terribl recept averag batteri mediocr camera forc move android tempt move 12 improv modem screen cameraand boy surpris let take review sections1 screen use high refresh rate screen op8 quit sceptic 60hz iphone12 bought astonishingli iphone12 screen butteri smooth courtesi high touch sampl rate excel anim feel like 60hz display cannot stress enough display excel 2 camera photograph spent half life travel prioritis good camera anyth els sure spectacular camera use smartphon excel hdr great detail post process friendli cours video good get phone attach imag shot 12 refer trust say could use semi profession shoot fine social media print realli big3 batteri batteri devic spectacular averag get day sure unless long video call two three time day good enough par oneplus4 build qualiti head shoulder competit rock solid led weirdli lightweight feel premium5 softwar io 14 ios15 realli push sub par experi ios11 away softwar feel smoother ever great improv excel softwar experi someth could say xrsummari excel devic complain could realli one first devic use call perfect highli recommend,0.9979,positive
