reviews,country,date,cleaned_reviews,sentiment_score,review_category
"Better than previous models , except battery",India,18-November-2020,better previou model except batteri,0.4404,positive
"Power packed device in hand. Did lot of research before buying this over 12 pro or 12. Upgraded from 6s 16GB, what a relief. Kept the old device with me as second phone. Skipped amazon this time (for first time) to grab in store HDFC discount. Camera is super awesome. Went for 128GB as 16 GB made me really struggle last 1 year, I have 200 tv cloud also. Plan to keep this one for 5 years at least as the case was with 6s.Form factor was important for me, as I can’t pocket a phone bigger than this. Smaller than 6s and little (1.5 times) thicker. Blue isn’t that bad as some reviews said. It’s good. Make the 12 standout in this colour, as soon as you pocket out the phone.It’s a power horse, won’t regret.Now the battery, I don’t play games, but I use a few apps social media etc for 2-3 hours a day and have to attend a few long phone call and general office battery charged at 100% at 8am, 85% by 10 pm, 45% by 2PM and 15% by 9PM. If it could have pulled 2-3 hours more, it would be more fine. But I am one of those people, who don’t watch videos, don’t play music, don’t play games. I use phone most of the time for productivity, finance payment, messaging apps and news reading apps. So battery is a issue. And it’s a size vs battery battle. I think I will have to go for battery replacement after 2 years once the battery charging drops to 88%. It’s a difficult call. Go for it only if form factor matters more for you. If you can handle 12, go for it.UPDATE: After 10 days of use. Camera is really good. However, battery lasts from 8AM and dies at 6PM. I am regretting why I bought this phone and already called store to buy normal IPhone or Pro with bigger battery.UPDATE: After 30 days of use. The trade in value was about 60% so I continued with mini. The amazon offers are now better than store ones. I am also restricting to 6 hrs of screen time and it’s doing fine.UPDATE: After 250 days of Use. Battery health 90%. Screen time 6.5 Hr everyday. Fast charge is must buy with this. NOT RECOMMENDED.",India,12-December-2020,power pack devic hand lot research buy 12 pro 12 upgrad 6s 16gb relief kept old devic second phone skip amazon time first time grab store hdfc discount camera super awesom went 128gb 16 gb made realli struggl last 1 year 200 tv cloud also plan keep one 5 year least case 6sform factor import cant pocket phone bigger smaller 6s littl 15 time thicker blue isnt bad review said good make 12 standout colour soon pocket phoneit power hors wont regretnow batteri dont play game use app social media etc 23 hour day attend long phone call gener offic batteri charg 100 8am 85 10 pm 45 2pm 15 9pm could pull 23 hour would fine one peopl dont watch video dont play music dont play game use phone time product financ payment messag app news read app batteri issu size vs batteri battl think go batteri replac 2 year batteri charg drop 88 difficult call go form factor matter handl 12 go itupd 10 day use camera realli good howev batteri last 8am die 6pm regret bought phone alreadi call store buy normal iphon pro bigger batteryupd 30 day use trade valu 60 continu mini amazon offer better store one also restrict 6 hr screen time fineupd 250 day use batteri health 90 screen time 65 hr everyday fast charg must buy recommend,0.8905,positive
"The battery is worst of a kind. In today’s scenario when the apps are heavy and consume relatively more battery than 5s, something should have been thought of. Poor show",India,18-November-2020,batteri worst kind today scenario app heavi consum rel batteri 5s someth thought poor show,-0.5859,negative
"This is DAM small and looks like dummy piece, performance wise my MI note 3 is better than this.Don,t buy this. They will not replace or refund as well",India,5-December-2020,dam small look like dummi piec perform wise mi note 3 better thisdont buy replac refund well,0.8625,positive
"Upgraded from iPhone 7. This really is a significant upgrade. I love this size. This is just perfect, you can use it single handedly, easily fits into pockets, reach every corner of the screen easily.I was waiting for this size for so long and finally, after 2 months of buying, I’m writing a review. Just go for it if you want a small phone. In reality, it’s not even that small, almost the size of iPhone 7, with full edge to edge display.Feel: Ever used an iPhone 5 (or 4, 5s, SE)? Remember how boxy it was and how good it felt in your hand, with all those edges? Same with this phone. It feels so good to hold in hand with a glass body, it cannot be expressed in words.Display: Phenomenal! OLED display with HDR stuff feels like on a different level. Darks feel dark, and not grays.Sound: Stereo speakers, which really are loud and clear. iPhone 7 also had stereo speakers but on these, there’s a noticeable difference in loudness, and sound quality.Battery: Many people are criticizing battery, but I’m not a heavy user, most importantly I’ve been an iPhone user so battery life is decent enough. Much better than iPhone 7, obviously. Easily lasts more than a day. And with a 20w charger, it charges pretty fast too.Security: Upgrading from TouchID to FaceID was a nice experience. I’m already in love with FaceID. It works every single time (except when you’re wearing masks, you have to put it down a little bit to let it recognize your face).Camera: I don’t need to describe this. Do I? But let me tell you the night mode is superb!Accessories: You only get a Type-C to lightening port cable, and a single apple sticker. That’s it.eSIM functionality works great, WiFi reception is good, call quality is awesome, as you’d expect. Long story cut short, everything is great when compared with iPhone 7 (which still was working awesome, except storage, and battery after 3 years). The only thing I miss is 3D Touch, and home button, lol.To conclude, it’s a great buy. I bought 128GB version in black color. Hope it’s gonna last for a couple of years.Please hit helpful, if you found it helpful.",India,12-December-2020,upgrad iphon 7 realli signific upgrad love size perfect use singl handedli easili fit pocket reach everi corner screen easilyi wait size long final 2 month buy im write review go want small phone realiti even small almost size iphon 7 full edg edg displayfeel ever use iphon 5 4 5s se rememb boxi good felt hand edg phone feel good hold hand glass bodi cannot express wordsdisplay phenomen ole display hdr stuff feel like differ level dark feel dark grayssound stereo speaker realli loud clear iphon 7 also stereo speaker there notic differ loud sound qualitybatteri mani peopl critic batteri im heavi user importantli ive iphon user batteri life decent enough much better iphon 7 obvious easili last day 20w charger charg pretti fast toosecur upgrad touchid faceid nice experi im alreadi love faceid work everi singl time except your wear mask put littl bit let recogn facecamera dont need describ let tell night mode superbaccessori get typec lighten port cabl singl appl sticker that itesim function work great wifi recept good call qualiti awesom youd expect long stori cut short everyth great compar iphon 7 still work awesom except storag batteri 3 year thing miss 3d touch home button lolto conclud great buy bought 128gb version black color hope gonna last coupl yearspleas hit help found help,0.9977,positive
"All in all good phone those who loves compact phones. I have identified few things those who complain about battery life. Try these to improve battery life,1) try mobile data, bluetooth when not needed. With these two being on, I noticed considerable battery drain.2) when you are in remote places, try put it in airplane mode. This keeps phone searching for the network all the time and drains battery.3) hey Siri, please turn off yourself. I don't use it anymore. Keeping Siri always on is not a good thing.This might help!",India,6-January-2021,good phone love compact phone identifi thing complain batteri life tri improv batteri life1 tri mobil data bluetooth need two notic consider batteri drain2 remot place tri put airplan mode keep phone search network time drain battery3 hey siri pleas turn dont use anymor keep siri alway good thingthi might help,0.8716,positive
"Phone didn't work for one day even , worst customer service , worst amazon, they are not ready to replace even with in 7 days of purchase. NEVER BUY FROM THE SELLER",India,14-March-2021,phone didnt work one day even worst custom servic worst amazon readi replac even 7 day purchas never buy seller,-0.8628,negative
Awsome product Thanks to Amazon ...placed order in first day and delivery is very fast....Mini but Powerful...,India,21-December-2020,awsom product thank amazon place order first day deliveri fastmini power,0.7503,positive
"It’s good looking device when switched off.Thick bezels makes it not look good when screen is on.Apps are no optimised for the phone.Both side notches touch is very incentive.Battery I all ready  knew so no regrets.Had the phone screen covers full screen and app could cover full screen, it would have been best looking phone.Only brand name tashan  is there.",India,10-February-2021,good look devic switch offthick bezel make look good screen onapp optimis phoneboth side notch touch incentivebatteri readi knew regretshad phone screen cover full screen app could cover full screen would best look phoneonli brand name tashan,0.5335,positive
Screen is not responsive many times,India,18-November-2020,screen respons mani time,-0.2755,negative
