reviews,country,date,cleaned_reviews,sentiment_score,review_category
"I am not aware of what is noise cancelation but one of my friend showed in her BOSE headset, when u press one button all external noise gets disappear and one vaccume gets created between your ear and headset. In pTron once you plug in you ear some extent of external noise gets reduce and once you play the sound or using it for Teams meeting you can't hear what your wife says...so seems good for all those WFH men who wants to have break from their wife's kirkir ;P Kidding. Bass appears to be ok. For all these features price should be less by 50 ton75 Rs.",India,24-June-2021,awar nois cancel one friend show bose headset u press one button extern nois get disappear one vaccum get creat ear headset ptron plug ear extent extern nois get reduc play sound use team meet cant hear wife saysso seem good wfh men want break wife kirkir p kid bass appear ok featur price less 50 ton75 rs,0.9186,positive
First of all I am a regular buyer of this brand..The type of material quality and the sound quality they have.... it is really amazing.I bought this product a week ago and again this is amazing at this price.The bass quality ....sound quality and also the noise cancellation all upto the mark.,India,14-July-2021,first regular buyer brandth type materi qualiti sound qualiti realli amazingi bought product week ago amaz priceth bass qualiti sound qualiti also nois cancel upto mark,0.5859,positive
"This smart wired earphone has good bass quality and the volume up-down functionality by sliding the volume bar is really cool. The wires as mentioned don't get entangled. Overally sound quality is really nice and fits in pretty well in ears. Used it for back to back meetings, faced no problem at all.",India,24-June-2021,smart wire earphon good bass qualiti volum updown function slide volum bar realli cool wire mention dont get entangl over sound qualiti realli nice fit pretti well ear use back back meet face problem,0.9505,positive
I bought this mainly to attend conference calls. This is really better than what I expected.  The audio quality is very good and fits perfectly.  Worthy product at this price and overall very good.,India,31-March-2021,bought mainli attend confer call realli better expect audio qualiti good fit perfectli worthi product price overal good,0.9492,positive
Positive things:>Mostly tangle free cause of thick wire>Robust enough to handle most of teens abuse be it pulling out of jeans pocket or bags.>Mic works just perfect even in windy conditions and volume control works like a charm.>Awesome bass and descent trebleNegative things:>Mid range sound could've been improved.Conclusion: Overall a perfect product for those looking for descent build quality and sound quality at this price range.,India,4-March-2021,posit thingsmostli tangl free caus thick wirerobust enough handl teen abus pull jean pocket bagsmic work perfect even windi condit volum control work like charmawesom bass descent trebleneg thingsmid rang sound couldv improvedconclus overal perfect product look descent build qualiti sound qualiti price rang,0.9069,positive
I mainly ordered it for online classes. It does its work decently. Thanks pTron for the good product and Amazon for one day super prompt delivery. I bought it in lightning deal with 199/- rupees and I am very happy. I have claimed for product warranty too on the pTron website and very pleased with the service. Hope to buy more from them in near future.,India,16-July-2021,mainli order onlin class work decent thank ptron good product amazon one day super prompt deliveri bought lightn deal 199 rupe happi claim product warranti ptron websit pleas servic hope buy near futur,0.9661,positive
"An excellent product. It is of lightweight design and of snug fit wired earphone.It have long durable tangle free cable.Easy to handle.It have Hi-fi audio quality with good bass. It is water and sweat resistant due to which can be used during gym, running and sports.It have passive Noise cancelation. Perfect for both indoor and outdoor use. It have hd mic for clear quality phone calls. It have wide range of compatibality with 3.5 mm jack. It can be used in smart phones, tablets, computer, MP3 player and laptops.One of best product in its range.",India,11-August-2021,excel product lightweight design snug fit wire earphoneit long durabl tangl free cableeasi handleit hifi audio qualiti good bass water sweat resist due use gym run sportsit passiv nois cancel perfect indoor outdoor use hd mic clear qualiti phone call wide rang compatib 35 mm jack use smart phone tablet comput mp3 player laptopson best product rang,0.9786,positive
Earphones come in a cardboard box with warranty card.The earbuds shape is very comfortable to plug into ears.The sound is perfect with noise cancellation feature.I mainly use to for office calls and watching videos on YouTube .the sound quality is crystal clear .A good earphone in this price range .Must try .,India,23-May-2021,earphon come cardboard box warranti cardth earbud shape comfort plug earsth sound perfect nois cancel featurei mainli use offic call watch video youtub sound qualiti crystal clear good earphon price rang must tri ,0.9152,positive
A-one qualityNice noice cancellationClear audio while calling normal and video callButtons working wellAppreciable base quality at this range,India,4-March-2021,aon qualitynic noic cancellationclear audio call normal video callbutton work wellappreci base qualiti rang,0.0,neutral
"                    The media could not be loaded.
                



 Would give 0 star or negative rating. It's just 5 days back that I purchased this product, that one of the earphones wire came off.  The Customer service says that I need to keep the cover for 15 days for a refund. Did I get a dream that the state of the earphone would be like this (as shown in video) in just 5 days to hoarde the covers of the earphone??Big zero to the seller and to the pathetic Amazon customer service.",India,22-March-2021," media could loaded
 



would give 0 star neg rate 5 day back purchas product one earphon wire came custom servic say need keep cover 15 day refund get dream state earphon would like shown video 5 day hoard cover earphonebig zero seller pathet amazon custom servic",-0.5514,negative
"I am not aware of what is noise cancelation but one of my friend showed in her BOSE headset, when u press one button all external noise gets disappear and one vaccume gets created between your ear and headset. In pTron once you plug in you ear some extent of external noise gets reduce and once you play the sound or using it for Teams meeting you can't hear what your wife says...so seems good for all those WFH men who wants to have break from their wife's kirkir ;P Kidding. Bass appears to be ok. For all these features price should be less by 50 ton75 Rs.",India,24-June-2021,awar nois cancel one friend show bose headset u press one button extern nois get disappear one vaccum get creat ear headset ptron plug ear extent extern nois get reduc play sound use team meet cant hear wife saysso seem good wfh men want break wife kirkir p kid bass appear ok featur price less 50 ton75 rs,0.9186,positive
First of all I am a regular buyer of this brand..The type of material quality and the sound quality they have.... it is really amazing.I bought this product a week ago and again this is amazing at this price.The bass quality ....sound quality and also the noise cancellation all upto the mark.,India,14-July-2021,first regular buyer brandth type materi qualiti sound qualiti realli amazingi bought product week ago amaz priceth bass qualiti sound qualiti also nois cancel upto mark,0.5859,positive
"This smart wired earphone has good bass quality and the volume up-down functionality by sliding the volume bar is really cool. The wires as mentioned don't get entangled. Overally sound quality is really nice and fits in pretty well in ears. Used it for back to back meetings, faced no problem at all.",India,24-June-2021,smart wire earphon good bass qualiti volum updown function slide volum bar realli cool wire mention dont get entangl over sound qualiti realli nice fit pretti well ear use back back meet face problem,0.9505,positive
I bought this mainly to attend conference calls. This is really better than what I expected.  The audio quality is very good and fits perfectly.  Worthy product at this price and overall very good.,India,31-March-2021,bought mainli attend confer call realli better expect audio qualiti good fit perfectli worthi product price overal good,0.9492,positive
