reviews,country,date,cleaned_reviews,sentiment_score,review_category
"This  earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.Guys,Also for the proof i have attached picsPlease see and think before buying​ this unreliable product.Thanks.",India,4-November-2018,earphon unreli bought 15 day meanwhil right side ear bud got crack automat got divid two part sound qualiti also much good ok one thing bass good boat earphonesguysalso proof attach picspleas see think buy unreli productthank,-0.5875,negative
No doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.1.Bluetooth range not more than 10m2. Pain in ear due the conical buds(can be removed)3. Wires are a bit long which makes it odd in front.4. No pouch provided.5. Worst part is very low quality and distoring mic. Other person keeps complaining about my voice.,India,30-December-2018,doubt great bass great extent nois cancel decent sound clariti mindblow batteri follow dissapoint though tri lot adjust1bluetooth rang 10m2 pain ear due conic budscan removed3 wire bit long make odd front4 pouch provided5 worst part low qualiti distor mic person keep complain voic,-0.9435,negative
"i bought itfor 999,I purchased it second time, gifted first one to brother. This is really good.Sound quality is really good.You can connect 2 devices at a time.I connect laptop and mobile both.when listening muaic on Lappy, if u get a call, it switches to mobile,this switch between device is not good but again in this price its awesome.Battery stand by is 36 hours for me, and i have used it continously for 8 hours in one go. So Battery life is pretty awesome.Comfortable on ear.",India,30-December-2018,bought itfor 999i purchas second time gift first one brother realli goodsound qualiti realli goodyou connect 2 devic timei connect laptop mobil bothwhen listen muaic lappi u get call switch mobilethi switch devic good price awesomebatteri stand 36 hour use contin 8 hour one go batteri life pretti awesomecomfort ear,0.5569,positive
"I'll get straight to the pros and cons of Boat Rockerz 255 Pro Bluetooth earphones.PROS:1. Sound- compared to the non-pro version, it seems to me that there's slight improvement in quality. Not that it is very noticeable, but a slight improvement.Bass- has got good quality and quantity of bass compared to others in the same price range. The bass is clean, tight and is not muddy like realme bluetooth earphones.Vocals- the vocals are clear and crisp.Loudness- it is loud enough to be heard in a noisy environment.2. Comfort- the earphones are comfortable to wear but without the ear guides. Maybe that's just me, but wearing along with the ear guides gave me pain in the ears which eased off once the ear guides were removed.3. Design- it is of neckband design that is comfortable to wear. The buds have got magnets in it which helps it stick to one another when hanged down so that no tangling occurs.4. Colour- comes in some trendy colours like yellow, teal green, blue and red. The youngsters would love this just for that.5. Fast charging- gets completely charged in just an hour and has got high voltage protection too.6. Sound isolation- nothing to brag about but comparable with others in the same price segment.7.Mic- the calls were very clear. The person at the other end told me that the voice was audible without any disturbances and indeed very clear.8. Connectivity- this has got the A2DP feature. So dual connectivity is present and I did not experience any connection drops of any kind.9. No Lag- there was no lag experienced while playing PUBG.CONS:1. Battery- this is the biggest gripe anyone could have with this earphone. The battery gets emptied quickly compared with its peers. Though there's fast charging one would expect headphones in this price range to last at least 10 to 12 hours but not Rockers PRO lasts for almost 6 to 8 hours. That's what I got out of them and that was not enough.2. Price- the asking price of 1599rs is high. You may get it for 1200rs during offers. Even then it is not value for money because of the poor battery backup.3. No auto on-off with magnetic buds- the feature which is present in Realme bluetooth earphones. This feature could have improved the battery life of this pair very much but alas it doesn't have it.Final words:Boat Rockerz 255 Pro bluetooth earphones are good in terms of sound quality and trendiness but lack in terms of battery backup. Though there are several pros than cons it all comes down to the battery life and this one loses out on that badly.Other options in the same price range - LoodAudio Everloop (good @1169rs), Boat rockerz 255( when in offer @ 999rs), Blaupunkt BE50(999rs during offer or even @ 1399rs), Sony WI-200( pricey @1699rs and high in treble), Realme bluetooth earphones(@1599rs poor in sound quality but better in all other terms).Thank you for reading. Cheers!!!",India,21-October-2018,ill get straight pro con boat rockerz 255 pro bluetooth earphonespros1 sound compar nonpro version seem there slight improv qualiti notic slight improvementbass got good qualiti quantiti bass compar other price rang bass clean tight muddi like realm bluetooth earphonesvoc vocal clear crisploud loud enough heard noisi environment2 comfort earphon comfort wear without ear guid mayb that wear along ear guid gave pain ear eas ear guid removed3 design neckband design comfort wear bud got magnet help stick one anoth hang tangl occurs4 colour come trendi colour like yellow teal green blue red youngster would love that5 fast charg get complet charg hour got high voltag protect too6 sound isol noth brag compar other price segment7m call clear person end told voic audibl without disturb inde clear8 connect got a2dp featur dual connect present experi connect drop kind9 lag lag experienc play pubgcons1 batteri biggest gripe anyon could earphon batteri get empti quickli compar peer though there fast charg one would expect headphon price rang last least 10 12 hour rocker pro last almost 6 8 hour that got enough2 price ask price 1599r high may get 1200r offer even valu money poor batteri backup3 auto onoff magnet bud featur present realm bluetooth earphon featur could improv batteri life pair much ala doesnt itfin wordsboat rockerz 255 pro bluetooth earphon good term sound qualiti trendi lack term batteri backup though sever pro con come batteri life one lose badlyoth option price rang loodaudio everloop good 1169r boat rockerz 255 offer 999r blaupunkt be50999r offer even 1399r soni wi200 pricey 1699r high trebl realm bluetooth earphones1599r poor sound qualiti better termsthank read cheer,0.9879,positive
"After 11 days, the charging port isn't working and now I can't even return it. Wat to do ?? I know there is one year warranty but it is only been 11 days. C'mon boat, please send me new one.",India,4-November-2018,11 day charg port isnt work cant even return wat know one year warranti 11 day cmon boat pleas send new one,0.5122,positive
Its Awesome... Good sound quality & 8-9 hrs battery life... Just waww look... 😉 I brought just 999 rupees...But Amazon's Packageing system is Very bad... Very poor packaging... Flipcart's packaging system is much better than Amazon...,India,30-June-2020,awesom good sound qualiti 89 hr batteri life waww look brought 999 rupeesbut amazon packag system bad poor packag flipcart packag system much better amazon,0.4854,positive
Its sound quality is adorable. overall it was good but just for 2 weeks after that it stopped working and since then it never powered on again. I am claiming for warrenty and it is still undergoing.,India,7-September-2018,sound qualiti ador overal good 2 week stop work sinc never power claim warrenti still undergo,0.1779,positive
After one month usage reviewing this .Pros-1- sound quality2- design3- weight4- batteryCons1- very bad mic for talking2- can't use while riding bike3 - Music is too loud,India,29-October-2018,one month usag review pros1 sound quality2 design3 weight4 batterycons1 bad mic talking2 cant use ride bike3 music loud,-0.5849,negative
The product durability is 1 month..I just lost my bill details so i cant claim my warrenty .. But this earphones built quality is bad . It stops wrking completely after 1 month sep 14 to nov 11 👈 life span .. Dont lose ur bill details incase u want that warranty..  And after purchasing u must register ur product in boat's site for replacement and warranty,India,22-September-2018,product durabl 1 monthi lost bill detail cant claim warrenti earphon built qualiti bad stop wrking complet 1 month sep 14 nov 11 life span dont lose ur bill detail incas u want warranti purchas u must regist ur product boat site replac warranti,-0.6076,negative
What on earth is the use of buying such product when it stop working in one month....your happiness sailed off like a BoAt.... #Disappointed,India,29-September-2018,earth use buy product stop work one monthyour happi sail like boat disappoint,0.2023,positive
"This  earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.Guys,Also for the proof i have attached picsPlease see and think before buying​ this unreliable product.Thanks.",India,4-November-2018,earphon unreli bought 15 day meanwhil right side ear bud got crack automat got divid two part sound qualiti also much good ok one thing bass good boat earphonesguysalso proof attach picspleas see think buy unreli productthank,-0.5875,negative
No doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.1.Bluetooth range not more than 10m2. Pain in ear due the conical buds(can be removed)3. Wires are a bit long which makes it odd in front.4. No pouch provided.5. Worst part is very low quality and distoring mic. Other person keeps complaining about my voice.,India,30-December-2018,doubt great bass great extent nois cancel decent sound clariti mindblow batteri follow dissapoint though tri lot adjust1bluetooth rang 10m2 pain ear due conic budscan removed3 wire bit long make odd front4 pouch provided5 worst part low qualiti distor mic person keep complain voic,-0.9435,negative
