reviews,country,date,cleaned_reviews,sentiment_score,review_category
Worst sound.Worst quality.Waste of money.Poor sound coming.Bad controller.Worst choice .Don't buy.,India,24-February-2021,worst soundworst qualitywast moneypoor sound comingbad controllerworst choic dont buy,-0.6249,negative
"1. Packaging is not that great it looks like copied version of boult.2. Color is not same as images published by the seller.3. Delivered with in 24hrs.4. Bass is good but compared to realme, boult and boat you may feel bit low.5. Wire quality is stiff but not anti tangle, does the job as mentioned.6. Mic is ok not the best and not too worst.Overall, balanced music with above average build quality fits easily in ear.I bought this for 199 and felt price worthy so giving 3star for this",India,14-March-2021,1 packag great look like copi version boult2 color imag publish seller3 deliv 24hrs4 bass good compar realm boult boat may feel bit low5 wire qualiti stiff anti tangl job mentioned6 mic ok best worstoveral balanc music averag build qualiti fit easili eari bought 199 felt price worthi give 3star,0.9075,positive
Extremely good sound quality for this price great base very punchy vocals and trebles are clear and crisp the colour is very vibrant and looks stylish fits in the ear perfectly the mic quality is good the person on the other side does not feel you are using a headphone over all a quality product.,India,14-March-2021,extrem good sound qualiti price great base punchi vocal trebl clear crisp colour vibrant look stylish fit ear perfectli mic qualiti good person side feel use headphon qualiti product,0.9669,positive
"Very nice earphones at this price. Because I'm music/video's  DB, HZ professional editor. So I know what is good or bad. Sound quality good and balanced. Vocal total clear and smooth sound.Why purchase:-)1. Good bass  4.2/5 ⭐2. Treble sound  4.5/5 ⭐3. Mic sound to other voice receiver  4/5 ⭐4. Low price good under ₹-200  5/5 ⭐Why don't buy:-(1. U can feel low quality Metarial.  2/5 ⭐2. Just improve sound quality  4/5 ⭐",India,23-February-2021,nice earphon price im musicvideo db hz profession editor know good bad sound qualiti good balanc vocal total clear smooth soundwhi purchase1 good bass 425 2 trebl sound 455 3 mic sound voic receiv 45 4 low price good 200 55 dont buy1 u feel low qualiti metari 25 2 improv sound qualiti 45 ,0.915,positive
"I was searching for deep bass clear sound quality earphones and I had ordered this Ambrane Stringz 38 Wired Earphones with Mic and trust me I am very happy & satisfied now using it, The bass, The sound and all,Microphone quality is also good.I am using it for the last 7-8 days :) It's totally value for money.",India,24-February-2021,search deep bass clear sound qualiti earphon order ambran stringz 38 wire earphon mic trust happi satisfi use bass sound allmicrophon qualiti also goodi use last 78 day total valu money,0.9562,positive
"3.5 star out of 5Bass is average..Sound is low compared to other earphones..Sound clarity is great, all the frequency is covered 20hz to 20000hzBuilt quality is very nice.Good quality material is used. Its definitely going to last long.Around 4 feet long/1.2 meters.Extra different sizes silicone earbuds is given...If you want clear sound with moderate bass in low budget (under two hundred on deal), go for it.",India,24-March-2021,35 star 5bass averagesound low compar earphonessound clariti great frequenc cover 20hz 20000hzbuilt qualiti nicegood qualiti materi use definit go last longaround 4 feet long12 metersextra differ size silicon earbud givenif want clear sound moder bass low budget two hundr deal go,0.8481,positive
Started using it on 24th Feb and it stopped working on the 12th of March.,India,28-May-2021,start use 24th feb stop work 12th march,-0.2263,negative
I recently ordered these earphones and was very satisfied with the product. The quality is good. The bass and the sound quality of the earphones is very nice. It's comfortable in the ears. The wire is of good quality as well. A total value for money product.  👍,India,20-March-2021,recent order earphon satisfi product qualiti good bass sound qualiti earphon nice comfort ear wire good qualiti well total valu money product ,0.9604,positive
"First day impression is audio works, outputs good sound, calls are clear at the other end so can say mic works too. Does its job and fulfil it purpose.But as far as overall feel good satisfaction is concerned, then have to say, item lives to its name. Its nothing but a piece of string, very very delicate; thin wires, thin 3.5 pin, thin bud caps. feels scary to hold and fold to carry in pocket, fear it might get pulled from some end breaking connector and stop working. Quality is not up to the mark and its not worth the money, should not pay more then rs70 to rs100.Disappointing that how unethical people have become just to do business. All they have done is, order cheap stuff from china, put their label and sell online with aim to make money. Wont be surprised if it does not live long enough, not durable at all. Wondering if its best to return for better quality product.Just to add - this is replacement item. First one received came with bad packaging and missing set of ear bud caps. it was looking dirty too as if used before... Amazon did a quick replacement, scores 10 out of 10 for quick response..Update:  there is a steel like ring on back top of the ear bud - which is not visible in the photo. Are you sure this is the correct item you have sent? or its a different version just cause it was in sale??",India,14-March-2021,first day impress audio work output good sound call clear end say mic work job fulfil purposebut far overal feel good satisfact concern say item live name noth piec string delic thin wire thin 35 pin thin bud cap feel scari hold fold carri pocket fear might get pull end break connector stop work qualiti mark worth money pay rs70 rs100disappoint uneth peopl becom busi done order cheap stuff china put label sell onlin aim make money wont surpris live long enough durabl wonder best return better qualiti productjust add replac item first one receiv came bad packag miss set ear bud cap look dirti use amazon quick replac score 10 10 quick responseupd steel like ring back top ear bud visibl photo sure correct item sent differ version caus sale,-0.6991,negative
A very cheap waste of money. No option to return it. It is fraud.it’s actual cost is not more than 50 rupees.very very cheap product.,India,3-March-2021,cheap wast money option return fraudit actual cost 50 rupeesveri cheap product,-0.6461,negative
Worst sound.Worst quality.Waste of money.Poor sound coming.Bad controller.Worst choice .Don't buy.,India,24-February-2021,worst soundworst qualitywast moneypoor sound comingbad controllerworst choic dont buy,-0.6249,negative
"1. Packaging is not that great it looks like copied version of boult.2. Color is not same as images published by the seller.3. Delivered with in 24hrs.4. Bass is good but compared to realme, boult and boat you may feel bit low.5. Wire quality is stiff but not anti tangle, does the job as mentioned.6. Mic is ok not the best and not too worst.Overall, balanced music with above average build quality fits easily in ear.I bought this for 199 and felt price worthy so giving 3star for this",India,14-March-2021,1 packag great look like copi version boult2 color imag publish seller3 deliv 24hrs4 bass good compar realm boult boat may feel bit low5 wire qualiti stiff anti tangl job mentioned6 mic ok best worstoveral balanc music averag build qualiti fit easili eari bought 199 felt price worthi give 3star,0.9075,positive
Extremely good sound quality for this price great base very punchy vocals and trebles are clear and crisp the colour is very vibrant and looks stylish fits in the ear perfectly the mic quality is good the person on the other side does not feel you are using a headphone over all a quality product.,India,14-March-2021,extrem good sound qualiti price great base punchi vocal trebl clear crisp colour vibrant look stylish fit ear perfectli mic qualiti good person side feel use headphon qualiti product,0.9669,positive
"Very nice earphones at this price. Because I'm music/video's  DB, HZ professional editor. So I know what is good or bad. Sound quality good and balanced. Vocal total clear and smooth sound.Why purchase:-)1. Good bass  4.2/5 ⭐2. Treble sound  4.5/5 ⭐3. Mic sound to other voice receiver  4/5 ⭐4. Low price good under ₹-200  5/5 ⭐Why don't buy:-(1. U can feel low quality Metarial.  2/5 ⭐2. Just improve sound quality  4/5 ⭐",India,23-February-2021,nice earphon price im musicvideo db hz profession editor know good bad sound qualiti good balanc vocal total clear smooth soundwhi purchase1 good bass 425 2 trebl sound 455 3 mic sound voic receiv 45 4 low price good 200 55 dont buy1 u feel low qualiti metari 25 2 improv sound qualiti 45 ,0.915,positive
"I was searching for deep bass clear sound quality earphones and I had ordered this Ambrane Stringz 38 Wired Earphones with Mic and trust me I am very happy & satisfied now using it, The bass, The sound and all,Microphone quality is also good.I am using it for the last 7-8 days :) It's totally value for money.",India,24-February-2021,search deep bass clear sound qualiti earphon order ambran stringz 38 wire earphon mic trust happi satisfi use bass sound allmicrophon qualiti also goodi use last 78 day total valu money,0.9562,positive
"3.5 star out of 5Bass is average..Sound is low compared to other earphones..Sound clarity is great, all the frequency is covered 20hz to 20000hzBuilt quality is very nice.Good quality material is used. Its definitely going to last long.Around 4 feet long/1.2 meters.Extra different sizes silicone earbuds is given...If you want clear sound with moderate bass in low budget (under two hundred on deal), go for it.",India,24-March-2021,35 star 5bass averagesound low compar earphonessound clariti great frequenc cover 20hz 20000hzbuilt qualiti nicegood qualiti materi use definit go last longaround 4 feet long12 metersextra differ size silicon earbud givenif want clear sound moder bass low budget two hundr deal go,0.8481,positive
Started using it on 24th Feb and it stopped working on the 12th of March.,India,28-May-2021,start use 24th feb stop work 12th march,-0.2263,negative
I recently ordered these earphones and was very satisfied with the product. The quality is good. The bass and the sound quality of the earphones is very nice. It's comfortable in the ears. The wire is of good quality as well. A total value for money product.  👍,India,20-March-2021,recent order earphon satisfi product qualiti good bass sound qualiti earphon nice comfort ear wire good qualiti well total valu money product ,0.9604,positive
"First day impression is audio works, outputs good sound, calls are clear at the other end so can say mic works too. Does its job and fulfil it purpose.But as far as overall feel good satisfaction is concerned, then have to say, item lives to its name. Its nothing but a piece of string, very very delicate; thin wires, thin 3.5 pin, thin bud caps. feels scary to hold and fold to carry in pocket, fear it might get pulled from some end breaking connector and stop working. Quality is not up to the mark and its not worth the money, should not pay more then rs70 to rs100.Disappointing that how unethical people have become just to do business. All they have done is, order cheap stuff from china, put their label and sell online with aim to make money. Wont be surprised if it does not live long enough, not durable at all. Wondering if its best to return for better quality product.Just to add - this is replacement item. First one received came with bad packaging and missing set of ear bud caps. it was looking dirty too as if used before... Amazon did a quick replacement, scores 10 out of 10 for quick response..Update:  there is a steel like ring on back top of the ear bud - which is not visible in the photo. Are you sure this is the correct item you have sent? or its a different version just cause it was in sale??",India,14-March-2021,first day impress audio work output good sound call clear end say mic work job fulfil purposebut far overal feel good satisfact concern say item live name noth piec string delic thin wire thin 35 pin thin bud cap feel scari hold fold carri pocket fear might get pull end break connector stop work qualiti mark worth money pay rs70 rs100disappoint uneth peopl becom busi done order cheap stuff china put label sell onlin aim make money wont surpris live long enough durabl wonder best return better qualiti productjust add replac item first one receiv came bad packag miss set ear bud cap look dirti use amazon quick replac score 10 10 quick responseupd steel like ring back top ear bud visibl photo sure correct item sent differ version caus sale,-0.6991,negative
A very cheap waste of money. No option to return it. It is fraud.it’s actual cost is not more than 50 rupees.very very cheap product.,India,3-March-2021,cheap wast money option return fraudit actual cost 50 rupeesveri cheap product,-0.6461,negative
