reviews,country,date,cleaned_reviews,sentiment_score,review_category
"First ever experience that im highly disappointed about Boat product, this is very ordinary product, mudic is muffling, no quality at all. Don't buy this, many alternatives in boat brand, no return about this product, please stay away from this cheap product from reputed Boat brand.",India,30-May-2021,first ever experi im highli disappoint boat product ordinari product mudic muffl qualiti dont buy mani altern boat brand return product pleas stay away cheap product reput boat brand,-0.6697,negative
"Okay.. I was skeptical at first to buy this as i was tight at my budget , but to be honest this little product really exceed my expectation. If you are really tight on budget just go for this one.Ps - for Redmi phone user , go to setting - sound effect and user equilizer and play around with sound enhancer to get the best sound result.",India,11-June-2021,okay skeptic first buy tight budget honest littl product realli exceed expect realli tight budget go onep redmi phone user go set sound effect user equil play around sound enhanc get best sound result,0.9343,positive
The earphone is worth what you pay for. The design of the earbud may cause pain after prolonged usage. In that case basshead 103 is good.In terms of sound this is way more advanced than basshead 103. Bass is also increased.Quality wise i would preferred the nylone wrapping of even the two small cable would have been better. Since most of the time those cable gets damaged.,India,11-June-2021,earphon worth pay design earbud may caus pain prolong usag case basshead 103 goodin term sound way advanc basshead 103 bass also increasedqu wise would prefer nylon wrap even two small cabl would better sinc time cabl get damag,0.3804,positive
"Particularly for people with sensitive ears, who gets ear pain when wearing those in ear buds kind of headsets, this one is a great choice. It doesn't block air flow into ear, so it is good for ear drum as well.",India,30-May-2021,particularli peopl sensit ear get ear pain wear ear bud kind headset one great choic doesnt block air flow ear good ear drum well,0.8161,positive
"Please believe me, Volume of my phone automatically gets down when earphones are plugged in. Youtube play/pause, next/previous video buttons wont go away when earphones are plugged in. This is very annoying. I cant even watch a 5 mins video peacefully. I have to raise volume again and again. Mic quality is very normal. Boat is lying about the crystal clear sound. You can get the same voice quality in 100-150rs local earphones. My 450rs got totally wasted. I bought boat for the first time. Never buying boat again. They are just overated and make faulty products.",India,1-June-2021,pleas believ volum phone automat get earphon plug youtub playpaus nextprevi video button wont go away earphon plug annoy cant even watch 5 min video peac rais volum mic qualiti normal boat lie crystal clear sound get voic qualiti 100150r local earphon 450r got total wast bought boat first time never buy boat over make faulti product,-0.5975,negative
"I am not very keen of music listening, so can't comment how good music it produce. My purpose of using this is fully focused on call. It is doing a great work, more than expected. People on other side able to here me correctly. Sound produce by it is loud enough to here correctly. There is no noise cauae by this headphone. Previously I used jbl and phillips, they are not only castly than this but their durability is also questionable. This one is fully justifying its price.This one did not came with tagle free, but wire is textured which make it easier to untangle.",India,5-September-2021,keen music listen cant comment good music produc purpos use fulli focus call great work expect peopl side abl correctli sound produc loud enough correctli nois cauae headphon previous use jbl phillip castli durabl also question one fulli justifi pricethi one came tagl free wire textur make easier untangl,0.7833,positive
"This product has caused me so much of damage that I had to write a review. Here is the thing. It is cheap and it works well with calls. I also wanted an alternative to in-ear buds that are available in the market. Hence, I bought it. Honestly, it has been a month and the earphone is working fine. However, I don't know what kind of a design boat is bragging of.  First of all using this earphone just for a few days has made my ears a little swollen. Also, it doesn't fit well. It will either fall off or it will hurt. If you lie down and use this expect it to fall off. If you sit down and use this expect it to give you some minor cuts. Why even buy this if you cannot use it properly? Volume buttons are not there. I thought I could do without it but the truth was later on I needed it. My suggestion is that if you want to buy a cheap product try out other brands in the same price range, buy the 50 rupee or 100 rupee one from small retailers or simply shell more money and get a better deal. Finally,  thank you boat for this terrible experience . I will never buy another product of yours (unless I have no choice) and will never compromise on quality over money.",India,5-September-2021,product caus much damag write review thing cheap work well call also want altern inear bud avail market henc bought honestli month earphon work fine howev dont know kind design boat brag first use earphon day made ear littl swollen also doesnt fit well either fall hurt lie use expect fall sit use expect give minor cut even buy cannot use properli volum button thought could without truth later need suggest want buy cheap product tri brand price rang buy 50 rupe 100 rupe one small retail simpli shell money get better deal final thank boat terribl experi never buy anoth product unless choic never compromis qualiti money,0.2308,positive
"Boat is known brand, definitely everyone expects premium sound quality. This model almost meets the expectations.Pros:1. Premium looks, quality and design2. Comfortable3. Good sound and Bass4. Attractive Red colour Play/pause button5. Mic is clearly noticableCons:1. Netted cable is given between jack to mic, which is less durable2. No volume controller, previous, next buttons3. Treble is not good4. Not noticed any noise cancellation5. Over priced",India,29-June-2021,boat known brand definit everyon expect premium sound qualiti model almost meet expectationspros1 premium look qualiti design2 comfortable3 good sound bass4 attract red colour playpaus button5 mic clearli noticablecons1 net cabl given jack mic less durable2 volum control previou next buttons3 trebl good4 notic nois cancellation5 price,0.8511,positive
"Best headset ever I used in my life, genuin product, good condition, reasonable price, value for money. And thanks to Amazon for a perfect delivery feature.",India,28-September-2021,best headset ever use life genuin product good condit reason price valu money thank amazon perfect deliveri featur,0.9501,positive
"I tried comparing the output of these earphones with that of apple original earphones…this boat earphones cannot stand anyway near apple earphones, i agree you get what you pay for but in this case it feels more like cheated…zero value for the money spent, the earphones are not worth even 100 rupees…",India,25-June-2021,tri compar output earphon appl origin earphonesthi boat earphon cannot stand anyway near appl earphon agre get pay case feel like cheatedzero valu money spent earphon worth even 100 rupe,0.8119,positive
