reviews,country,date,cleaned_reviews,sentiment_score,review_category
According to me guysFirst of all I haven't purchased iPhoneSecondly according to me if you have this much budget of more than 1lakhs spending on mobile is not worth at allInfact you can invest that money on apple stock or other  stock  so that the money could get doubled in future bcoz buying  iPhone is a depreciating assetHope you understand 🙂,India,17-December-2021,accord guysfirst havent purchas iphonesecondli accord much budget 1lakh spend mobil worth allinfact invest money appl stock stock money could get doubl futur bcoz buy iphon depreci assethop understand ,0.2596,positive
The product is good but think carefully before buying from here. Apple has new warranty policies. In case of defective product you will not get a replacement no matter whatever is mentioned here. I received a defective device and did not get a replacement from amazon.,India,30-September-2021,product good think care buy appl new warranti polici case defect product get replac matter whatev mention receiv defect devic get replac amazon,-0.6201,negative
"                    The media could not be loaded.
                



 Heavy phone.. Clean and sharp finish .. Gorgeous phone",India,30-September-2021," media could loaded
 



heavi phone clean sharp finish gorgeou phone",0.7717,positive
It’s amazing ❣️😍😍,India,26-January-2022,amaz ,0.9325,positive
"                    The media could not be loaded.
                



 Khud ki earning ka I phone best feeling ever ❤️Everything is best..❤️",India,17-December-2021," media could loaded
 



khud ki earn ka phone best feel ever everyth best",0.872,positive
"                    The media could not be loaded.
                



 From iPhone 6S in 2015 to iPhone 13 pro max in 2021 ,, one thing that still remains the same is it’s performance! I own an oneplus device but there is no comparison between these two! Apple made it a beast. From camera to gaming.. everything is top notch. The battery life is superb, best till now. Normal usage can go upto 3 days with full charge. Bought the earpods pro & iwatch to compliment this beast🤭",India,27-December-2021," media could loaded
 



from iphon 6s 2015 iphon 13 pro max 2021 one thing still remain perform oneplu devic comparison two appl made beast camera game everyth top notch batteri life superb best till normal usag go upto 3 day full charg bought earpod pro iwatch compliment beast",0.9715,positive
"                    The media could not be loaded.
                



 Value for money",India,18-March-2022," media could loaded
 



valu money",-0.2584,negative
"                    The media could not be loaded.
                



 Just excellent 🙈",India,30-November-2021," media could loaded
 



just excel ",0.5719,positive
This phone is so heavy and slippery and hard to hold.It has given me muscle strains and I can’t hold stuff in my hand properly using grip because of the weight and holding the phone in hand for long.,India,16-April-2022,phone heavi slipperi hard holdit given muscl strain cant hold stuff hand properli use grip weight hold phone hand long,0.5859,positive
Too expensive for its features. Product isn’t that efficient per the price value . Such a huge waste of money.,India,16-December-2021,expens featur product isnt effici per price valu huge wast money,0.5719,positive
According to me guysFirst of all I haven't purchased iPhoneSecondly according to me if you have this much budget of more than 1lakhs spending on mobile is not worth at allInfact you can invest that money on apple stock or other  stock  so that the money could get doubled in future bcoz buying  iPhone is a depreciating assetHope you understand 🙂,India,17-December-2021,accord guysfirst havent purchas iphonesecondli accord much budget 1lakh spend mobil worth allinfact invest money appl stock stock money could get doubl futur bcoz buy iphon depreci assethop understand ,0.2596,positive
The product is good but think carefully before buying from here. Apple has new warranty policies. In case of defective product you will not get a replacement no matter whatever is mentioned here. I received a defective device and did not get a replacement from amazon.,India,30-September-2021,product good think care buy appl new warranti polici case defect product get replac matter whatev mention receiv defect devic get replac amazon,-0.6201,negative
"                    The media could not be loaded.
                



 Heavy phone.. Clean and sharp finish .. Gorgeous phone",India,30-September-2021," media could loaded
 



heavi phone clean sharp finish gorgeou phone",0.7717,positive
It’s amazing ❣️😍😍,India,26-January-2022,amaz ,0.9325,positive
"                    The media could not be loaded.
                



 Khud ki earning ka I phone best feeling ever ❤️Everything is best..❤️",India,17-December-2021," media could loaded
 



khud ki earn ka phone best feel ever everyth best",0.872,positive
"                    The media could not be loaded.
                



 From iPhone 6S in 2015 to iPhone 13 pro max in 2021 ,, one thing that still remains the same is it’s performance! I own an oneplus device but there is no comparison between these two! Apple made it a beast. From camera to gaming.. everything is top notch. The battery life is superb, best till now. Normal usage can go upto 3 days with full charge. Bought the earpods pro & iwatch to compliment this beast🤭",India,27-December-2021," media could loaded
 



from iphon 6s 2015 iphon 13 pro max 2021 one thing still remain perform oneplu devic comparison two appl made beast camera game everyth top notch batteri life superb best till normal usag go upto 3 day full charg bought earpod pro iwatch compliment beast",0.9715,positive
"                    The media could not be loaded.
                



 Value for money",India,18-March-2022," media could loaded
 



valu money",-0.2584,negative
"                    The media could not be loaded.
                



 Just excellent 🙈",India,30-November-2021," media could loaded
 



just excel ",0.5719,positive
This phone is so heavy and slippery and hard to hold.It has given me muscle strains and I can’t hold stuff in my hand properly using grip because of the weight and holding the phone in hand for long.,India,16-April-2022,phone heavi slipperi hard holdit given muscl strain cant hold stuff hand properli use grip weight hold phone hand long,0.5859,positive
Too expensive for its features. Product isn’t that efficient per the price value . Such a huge waste of money.,India,16-December-2021,expens featur product isnt effici per price valu huge wast money,0.5719,positive
