reviews,country,date,cleaned_reviews,sentiment_score,review_category
"Like iphone 11,12 now 13. All same look and minor differences. Why Apple fellows release phone with no new features",India,25-September-2021,like iphon 1112 13 look minor differ appl fellow releas phone new featur,0.0772,positive
Same as previous model iPhone 12 with smaller notch. Don't understand why price is high .Waste of money .,India,26-September-2021,previou model iphon 12 smaller notch dont understand price high wast money ,-0.4215,negative
"I would suggest 12 Pro over 13 mini. Just a suggestion, I regret now and don't want you to fall for this trick of 13. Hard earned money should be well used. I don't see much difference between 12 Pro and 13 Mini with respect to Software and Hardware Upgrade, but we can see a high spike in cost of 13 Series.Suggestion to Apple, it would be far better to grow Real Apple then to sell out such a product to Consumers. I trust Apple would think over my suggestion and bring out some idea to grow Real Apple. Thanks in advance APPLE.",India,25-September-2021,would suggest 12 pro 13 mini suggest regret dont want fall trick 13 hard earn money well use dont see much differ 12 pro 13 mini respect softwar hardwar upgrad see high spike cost 13 seriessuggest appl would far better grow real appl sell product consum trust appl would think suggest bring idea grow real appl thank advanc appl,0.9248,positive
"Writing from 'iPhone xs max' I dint see a REAL WORLD improvement to upgrade from my phone till date. Its all about the extra camera and the camera placement. I am still in a Three year old phone which works smooth as butter, which no android does.Sticking to iPhone only for the OS",India,26-September-2021,write iphon xs max dint see real world improv upgrad phone till date extra camera camera placement still three year old phone work smooth butter android doesstick iphon os,0.2023,positive
Apple’s another generation phone with nothing new. Repeating the same set of features for last 3 years. Honestly Apple’s downfall has started. Their business is coming to an end soon. They could have waited for another year for new release. Iphone 13 series was not needed at at ll.,India,26-September-2021,appl anoth gener phone noth new repeat set featur last 3 year honestli appl downfal start busi come end soon could wait anoth year new releas iphon 13 seri need,0.4588,positive
Mini series is not practically useful at its price point. Seems it was just brought to fill the price in that bracket and launch a costlier 12 version. Apple should rather had skipped this and launched 12 at its price. Doesn't provide value for money.,India,26-September-2021,mini seri practic use price point seem brought fill price bracket launch costlier 12 version appl rather skip launch 12 price doesnt provid valu money,-0.4482,negative
"Apple talk about environment and do not supply charger.  Unless govt Punishes for such teda dimaag by Apple, I recommend 0 rating for Apple devices.",India,28-September-2021,appl talk environ suppli charger unless govt punish teda dimaag appl recommend 0 rate appl devic,-0.1531,negative
It’s not a good phone. Buy iPhone 13 pro max. Better phones are still available in the market like androids,India,26-September-2021,good phone buy iphon 13 pro max better phone still avail market like android,0.4577,positive
"Unworthy and overpriced, worthless upgrade... I can't even get more zoom option in camera, better to stick to 11 or 12",India,2-October-2021,unworthi overpr worthless upgrad cant even get zoom option camera better stick 11 12,-0.4588,negative
No major change and price is too high.The price of iPhones should be 50% below its original price.Thanks for such high price.,India,25-September-2021,major chang price highth price iphon 50 origin pricethank high price,0.0258,neutral
"Like iphone 11,12 now 13. All same look and minor differences. Why Apple fellows release phone with no new features",India,25-September-2021,like iphon 1112 13 look minor differ appl fellow releas phone new featur,0.0772,positive
Same as previous model iPhone 12 with smaller notch. Don't understand why price is high .Waste of money .,India,26-September-2021,previou model iphon 12 smaller notch dont understand price high wast money ,-0.4215,negative
"I would suggest 12 Pro over 13 mini. Just a suggestion, I regret now and don't want you to fall for this trick of 13. Hard earned money should be well used. I don't see much difference between 12 Pro and 13 Mini with respect to Software and Hardware Upgrade, but we can see a high spike in cost of 13 Series.Suggestion to Apple, it would be far better to grow Real Apple then to sell out such a product to Consumers. I trust Apple would think over my suggestion and bring out some idea to grow Real Apple. Thanks in advance APPLE.",India,25-September-2021,would suggest 12 pro 13 mini suggest regret dont want fall trick 13 hard earn money well use dont see much differ 12 pro 13 mini respect softwar hardwar upgrad see high spike cost 13 seriessuggest appl would far better grow real appl sell product consum trust appl would think suggest bring idea grow real appl thank advanc appl,0.9248,positive
"Writing from 'iPhone xs max' I dint see a REAL WORLD improvement to upgrade from my phone till date. Its all about the extra camera and the camera placement. I am still in a Three year old phone which works smooth as butter, which no android does.Sticking to iPhone only for the OS",India,26-September-2021,write iphon xs max dint see real world improv upgrad phone till date extra camera camera placement still three year old phone work smooth butter android doesstick iphon os,0.2023,positive
Apple’s another generation phone with nothing new. Repeating the same set of features for last 3 years. Honestly Apple’s downfall has started. Their business is coming to an end soon. They could have waited for another year for new release. Iphone 13 series was not needed at at ll.,India,26-September-2021,appl anoth gener phone noth new repeat set featur last 3 year honestli appl downfal start busi come end soon could wait anoth year new releas iphon 13 seri need,0.4588,positive
Mini series is not practically useful at its price point. Seems it was just brought to fill the price in that bracket and launch a costlier 12 version. Apple should rather had skipped this and launched 12 at its price. Doesn't provide value for money.,India,26-September-2021,mini seri practic use price point seem brought fill price bracket launch costlier 12 version appl rather skip launch 12 price doesnt provid valu money,-0.4482,negative
"Apple talk about environment and do not supply charger.  Unless govt Punishes for such teda dimaag by Apple, I recommend 0 rating for Apple devices.",India,28-September-2021,appl talk environ suppli charger unless govt punish teda dimaag appl recommend 0 rate appl devic,-0.1531,negative
It’s not a good phone. Buy iPhone 13 pro max. Better phones are still available in the market like androids,India,26-September-2021,good phone buy iphon 13 pro max better phone still avail market like android,0.4577,positive
"Unworthy and overpriced, worthless upgrade... I can't even get more zoom option in camera, better to stick to 11 or 12",India,2-October-2021,unworthi overpr worthless upgrad cant even get zoom option camera better stick 11 12,-0.4588,negative
No major change and price is too high.The price of iPhones should be 50% below its original price.Thanks for such high price.,India,25-September-2021,major chang price highth price iphon 50 origin pricethank high price,0.0258,neutral
