reviews,country,date,cleaned_reviews,sentiment_score,review_category
"Unfortunately, I couldn't buy this from Amazon as they didn't have stock. I had to buy it from Reliance Digital which doesn't even have a return policy while it unethically accepted pre booking. However, my experience and opinion is fairly given.One of the most hyped launch. This size doesn't fit all the use cases. It is mainly meant for reading, browsing, media consumption and gaming and is NOT meant for serious productivity applications due to the small screen estate.Pros:Excellent A15 Bionic chip. Fast and Efficient. However note that the CPU is throttled to A14 like performance while GPU is better. I am not a gamer or video editor so just doesn't bother me.Good form factor for portability if the size is meant for you.Sound is fine for its size not loud but stereo from top and bottom.WiFi and Bluetooth works well in range but I noticed the sound level is less when connected to Bluetooth headphones.Front camera good with centre stage function.Rear camera is again 12 MP, but I can't see much use to it in an iPad. Has a flash too which should benefit for some kind of document scanning etc or occasional photography.Just needs about 2 hrs for full charge 0 to 100.Cons:Screen has Jelly scroll in portrait mode. Right side of the screen moves faster than the left side creating a wave like motion of the content which is very very visible while scrolling web pages with text. Can cause nauseating feel. For pages with videos like in You tube you can clearly see the wobbling of the screen with each video dancing like a jelly to the next one at its side which is like disgusting and cheap feel. This is the major issue with this mini 6 display.The aspect ratio for this model is changed for 16:12 to odd 16:10.5 resulting in most apps not fitting well over the screen which means more grey bars.Further, due to higher 326 ppi text looks too small and size needs to be increased. Apps don't fit into the new aspect ratio for now atleast and there is almost always some grey bars that practically makes the small size increase to 8.3"" meaningless.If anyone can really IGNORE this screen flaw (I can't personally) the screen is decent and definitely not of great quality for its color reproduction or brightness.The next worse thing is the Battery life. With a small 5 percent increase in screen area and same battery capacity like the earlier model, you barely get 8 hrs of screen on time with WiFi video browsing indoors with display set to about 175 nits. They should have increased the battery capacity to 5500 mah instead of 5025 mah. My earlier model used to have close to 10 hrs screen on time. If you do gaming or use productivity apps or Apple pencil expect not more than 2 to 4 hrs of screen on time. Standby time is excellent though (A small concession).IpadOS 15 for Mini 6 is just a kind of nonsense. All the icons on the home screen are closely packed in small size with heavy padding space left empty on the sides. Not sure if Apple will rectify it for mini 6 anytime soon. They just applied what is meant for bigger Ipads to mini which doesn't go well.Storage of 64 GB is just not fair for today's use. There isn't any option for 128 GB.With the issues especially the display, followed by the paltry 64 GB storage and average battery life for a cost of 47K (640$) meant for a base model (Case, screen protector and Apple pencil will add upto another 15K) its just not worth it. You feel robbed of the pleasure due to the display performance issues even if price doesn't bother you. I personally can't recommend this product with above reasons at this price point. The hype is just not worth it.Note: Apple has no questions asked return policy for 14 days after receipt in the US and Europe. However, in India it is a 7 day period (starting from date of invoice) and that too only if Apple service centre can certify that the product is defective. However, the price is more than that they have for other markets. Another Joke from Apple for its Indian customers. Lastly Apple doesn't have any stores of its own in India, their franchised service centres are run by incompetent people who doesn't understand any issues and are reluctant to support your cause due to such limited setup by Apple in India.",India,30-November-2021,unfortun couldnt buy amazon didnt stock buy relianc digit doesnt even return polici uneth accept pre book howev experi opinion fairli givenon hype launch size doesnt fit use case mainli meant read brows media consumpt game meant seriou product applic due small screen estateprosexcel a15 bionic chip fast effici howev note cpu throttl a14 like perform gpu better gamer video editor doesnt bother megood form factor portabl size meant yousound fine size loud stereo top bottomwifi bluetooth work well rang notic sound level less connect bluetooth headphonesfront camera good centr stage functionrear camera 12 mp cant see much use ipad flash benefit kind document scan etc occasion photographyjust need 2 hr full charg 0 100consscreen jelli scroll portrait mode right side screen move faster left side creat wave like motion content visibl scroll web page text caus nauseat feel page video like tube clearli see wobbl screen video danc like jelli next one side like disgust cheap feel major issu mini 6 displayth aspect ratio model chang 1612 odd 16105 result app fit well screen mean grey barsfurth due higher 326 ppi text look small size need increas app dont fit new aspect ratio atleast almost alway grey bar practic make small size increas 83 meaninglessif anyon realli ignor screen flaw cant person screen decent definit great qualiti color reproduct brightnessth next wors thing batteri life small 5 percent increas screen area batteri capac like earlier model bare get 8 hr screen time wifi video brows indoor display set 175 nit increas batteri capac 5500 mah instead 5025 mah earlier model use close 10 hr screen time game use product app appl pencil expect 2 4 hr screen time standbi time excel though small concessionipado 15 mini 6 kind nonsens icon home screen close pack small size heavi pad space left empti side sure appl rectifi mini 6 anytim soon appli meant bigger ipad mini doesnt go wellstorag 64 gb fair today use isnt option 128 gbwith issu especi display follow paltri 64 gb storag averag batteri life cost 47k 640 meant base model case screen protector appl pencil add upto anoth 15k worth feel rob pleasur due display perform issu even price doesnt bother person cant recommend product reason price point hype worth itnot appl question ask return polici 14 day receipt us europ howev india 7 day period start date invoic appl servic centr certifi product defect howev price market anoth joke appl indian custom lastli appl doesnt store india franchis servic centr run incompet peopl doesnt understand issu reluct support caus due limit setup appl india,0.9509,positive
Just one day before product got delivered and its not charging even after reset and it sometimes get charged then stops. Highly dissatisfied. No return or replacement available. Will never purchase anything from amazon in future.,India,15-October-2021,one day product got deliv charg even reset sometim get charg stop highli dissatisfi return replac avail never purchas anyth amazon futur,-0.7245,negative
Great tablet with miniature form.every thing is superb with this tablet only con is missing oled screen,India,15-October-2021,great tablet miniatur formeveri thing superb tablet con miss ole screen,0.7906,positive
"Great product.After using it I wonder why do people watch Netflix, prime , hotstar etc in small mobile screen or play games in Android with lags and limited spaces.Take mobile for communicationAnd this ipad for multimedia consumption or gaming.Your life will be better and smoother like mine 😊",India,27-January-2022,great productaft use wonder peopl watch netflix prime hotstar etc small mobil screen play game android lag limit spacestak mobil communicationand ipad multimedia consumpt gamingyour life better smoother like mine ,0.926,positive
"                    The media could not be loaded.
                



 Pros-1) performance is fast and their is zero lag as u would expect from ios.2) battery backup is good, easily lasts a full day3) sound quality is ok.4) light weight and portable.5) excellent camera quality6) 3 months free apple tv+ and apple arcadeCons-1) jelly lag(a screen issue)is evident especially once you are already aware of it. You can find more about jelly lag on ipad mini on youtube.",India,30-November-2021," media could loaded
 



pros1 perform fast zero lag u would expect ios2 batteri backup good easili last full day3 sound qualiti ok4 light weight portable5 excel camera quality6 3 month free appl tv appl arcadecons1 jelli laga screen issuei evid especi alreadi awar find jelli lag ipad mini youtub",0.804,positive
"                    The media could not be loaded.
                ",India,26-January-2022," media could loaded
 ",0.0,neutral
Latest update is totally worst. I purchased this to play BGMI but after this update whenever you put it on charge while playing its fps falls to 30 and remains on 30 till you restart the game. After restarting it will remain on 60fps fir around 20 to 30 min then you need to restart again. No idea when will they improve it.,India,28-May-2022,latest updat total worst purchas play bgmi updat whenev put charg play fp fall 30 remain 30 till restart game restart remain 60fp fir around 20 30 min need restart idea improv,0.3079,positive
"I liked how it is small and fit in palm and best for gaming. Screen to corner ratio is small too.Being it is new device, BGMI is not optimized for this tab. Black bar is showing to both corner.But.. I think all can be fixed by bgmi and apple colab. 😇I am happy with the productEdit... Black bar issue has been fixed and its really nice tab.. 😇",India,12-December-2021,like small fit palm best game screen corner ratio small toob new devic bgmi optim tab black bar show cornerbut think fix bgmi appl colab happi productedit black bar issu fix realli nice tab ,0.9642,positive
"I have been through android flagships and iphones and still have them around for travel purpose, because they have great cameras. But as my daily driver I use a potato Nokia as a phone and this beautiful, magnificent, efficient, compact yet powerful iteration of the iPad Mini lineup. My usage cases are content consumption (mostly Youtube), reading magazines, photo/video editing, reading comics and occasional illustrating. The phone I have chosen for everyday use is of course for calling only. But whenever I want to consume media or browse the web I have to take out the Mini from my bag, which helps me not being glued to smartphone at every corner. Although I have recently started this habit, I am getting very much used to it and this can be a great way for digital detox or curbing down smartphone addiction or getting into digital minimalism for those who are interested. This ipad is the best size for my usage and honestly I would be happier if the screen size would have been smaller. Books can be easily read in Kindle and smartphones with proper formats but reading a full fledged magazine? That’s where this feels more useful to me, along with its other perks. Oh btw I ordered from apple India website because they provide engraving, and for anyone who is curious, I leave it upto bengali bookworms to find who is my most favorite writer of all time, from the lines I chose to engrave.Edit: Mine is cellular model, Starlight version of Mini 6.",India,1-April-2022,android flagship iphon still around travel purpos great camera daili driver use potato nokia phone beauti magnific effici compact yet power iter ipad mini lineup usag case content consumpt mostli youtub read magazin photovideo edit read comic occasion illustr phone chosen everyday use cours call whenev want consum media brows web take mini bag help glu smartphon everi corner although recent start habit get much use great way digit detox curb smartphon addict get digit minim interest ipad best size usag honestli would happier screen size would smaller book easili read kindl smartphon proper format read full fledg magazin that feel use along perk oh btw order appl india websit provid engrav anyon curiou leav upto bengali bookworm find favorit writer time line chose engraveedit mine cellular model starlight version mini 6,0.9968,positive
"                    The media could not be loaded.
                



 OP Gyro...",India,20-December-2021," media could loaded
 



op gyro",0.0,neutral
