reviews,country,date,cleaned_reviews,sentiment_score,review_category
"Don’t hesitate. I repeat, don’t.!Compared to the Series 6 or last year’s Series 5, the main thing the SE lacks is an always-on display, which allows you to see the time or your notifications without having to tap the screen or lift your wrist up. For me, this is a must-have feature — I think a watch should always function as a watch and tell me the time without any extra work. But it’s not important for everybody, and it does consume more battery life.Pros : Workout Tracking. Proactive Health Monitor. Sleek Design. Large Display. Ability to Send and Receive Calls. Water Resistance. Cellular Connectivity. Storage Capacity.Cons : ECG monitor and Blood Oxygen, though I’m not a huge fan of those, hence it’s not a big deal for me.No need to go for Watch Series 6 if you are okay with those Cons, Go ahead and purchase this beauty and save some money..!!",India,4-October-2020,dont hesit repeat dontcompar seri 6 last year seri 5 main thing se lack alwayson display allow see time notif without tap screen lift wrist musthav featur think watch alway function watch tell time without extra work import everybodi consum batteri lifepro workout track proactiv health monitor sleek design larg display abil send receiv call water resist cellular connect storag capacitycon ecg monitor blood oxygen though im huge fan henc big deal meno need go watch seri 6 okay con go ahead purchas beauti save money,0.9442,positive
This is my first smart watch and i loved it! I would suggest to go for 44mm for gents! My wrist would have a size around 6inches and 40mm looks just perfect but anyone with bigger wrist would feel 40mm as too small. I didn’t find any negatives to point out.,India,4-March-2021,first smart watch love would suggest go 44mm gent wrist would size around 6inch 40mm look perfect anyon bigger wrist would feel 40mm small didnt find neg point,0.7379,positive
"1. Battery is the worst. It dies even before a day.2. I get sms notifications which I have muted in my iPhone, I contacted apple care but they don’t know and don’t care.3. After 3 months, it stopped sending SMS, I contacted Apple care, they don't care. I visited apple service center, they don't care either.4. This is LTE version but you have to pay apple-music to listen to songs without your phone.5. There’s no practical use to this, only inbuilt apps are there which are of no use anyway.I don’t recommend this.6. I would advise you all not to waste so much money on this garbage.",India,4-October-2020,1 batteri worst die even day2 get sm notif mute iphon contact appl care dont know dont care3 3 month stop send sm contact appl care dont care visit appl servic center dont care either4 lte version pay applemus listen song without phone5 there practic use inbuilt app use anywayi dont recommend this6 would advis wast much money garbag,-0.6526,negative
"I have bought Apple Watch from Amazon today and while assembling I have found that strap is defective and I tried for replacement as it comes with 10 days replacement, Amazon redirected me to apple. Apple online support asked me to visit store. Some how I tried and connected to Amazon customer care however they contentiously told me that Amazon have such arrangement with apple and told me that same is mentioned on product purchase page. Even after asking multiple times, the team is not able to show me this condition. Very frustrating to get a defective product and customer care like this. I have to go to the store then what is the point of buying product online.PLEASE DONT BUY APPLE PRODUCTS FROM AMAZON",India,7-October-2020,bought appl watch amazon today assembl found strap defect tri replac come 10 day replac amazon redirect appl appl onlin support ask visit store tri connect amazon custom care howev contenti told amazon arrang appl told mention product purchas page even ask multipl time team abl show condit frustrat get defect product custom care like go store point buy product onlinepleas dont buy appl product amazon,0.8334,positive
Absolute stunner.Those who were waiting to buy series 5 after the launch of series 6 shoupd go for this one.Blood oximeter you can buy for 2k separately.doesn’t make sense to pay so much. Ecg is not a requirement for me . Processor same as series 5 . Always in display make differences in battery life.So this SE is great purchase and value for price.,India,4-March-2021,absolut stunnerthos wait buy seri 5 launch seri 6 shoupd go oneblood oximet buy 2k separatelydoesnt make sens pay much ecg requir processor seri 5 alway display make differ batteri lifeso se great purchas valu price,0.7269,positive
The watch delivered to me was defective. I was unable to attach one of the bands to the watch. The band didn’t lock in the centre it kept sliding from one side to the other. I have requested a return and refund which is yet to be processed. Amazon customer care has been responsive to the concern. However not happy with Apple. This is not the product quality we expect from Apple.,India,4-October-2021,watch deliv defect unabl attach one band watch band didnt lock centr kept slide one side request return refund yet process amazon custom care respons concern howev happi appl product qualiti expect appl,0.1285,positive
"Spent a lot of time avoiding the Apple Watch as I felt it was overkill given the functionality Simple fitness trackers offer. I finally caved in once my current band gave wayPros:1. Lightweight & Excellent Aesthetics2. UI is buttery smooth and intuitive3. Works like a charm with your iPhone.4. App Ecosystem and watchface customizable  complications is amazing. In a glance i get my step count, outlook calendar&mail, temp, compass, calorie count.5. Surprisingly good Battery life.6. Band/Strap customization keeps it fresh7. Control Music/Chromecast/Airplay all from  your wrist.8. Magnetic chargingCons:1. Ridiculous markup in India vs US pricing. With HDFC rewards and other cash back i was able to get it close to its US base price.2. Live pedometer count. You get over it eventually.SE vs 6 wasn't too much of an issue for me. I got the 6 for my father but figured I am not old enough yet to care about EKG or V02 and in any case would not rely on this watch for such critical diags.Go for it if iOS ecosystem isn’t an issue.",India,10-October-2020,spent lot time avoid appl watch felt overkil given function simpl fit tracker offer final cave current band gave waypros1 lightweight excel aesthetics2 ui butteri smooth intuitive3 work like charm iphone4 app ecosystem watchfac customiz complic amaz glanc get step count outlook calendarmail temp compass calori count5 surprisingli good batteri life6 bandstrap custom keep fresh7 control musicchromecastairplay wrist8 magnet chargingcons1 ridicul markup india vs us price hdfc reward cash back abl get close us base price2 live pedomet count get eventuallys vs 6 wasnt much issu got 6 father figur old enough yet care ekg v02 case would reli watch critic diagsgo io ecosystem isnt issu,0.886,positive
"                    The media could not be loaded.
                



 I liked the watch.I knew the features of Apple Watch. The only fear was will I get an original product. Which I did. The watch is really nice and durable. But the charger stopped working within a month. And I am not able to get in touch with the seller. Amazon is of no help in this.",India,20-October-2020," media could loaded
 



i like watchi knew featur appl watch fear get origin product watch realli nice durabl charger stop work within month abl get touch seller amazon help",-0.1755,negative
Its a good watch for the price. If you are not finicky about always on feature and does not require ECG and Blood oxygen feature you can go for it and save money. One star less as got small scratch at bottom of screen within a week and i do not remember slamming hard anywhere. One expect a harder screen for watches which costs above 20k. Apple need to work on this. I do not see any other watch needing screen guard and cover to be saved from scratches :). Its quite funny,India,9-June-2021,good watch price finicki alway featur requir ecg blood oxygen featur go save money one star less got small scratch bottom screen within week rememb slam hard anywher one expect harder screen watch cost 20k appl need work see watch need screen guard cover save scratch quit funni,0.9079,positive
Received a damaged product with black spot on the screen and Amazon app connected to bapple customer care and after 4 hours telephone conversation with Amazon customer service and Apple support finaly with long fight we Got replacement of the watch I suggest not to buy with Amazon need to buy in apple out let and Amazon customer care Representative can't understand the problem they are saying can't replace the product need to get verified with Apple out let and bring the receipt for replacement  we tryed to say the problem but they are not understand the situation,India,29-September-2021,receiv damag product black spot screen amazon app connect bappl custom care 4 hour telephon convers amazon custom servic appl support finali long fight got replac watch suggest buy amazon need buy appl let amazon custom care repres cant understand problem say cant replac product need get verifi appl let bring receipt replac tri say problem understand situat,0.5391,positive
