reviews,country,date,cleaned_reviews,sentiment_score,review_category
Actually this is not my expected product,India,6-December-2021,actual expect product,0.0,neutral
"                    The media could not be loaded.
                ",India,9-November-2021," media could loaded
 ",0.0,neutral
Best tablet ever bought 256 gb variant at 34500 with gst exclusion from amazon business account and 3k rupees hdfc discount trust me my friends have used way cheaper and expensive android tablets with 6 gb ram but this is the best tablet that i have used 3 gb ram way enough to play genshin impact pubg mobile in highest settings without any lagused this tablet continuously from 9 am to 3 pm netflix youtube and pubg battery was at 87 percent before and 53 percent after heavy use for about 6 hoursI know people believe Apple products are for the rich and mainly a show off but the performance is amazing my older ipad lasted for almost 4 years before the screen cracked it was my mistake but it still works perfectly and gets about 10 hours of backup64 GB variant will also give the same performance and battery backup just go for it if you don't want 256 gb variant,India,9-November-2021,best tablet ever bought 256 gb variant 34500 gst exclus amazon busi account 3k rupe hdfc discount trust friend use way cheaper expens android tablet 6 gb ram best tablet use 3 gb ram way enough play genshin impact pubg mobil highest set without lagus tablet continu 9 3 pm netflix youtub pubg batteri 87 percent 53 percent heavi use 6 hoursi know peopl believ appl product rich mainli show perform amaz older ipad last almost 4 year screen crack mistak still work perfectli get 10 hour backup64 gb variant also give perform batteri backup go dont want 256 gb variant,0.9833,positive
"I ordered ipad 10.2 (9thGen) and it came with one side seal not sticking properly, I realised you can easily open the box without disturbing the other side of the seal. However, I noticed right out of the box the display had burns, it definitely seemed a refurbished item because apple quality check is very stringent. However, same day amazon agreed to replace the device and ordered for hand to hand change the very next day.Here is the funny thing now:10th - Order picked up11th - Out for delivery (3 hrs later .. cannot deliver due to external factors)12th - Out for delivery (3 hrs later .. cannot deliver due to external factors)13th - Out for delivery (3 hrs later .. cannot delivery due to external factors)Post that I called the customer care and asked for explanation, they have no explanation and gave me vague answers. I had to go through three customer service reps before it came to conclusion to just wait for one day or else they will refund.I explicitly told them I do not need refund and to which they said they have no option as per their protocol.. Something fishy is happening here.Finally after a very rough call with Amazon (hope its recorded for evidence) my replacement ipad got delivered and the BEST PART..The seal is broken from one side…However, the ipad is running but I believe this seller is a cheat and the service from amazon was a piss poor job.Go for the store… Good Luck!",India,6-December-2021,order ipad 102 9thgen came one side seal stick properli realis easili open box without disturb side seal howev notic right box display burn definit seem refurbish item appl qualiti check stringent howev day amazon agre replac devic order hand hand chang next dayher funni thing now10th order pick up11th deliveri 3 hr later cannot deliv due extern factors12th deliveri 3 hr later cannot deliv due extern factors13th deliveri 3 hr later cannot deliveri due extern factorspost call custom care ask explan explan gave vagu answer go three custom servic rep came conclus wait one day els refundi explicitli told need refund said option per protocol someth fishi happen herefin rough call amazon hope record evid replac ipad got deliv best partth seal broken one sidehowev ipad run believ seller cheat servic amazon piss poor jobgo store good luck,0.8466,positive
"My order number is 403- 5292109-2610761, I received my iPad on 17th January. At first everything was fine but it's been 2, 3 days that it is taking too long for my iPad to get charged fully. If the battery percentage is 84%  then after 1 hour also it's stuck at 84%. I don't know whether the problem is with adapter or iPad. I feel like this should not be fine with a newly brought IPad. I request everyone to buy apple product from Apple store from any city. I am regretting my choice by buying it online. It was 84% after half an hour also it is stuck at 84%. I have attached the images too",India,7-December-2021,order number 403 52921092610761 receiv ipad 17th januari first everyth fine 2 3 day take long ipad get charg fulli batteri percentag 84 1 hour also stuck 84 dont know whether problem adapt ipad feel like fine newli brought ipad request everyon buy appl product appl store citi regret choic buy onlin 84 half hour also stuck 84 attach imag,-0.8857,negative
"For a couple of months I was damn skeptical about this iPad, I had mental fight whether I should go for iPad mini 6 or iPad 9th generation. And I wanted to buy higher storage variant but somehow I have to settle with 64gb variant and eventually bought this iPad 9th generation 64gb variant.Some of cons and pros are mentioned below-Pros-1. It's a beast when it comes to performance because of the powerful A13 bionic processor and no android tab can come near to this even below 50-60k.2. It has a great battery which lasts 1.5 days.3. This iPad is supported apple pencil 1st gen and the combination is buttery smooth.4. It also has 3.5 mm jack which no tab offers at this price category.5. A great 10.2 inch display which is very comfortable to hold and the screen size is just perfect.6. It has a crisp and clean speaker.7. It has a solid aluminium build and feels premium to hold.Cons-1. A biggest cons is lightening connector which is not as fast as type c.2. Display is non laminated but it's hard to notice with eyes.3. Speaker placement could have been better as it's only one-sided though it's a stereo speaker and your experience could be better by putting headphones.Conclusion: This is the best iPad at this price category. Go for it without any second thought. Samsung is lagging in so many things such as performance and display because they always offers TFT display which is worst at this price range. Apple always impressed us with their devices.",India,14-April-2022,coupl month damn skeptic ipad mental fight whether go ipad mini 6 ipad 9th gener want buy higher storag variant somehow settl 64gb variant eventu bought ipad 9th gener 64gb variantsom con pro mention belowpros1 beast come perform power a13 bionic processor android tab come near even 5060k2 great batteri last 15 days3 ipad support appl pencil 1st gen combin butteri smooth4 also 35 mm jack tab offer price category5 great 102 inch display comfort hold screen size perfect6 crisp clean speaker7 solid aluminium build feel premium holdcons1 biggest con lighten connector fast type c2 display non lamin hard notic eyes3 speaker placement could better onesid though stereo speaker experi could better put headphonesconclus best ipad price categori go without second thought samsung lag mani thing perform display alway offer tft display worst price rang appl alway impress us devic,0.985,positive
"Came across quite a few reviews highlighting how Amazon’s (and other e-commerce platforms’) policy has changed for worse. Still went ahead and bought it from here. New ipad straight out of the box has a screen defect. Check pictures. Seal on one side was broken too. Wondering if they’re selling refurbished products or something.The ipad is great. Deep value for money. Bought the ipad air 2 in 2014 for a higher price and with inflation and all, you get the idea. This has better processor, better camera, Apple Pencil support among other things.Advice: Don’t bother with the 5-10% bank discount you get on these websites. Buy it from the store if you value your peace of mind.",India,30-January-2022,came across quit review highlight amazon ecommerc platform polici chang wors still went ahead bought new ipad straight box screen defect check pictur seal one side broken wonder theyr sell refurbish product somethingth ipad great deep valu money bought ipad air 2 2014 higher price inflat get idea better processor better camera appl pencil support among thingsadvic dont bother 510 bank discount get websit buy store valu peac mind,0.8957,positive
"For months I had this constant mental fight on whether buying a tablet or a laptop when I go to med school.Since I have planned to complete this year’s entrance exam coaching prep online, I had to buy something.The day after I took that decision, the new gen was available to order. So I didn’t think much more since I knew everything about this device from many resources. Honestly one of the best decisions I’ve ever made.Glad that I didn’t go for any other tablets around this price range. Battery lasts upto 3 days with my constant use for my studies. The iPadOS is running smooth with just a few bugs.Even though the design, accessories and port is pretty much outdated, I think it can run smoothly over my whole med school years as my secondary device. Maybe I wouldn’t even buy a laptop if it can do everything I have to do throughout the next years.Such a great investment ;)",India,27-January-2022,month constant mental fight whether buy tablet laptop go med schoolsinc plan complet year entranc exam coach prep onlin buy somethingth day took decis new gen avail order didnt think much sinc knew everyth devic mani resourc honestli one best decis ive ever madeglad didnt go tablet around price rang batteri last upto 3 day constant use studi ipado run smooth bugseven though design accessori port pretti much outdat think run smoothli whole med school year secondari devic mayb wouldnt even buy laptop everyth throughout next yearssuch great invest ,0.93,positive
"1)Performance is really amazing.2)No lag at all even if multiple apps are open3) Aesthetic is amazing4) Battery life is very good , lasts long5) Display could have slightly better, But you won't notice any issues6) UI is smooth and clean7) My desicion was correct by not going to Android tabs8) I recommend buying case & screen guard ASAP9) Camera on ipad is really good compared to Android",India,8-April-2022,1perform realli amazing2no lag even multipl app open3 aesthet amazing4 batteri life good last long5 display could slightli better wont notic issues6 ui smooth clean7 desicion correct go android tabs8 recommend buy case screen guard asap9 camera ipad realli good compar android,0.8625,positive
Seems second hand product.. because during apple id creation it shows this device has been used to create to many apple id,India,9-December-2021,seem second hand product appl id creation show devic use creat mani appl id,0.7506,positive
