reviews,country,date,cleaned_reviews,sentiment_score,review_category
"Why the hell there is so difference between 13 and 13 Pro? Like 13 (128gb) costs 80k and 13 Pro (128gb) directly costs 1.20L? There actually no major difference between them except the refresh rate, so for that you'll charging 40k extra? First of all after so so so long you'll upgrading your refresh rate from 60 to 90, infact there are phone's having 144 too, but you'll not letting normal people use 90 refresh rate, giving a price difference of 40k? Do you know how much that is for a common man? A person gives is years of saving to buy iPhone, and you'll charge 40k extra for just a refresh rate? Apple company would earn it's whole life but never die in peace, mark my words.",India,18-December-2021,hell differ 13 13 pro like 13 128gb cost 80k 13 pro 128gb directli cost 120l actual major differ except refresh rate youll charg 40k extra first long youll upgrad refresh rate 60 90 infact phone 144 youll let normal peopl use 90 refresh rate give price differ 40k know much common man person give year save buy iphon youll charg 40k extra refresh rate appl compani would earn whole life never die peac mark word,0.4318,positive
I didn't find any improvement over iPhone 12 pro. Rather clicking pic at portrait mode in 3x is a bigger headache as you can't pan the zoom and 3x is too tight for indoor photography. At this price point buying a heavy weapon is not recommended,India,3-December-2021,didnt find improv iphon 12 pro rather click pic portrait mode 3x bigger headach cant pan zoom 3x tight indoor photographi price point buy heavi weapon recommend,-0.6454,negative
"Apple provides the class as we all know. This one got good display , screen quality , processor and camera . I was expecting much more from battery part as i play games heavily and i am not very happy but just satisfied that apple can try to create better battery life .Only buy if you want to but not if you expect everything to be great .Edit : This phone heats up after 30-40 mins of heavy gaming like COD or MC5",India,3-December-2021,appl provid class know one got good display screen qualiti processor camera expect much batteri part play game heavili happi satisfi appl tri creat better batteri life buy want expect everyth great edit phone heat 3040 min heavi game like cod mc5,0.9686,positive
Just one day of use and the display stop responding went to Apple Support centre they sent that to Banagalore for display change. You don’t expect something like this when you pay such a high price for a phone. Highly disappointed,India,2-January-2022,one day use display stop respond went appl support centr sent banagalor display chang dont expect someth like pay high price phone highli disappoint,-0.2006,negative
"I have been Google pixel fan and have been Android user since last 8 years. I was looking for change and decided to buy iphone 13 pro silver. 256 GB is perfect storage we can go for. The screen clarity, cameras, features are awesome. Google is known for software wonders and apple for its hardware. Well thats true. This phone is totally pro. Silver color gives royal look.",India,31-October-2021,googl pixel fan android user sinc last 8 year look chang decid buy iphon 13 pro silver 256 gb perfect storag go screen clariti camera featur awesom googl known softwar wonder appl hardwar well that true phone total pro silver color give royal look,0.9493,positive
"Apple has turned pro this time and it’s my first pro purchase ever. 120hz feels insane and the cameras are out of this world. No camera can match apple as it leaves everything in the dust. The way I see photography is the simplicity. You should just be able to take out your phone , open the camera and click your best shot. Not depend on artificial 100X useless zoom or 108 megapixels, they don’t count at all. Sierra blue color is absolutely stunning!!!! This time, it’s worth the PRO!!! 💙",India,12-February-2022,appl turn pro time first pro purchas ever 120hz feel insan camera world camera match appl leav everyth dust way see photographi simplic abl take phone open camera click best shot depend artifici 100x useless zoom 108 megapixel dont count sierra blue color absolut stun time worth pro ,0.8253,positive
"Nice buy. Very costly, but high end built and premium feel. Addictive like other previous iPhone models.Excellent triple camera with LiDar. Face unlock works with spectacles and mask on.Battery lasts roughly one day. Fast charger (bought separately) charges battery to 100% in approximately 1.5 hours. Touch is super smooth- better than iphone 12, 11 & SE. Screen is also way way better than previous iphone models.Highly secure and has many useful features like OCR (text) from photos being one of them.Pricing is very high (almost double of that of iPhone 13), probably due to being completely imported.Overall a good phone if you have the budget for it.",India,18-December-2021,nice buy costli high end built premium feel addict like previou iphon modelsexcel tripl camera lidar face unlock work spectacl mask onbatteri last roughli one day fast charger bought separ charg batteri 100 approxim 15 hour touch super smooth better iphon 12 11 se screen also way way better previou iphon modelshighli secur mani use featur like ocr text photo one thempric high almost doubl iphon 13 probabl due complet importedoveral good phone budget,0.9844,positive
"                    The media could not be loaded.
                



 Apple alpine 13pro - Green ;)Would say this color (alpine) better then other specially if one experiences in person.Otherwise usual iPhone 13proGood- Camera, screen for it Promotion 120hzAnd usual iPhone performance.Con- heavy, notch is deeper then previous so not exactly smaller then before!",India,25-September-2021," media could loaded
 



appl alpin 13pro green would say color alpin better special one experi personotherwis usual iphon 13progood camera screen promot 120hzand usual iphon performancecon heavi notch deeper previou exactli smaller",0.4926,positive
"                    The media could not be loaded.
                



 Amazing.",India,20-April-2022," media could loaded
 



amaz",-0.4717,negative
Battery life is average onlyNotification management is worstMany utility apps not available in appstorePhoto quality is bad in competitionVideo quality is goodLidar scanner is a gimmick. Only measure app makes use of it.Many videos from other phones don't run in iphone. Ios doesn't support codec which even 5k rs worth android supportsCan't Multi select contactsCan't search recentsCan't rename a photoStorage management is worstOverall it's an overpriced piece of ****,India,9-April-2022,batteri life averag onlynotif manag worstmani util app avail appstorephoto qualiti bad competitionvideo qualiti goodlidar scanner gimmick measur app make use itmani video phone dont run iphon io doesnt support codec even 5k rs worth android supportsc multi select contactsc search recentsc renam photostorag manag worstoveral overpr piec ,-0.5938,negative
"Why the hell there is so difference between 13 and 13 Pro? Like 13 (128gb) costs 80k and 13 Pro (128gb) directly costs 1.20L? There actually no major difference between them except the refresh rate, so for that you'll charging 40k extra? First of all after so so so long you'll upgrading your refresh rate from 60 to 90, infact there are phone's having 144 too, but you'll not letting normal people use 90 refresh rate, giving a price difference of 40k? Do you know how much that is for a common man? A person gives is years of saving to buy iPhone, and you'll charge 40k extra for just a refresh rate? Apple company would earn it's whole life but never die in peace, mark my words.",India,18-December-2021,hell differ 13 13 pro like 13 128gb cost 80k 13 pro 128gb directli cost 120l actual major differ except refresh rate youll charg 40k extra first long youll upgrad refresh rate 60 90 infact phone 144 youll let normal peopl use 90 refresh rate give price differ 40k know much common man person give year save buy iphon youll charg 40k extra refresh rate appl compani would earn whole life never die peac mark word,0.4318,positive
I didn't find any improvement over iPhone 12 pro. Rather clicking pic at portrait mode in 3x is a bigger headache as you can't pan the zoom and 3x is too tight for indoor photography. At this price point buying a heavy weapon is not recommended,India,3-December-2021,didnt find improv iphon 12 pro rather click pic portrait mode 3x bigger headach cant pan zoom 3x tight indoor photographi price point buy heavi weapon recommend,-0.6454,negative
"Apple provides the class as we all know. This one got good display , screen quality , processor and camera . I was expecting much more from battery part as i play games heavily and i am not very happy but just satisfied that apple can try to create better battery life .Only buy if you want to but not if you expect everything to be great .Edit : This phone heats up after 30-40 mins of heavy gaming like COD or MC5",India,3-December-2021,appl provid class know one got good display screen qualiti processor camera expect much batteri part play game heavili happi satisfi appl tri creat better batteri life buy want expect everyth great edit phone heat 3040 min heavi game like cod mc5,0.9686,positive
Just one day of use and the display stop responding went to Apple Support centre they sent that to Banagalore for display change. You don’t expect something like this when you pay such a high price for a phone. Highly disappointed,India,2-January-2022,one day use display stop respond went appl support centr sent banagalor display chang dont expect someth like pay high price phone highli disappoint,-0.2006,negative
"I have been Google pixel fan and have been Android user since last 8 years. I was looking for change and decided to buy iphone 13 pro silver. 256 GB is perfect storage we can go for. The screen clarity, cameras, features are awesome. Google is known for software wonders and apple for its hardware. Well thats true. This phone is totally pro. Silver color gives royal look.",India,31-October-2021,googl pixel fan android user sinc last 8 year look chang decid buy iphon 13 pro silver 256 gb perfect storag go screen clariti camera featur awesom googl known softwar wonder appl hardwar well that true phone total pro silver color give royal look,0.9493,positive
"Apple has turned pro this time and it’s my first pro purchase ever. 120hz feels insane and the cameras are out of this world. No camera can match apple as it leaves everything in the dust. The way I see photography is the simplicity. You should just be able to take out your phone , open the camera and click your best shot. Not depend on artificial 100X useless zoom or 108 megapixels, they don’t count at all. Sierra blue color is absolutely stunning!!!! This time, it’s worth the PRO!!! 💙",India,12-February-2022,appl turn pro time first pro purchas ever 120hz feel insan camera world camera match appl leav everyth dust way see photographi simplic abl take phone open camera click best shot depend artifici 100x useless zoom 108 megapixel dont count sierra blue color absolut stun time worth pro ,0.8253,positive
"Nice buy. Very costly, but high end built and premium feel. Addictive like other previous iPhone models.Excellent triple camera with LiDar. Face unlock works with spectacles and mask on.Battery lasts roughly one day. Fast charger (bought separately) charges battery to 100% in approximately 1.5 hours. Touch is super smooth- better than iphone 12, 11 & SE. Screen is also way way better than previous iphone models.Highly secure and has many useful features like OCR (text) from photos being one of them.Pricing is very high (almost double of that of iPhone 13), probably due to being completely imported.Overall a good phone if you have the budget for it.",India,18-December-2021,nice buy costli high end built premium feel addict like previou iphon modelsexcel tripl camera lidar face unlock work spectacl mask onbatteri last roughli one day fast charger bought separ charg batteri 100 approxim 15 hour touch super smooth better iphon 12 11 se screen also way way better previou iphon modelshighli secur mani use featur like ocr text photo one thempric high almost doubl iphon 13 probabl due complet importedoveral good phone budget,0.9844,positive
"                    The media could not be loaded.
                



 Apple alpine 13pro - Green ;)Would say this color (alpine) better then other specially if one experiences in person.Otherwise usual iPhone 13proGood- Camera, screen for it Promotion 120hzAnd usual iPhone performance.Con- heavy, notch is deeper then previous so not exactly smaller then before!",India,25-September-2021," media could loaded
 



appl alpin 13pro green would say color alpin better special one experi personotherwis usual iphon 13progood camera screen promot 120hzand usual iphon performancecon heavi notch deeper previou exactli smaller",0.4926,positive
"                    The media could not be loaded.
                



 Amazing.",India,20-April-2022," media could loaded
 



amaz",-0.4717,negative
Battery life is average onlyNotification management is worstMany utility apps not available in appstorePhoto quality is bad in competitionVideo quality is goodLidar scanner is a gimmick. Only measure app makes use of it.Many videos from other phones don't run in iphone. Ios doesn't support codec which even 5k rs worth android supportsCan't Multi select contactsCan't search recentsCan't rename a photoStorage management is worstOverall it's an overpriced piece of ****,India,9-April-2022,batteri life averag onlynotif manag worstmani util app avail appstorephoto qualiti bad competitionvideo qualiti goodlidar scanner gimmick measur app make use itmani video phone dont run iphon io doesnt support codec even 5k rs worth android supportsc multi select contactsc search recentsc renam photostorag manag worstoveral overpr piec ,-0.5938,negative
