reviews,country,date,cleaned_reviews,sentiment_score,review_category
"I am using apple products from a long time but this time it became very frustrating. Purchased a series 7 watch, was sent by Appario Retail, Gurgaon. Got the watch and I found battery is taking about 4 hours to charge from 10-100% and was draning very fast. it was not even giving me 9-10 hrs of backup even when I was Turing off all time on display, ECG, Heart rate and all other battery draining sensors. I called Amazon Customer support, they said, Sir you'll have to contact apple support team, we are not responsible of apple products. apple support team told me that as its a new product, I'll need to go to service centre, they will give me a letter stating its a damaged product and amazon will replace it. I again called amazon customer support and asked them if replacement is possible from amazon. they confirm the same. now apple service centre is about 200kms from my town, still I visited them and they had no idea what I was asking for. After a couple of calls to apple, they gave me a letter stating of faulty product. Submitted that to amazon. I asked them for refund but they refuced and after many calls and mails finally they agreed for replacement got a replaced watch after 15-20 days. now New watch was also having same problem, which is totally not acceptable from company like apple. Now again I called amazon and they said same thing again that I'll need to go to apple support and they can only help me. again same procedure, I travelled 200kms to apple service centre again they gave me the same letter. but this time when I called amazon to submit that letter, they said sir, you'll have to get another letter, which will be denial letter from amazon in which they should write Amazon will replace or refund it. Now this is very frustrating to me as service centre is very far from my place and I can't travel so much again and again.",India,12-December-2021,use appl product long time time becam frustrat purchas seri 7 watch sent appario retail gurgaon got watch found batteri take 4 hour charg 10100 drane fast even give 910 hr backup even ture time display ecg heart rate batteri drain sensor call amazon custom support said sir youll contact appl support team respons appl product appl support team told new product ill need go servic centr give letter state damag product amazon replac call amazon custom support ask replac possibl amazon confirm appl servic centr 200km town still visit idea ask coupl call appl gave letter state faulti product submit amazon ask refund refuc mani call mail final agre replac got replac watch 1520 day new watch also problem total accept compani like appl call amazon said thing ill need go appl support help procedur travel 200km appl servic centr gave letter time call amazon submit letter said sir youll get anoth letter denial letter amazon write amazon replac refund frustrat servic centr far place cant travel much,0.9575,positive
"Scratch on back side, product was refurbished/used and repacked. No assistance on product replacement.",India,20-February-2022,scratch back side product refurbishedus repack assist product replac,-0.296,negative
I waited and bought this watch for it's fast charging capability. It is charging 21% in 1 hour using Apple's 20w charger and the cable that comes in the box. Only after checking in some tech websites and youtube videos I came to know that Apple watch series 7 doesn't support fast charging in India. Get this from outside India if you are planning to buy. This is completely disappointing from Apple.,India,20-February-2022,wait bought watch fast charg capabl charg 21 1 hour use appl 20w charger cabl come box check tech websit youtub video came know appl watch seri 7 doesnt support fast charg india get outsid india plan buy complet disappoint appl,-0.6957,negative
"                    The media could not be loaded.
                



 Very fast battery drain, maximum one day and watch faces limited , cost is highMy recommendation to buy redmi band pro this is best deal 3k good amoled display and unlimited watch faces ,6 days battery life",India,13-November-2021," media could loaded
 



veri fast batteri drain maximum one day watch face limit cost highmi recommend buy redmi band pro best deal 3k good amol display unlimit watch face 6 day batteri life",0.7351,positive
This watch came to me without a band. Now I’m supposed to put this in my pocket and use?? I thought this is like a normal watch that can be worn on wrist. Amazon at least send me a chain so that I could hang it around my neck. Thank you Amazon for this amazing experience.,India,25-December-2021,watch came without band im suppos put pocket use thought like normal watch worn wrist amazon least send chain could hang around neck thank amazon amaz experi,0.8541,positive
"                    The media could not be loaded.
                



 I cannot expect this from apple , watch touch not working .it’s terrific ….even to charge it takes 3hours .  It’s a cheat after spending so much ,",India,23-March-2022," media could loaded
 



i cannot expect appl watch touch work terrif even charg take 3hour cheat spend much ",-0.6761,negative
The watch is great in itself does everything it says and well.But I don’t know what to do with it.I even see time in phone.I should not have bought it.,India,8-March-2022,watch great everyth say wellbut dont know iti even see time phonei bought,0.6249,positive
"                    The media could not be loaded.
                



 Replaced my Series 4 with the Series 7 and although the differences aren’t monumental, it is the best smart watch to track your workouts, sleep track. It's upto you to use best out of it.The screen 45mm does make a big difference in using text and reading notificationsI purchased 45mm GPS + Cellular bcoz I didn't want to carry my phone when going out for a run.Make sure to enquire about your cellular connectivity to watch. I have Vi carrier and needed post paid connection to create eSIM for cellular connectivity in series 7.It's a great watch series if you use it religiously",India,26-March-2022," media could loaded
 



replac seri 4 seri 7 although differ arent monument best smart watch track workout sleep track upto use best itth screen 45mm make big differ use text read notificationsi purchas 45mm gp cellular bcoz didnt want carri phone go runmak sure enquir cellular connect watch vi carrier need post paid connect creat esim cellular connect seri 7it great watch seri use religi",0.9606,positive
"                    The media could not be loaded.
                



 It’s superb quality and waterproof- super - must buy - see my videos reviews",India,12-December-2021," media could loaded
 



it superb qualiti waterproof super must buy see video review",0.8402,positive
"                    The media could not be loaded.
                



 The apple watch box is open & damaged badly which raise concerns on authenticity of product. While raising return request. Portal didn't showing return request is acknowledged.Later on Amazon refused refund & suggested approached Apple Care for authenticity of watch.Apple care confirm that watch 4 months old & warrant left is just 8 months.Post all legal facts Amazon accepts refund.Suggest to dont buy Apple Buy Products online.",India,30-November-2021," media could loaded
 



the appl watch box open damag badli rais concern authent product rais return request portal didnt show return request acknowledgedlat amazon refus refund suggest approach appl care authent watchappl care confirm watch 4 month old warrant left 8 monthspost legal fact amazon accept refundsuggest dont buy appl buy product onlin",0.5267,positive
"I am using apple products from a long time but this time it became very frustrating. Purchased a series 7 watch, was sent by Appario Retail, Gurgaon. Got the watch and I found battery is taking about 4 hours to charge from 10-100% and was draning very fast. it was not even giving me 9-10 hrs of backup even when I was Turing off all time on display, ECG, Heart rate and all other battery draining sensors. I called Amazon Customer support, they said, Sir you'll have to contact apple support team, we are not responsible of apple products. apple support team told me that as its a new product, I'll need to go to service centre, they will give me a letter stating its a damaged product and amazon will replace it. I again called amazon customer support and asked them if replacement is possible from amazon. they confirm the same. now apple service centre is about 200kms from my town, still I visited them and they had no idea what I was asking for. After a couple of calls to apple, they gave me a letter stating of faulty product. Submitted that to amazon. I asked them for refund but they refuced and after many calls and mails finally they agreed for replacement got a replaced watch after 15-20 days. now New watch was also having same problem, which is totally not acceptable from company like apple. Now again I called amazon and they said same thing again that I'll need to go to apple support and they can only help me. again same procedure, I travelled 200kms to apple service centre again they gave me the same letter. but this time when I called amazon to submit that letter, they said sir, you'll have to get another letter, which will be denial letter from amazon in which they should write Amazon will replace or refund it. Now this is very frustrating to me as service centre is very far from my place and I can't travel so much again and again.",India,12-December-2021,use appl product long time time becam frustrat purchas seri 7 watch sent appario retail gurgaon got watch found batteri take 4 hour charg 10100 drane fast even give 910 hr backup even ture time display ecg heart rate batteri drain sensor call amazon custom support said sir youll contact appl support team respons appl product appl support team told new product ill need go servic centr give letter state damag product amazon replac call amazon custom support ask replac possibl amazon confirm appl servic centr 200km town still visit idea ask coupl call appl gave letter state faulti product submit amazon ask refund refuc mani call mail final agre replac got replac watch 1520 day new watch also problem total accept compani like appl call amazon said thing ill need go appl support help procedur travel 200km appl servic centr gave letter time call amazon submit letter said sir youll get anoth letter denial letter amazon write amazon replac refund frustrat servic centr far place cant travel much,0.9575,positive
"Scratch on back side, product was refurbished/used and repacked. No assistance on product replacement.",India,20-February-2022,scratch back side product refurbishedus repack assist product replac,-0.296,negative
I waited and bought this watch for it's fast charging capability. It is charging 21% in 1 hour using Apple's 20w charger and the cable that comes in the box. Only after checking in some tech websites and youtube videos I came to know that Apple watch series 7 doesn't support fast charging in India. Get this from outside India if you are planning to buy. This is completely disappointing from Apple.,India,20-February-2022,wait bought watch fast charg capabl charg 21 1 hour use appl 20w charger cabl come box check tech websit youtub video came know appl watch seri 7 doesnt support fast charg india get outsid india plan buy complet disappoint appl,-0.6957,negative
"                    The media could not be loaded.
                



 Very fast battery drain, maximum one day and watch faces limited , cost is highMy recommendation to buy redmi band pro this is best deal 3k good amoled display and unlimited watch faces ,6 days battery life",India,13-November-2021," media could loaded
 



veri fast batteri drain maximum one day watch face limit cost highmi recommend buy redmi band pro best deal 3k good amol display unlimit watch face 6 day batteri life",0.7351,positive
This watch came to me without a band. Now I’m supposed to put this in my pocket and use?? I thought this is like a normal watch that can be worn on wrist. Amazon at least send me a chain so that I could hang it around my neck. Thank you Amazon for this amazing experience.,India,25-December-2021,watch came without band im suppos put pocket use thought like normal watch worn wrist amazon least send chain could hang around neck thank amazon amaz experi,0.8541,positive
"                    The media could not be loaded.
                



 I cannot expect this from apple , watch touch not working .it’s terrific ….even to charge it takes 3hours .  It’s a cheat after spending so much ,",India,23-March-2022," media could loaded
 



i cannot expect appl watch touch work terrif even charg take 3hour cheat spend much ",-0.6761,negative
The watch is great in itself does everything it says and well.But I don’t know what to do with it.I even see time in phone.I should not have bought it.,India,8-March-2022,watch great everyth say wellbut dont know iti even see time phonei bought,0.6249,positive
"                    The media could not be loaded.
                



 Replaced my Series 4 with the Series 7 and although the differences aren’t monumental, it is the best smart watch to track your workouts, sleep track. It's upto you to use best out of it.The screen 45mm does make a big difference in using text and reading notificationsI purchased 45mm GPS + Cellular bcoz I didn't want to carry my phone when going out for a run.Make sure to enquire about your cellular connectivity to watch. I have Vi carrier and needed post paid connection to create eSIM for cellular connectivity in series 7.It's a great watch series if you use it religiously",India,26-March-2022," media could loaded
 



replac seri 4 seri 7 although differ arent monument best smart watch track workout sleep track upto use best itth screen 45mm make big differ use text read notificationsi purchas 45mm gp cellular bcoz didnt want carri phone go runmak sure enquir cellular connect watch vi carrier need post paid connect creat esim cellular connect seri 7it great watch seri use religi",0.9606,positive
"                    The media could not be loaded.
                



 It’s superb quality and waterproof- super - must buy - see my videos reviews",India,12-December-2021," media could loaded
 



it superb qualiti waterproof super must buy see video review",0.8402,positive
