reviews,country,date,cleaned_reviews,sentiment_score,review_category
"I ordered this Yesterday ,18th July and received today on 19th July. But when I checked the packaging details , I was puzzled and confused because the ""Manufacturing and Import Month and Year says"" ""AUGUST 2021"".IS IT EVEN GENUINE PRODUCT OR JUST A COPY!?The pairing is quite fast.The quality of the charging case is substandard and Cheap.Sound is just OK.",India,20-July-2021,order yesterday 18th juli receiv today 19th juli check packag detail puzzl confus manufactur import month year say august 2021i even genuin product copyth pair quit fastth qualiti charg case substandard cheapsound ok,-0.6476,negative
Pros:1. As soon as you open the case it connects2. Does not get discharged quickly3. Touch control4. You can use either budsCons:1. Does not noise cancelation so can't talk on call2. Quite okayish bassIt's worth it's money,India,19-July-2021,pros1 soon open case connects2 get discharg quickly3 touch control4 use either budscons1 nois cancel cant talk call2 quit okayish bassit worth money,0.2878,positive
"                    The media could not be loaded.
                ",India,19-July-2021," media could loaded
 ",0.0,neutral
"My review is a little bit long(sorry!) but I have shared my genuine experience after 7 days of use, it will help you decide whether you want to have these or not:Review [Day 3] (read review on last day of return below this):I loved these airdopes, tested it's batteries after 5 days of use, there doesn't seem to be any problem till now (as most of the reviews had problem related to charging and battery backup.)I am a casual user, music listener and video watcher, so for me it is simply the best.I previously encountered electrical interference in latest launched earbuds which is not at all present in these.Also, the feel of having these in ears is really soft, I used them throughout the day and they were great.Now, bass is quite down in these, also with 8 mm driver it is not that good with low frequency sounds. But it's just a minor loss nothing serious.At 999/- It can assure you BoAt service for a year and also great Battery backup.Earbuds : 5:30 hrCase : 5 times chargedNot 42 hours but around 30-32 hours overall.Not fit to enjoy gaming for hardcore gamers but great for casual gaming.ENC is present but I would say it is very light or rather negligible.Range is 5-7 m (with walls in between.)I charged it @ 10% battery first time, but will try to charge @ 30% or above from now to increase charging cycles. I was confused when to charge them, but apparently it's better to charge them as soon as you don't need them to have a good battery life, also avoid going below 10%.Right now with so many variants out there I believe if you do have a need of earbuds for normal use, these are the best.And one more thing don't forget to check whether the airdopes come to you with plastic sealed box or not. If they are not sealed in plastic then there is high chance of these being a returned product, which may or may not be as good as the one right out of the factory product.[Day 7 with some problems resolved]#Prob 1:The sound abruptly reduced, what I was getting earlier at 40% volume level now became 100% volume level.Prob #2:Also, the pair is not connecting as it should i.e. on opening the caseNow I am deciding to return the product as it is the last day, but suddenly I remembered: The Troubleshooting manual, and tried the following:Solution#:Unpair from the Bluetooth and pair again (even reset it if you want but first unpair it.)Do this 👆👆👆👆 and most probably the disconnecting one side bud or bad volume level will be reset and hopefully will become the same as when we received.Note: But there is this issue of it getting functioning faulty and that when I thoroughly took care of it, never dropped it, softly handled it, charged above 40% etc. So technically these airdopes are not perfected for long use, you may notice some misbehaviour from time to time, but most probably the problem can be reset. So do decide whether to purchase these or not knowing this!I hope it helps you, as I was finding this kind of review before purchase but there were none!This is purely based on my review after I was irritated with some ENC variants of Rs 1500-2000 range. Due to their ENC feature, I noticed electrical interference/buzzing noise.I am keeping it finally as it has at least no buzzing or irritating noise, comes from a known brand at a low budget.Update (After 3 months): This pair is still working fine. I have noticed the battery is not that better as it was initially but it is enough for 3-5 time charge (not from 0% but randomly after each use, generally from 30-50%). They will easily last you at least a day with the charging case in one charge. (Remember one day is the least, if you don't use it like crazy they can even last 2 days). I have noticed though for me using them for long does generate pain in ears (by long I mean for about 4-5 hours straight, I use them while studying to cutoff outside noises, which they perfectly do for me.) Hope it helps to share it's update over a period of use. I always look for such reviews but nobody writes so I thought let it be me only😇!",India,20-July-2021,review littl bit longsorri share genuin experi 7 day use help decid whether want notreview day 3 read review last day return thisi love airdop test batteri 5 day use doesnt seem problem till review problem relat charg batteri backupi casual user music listen video watcher simpli besti previous encount electr interfer latest launch earbud present thesealso feel ear realli soft use throughout day greatnow bass quit also 8 mm driver good low frequenc sound minor loss noth seriousat 999 assur boat servic year also great batteri backupearbud 530 hrcase 5 time chargednot 42 hour around 3032 hour overallnot fit enjoy game hardcor gamer great casual gamingenc present would say light rather negligiblerang 57 wall betweeni charg 10 batteri first time tri charg 30 increas charg cycl confus charg appar better charg soon dont need good batteri life also avoid go 10right mani variant believ need earbud normal use bestand one thing dont forget check whether airdop come plastic seal box seal plastic high chanc return product may may good one right factori productday 7 problem resolvedprob 1the sound abruptli reduc get earlier 40 volum level becam 100 volum levelprob 2also pair connect ie open casenow decid return product last day suddenli rememb troubleshoot manual tri followingsolutionunpair bluetooth pair even reset want first unpair itdo probabl disconnect one side bud bad volum level reset hope becom receivednot issu get function faulti thoroughli took care never drop softli handl charg 40 etc technic airdop perfect long use may notic misbehaviour time time probabl problem reset decid whether purchas know thisi hope help find kind review purchas nonethi pure base review irrit enc variant rs 15002000 rang due enc featur notic electr interferencebuzz noisei keep final least buzz irrit nois come known brand low budgetupd 3 month pair still work fine notic batteri better initi enough 35 time charg 0 randomli use gener 3050 easili last least day charg case one charg rememb one day least dont use like crazi even last 2 day notic though use long gener pain ear long mean 45 hour straight use studi cutoff outsid nois perfectli hope help share updat period use alway look review nobodi write thought let,0.9849,positive
I don't know what to say. I bought it a week ago and one of the airdopes not working. I have been saving money to buy it and now i realise it's not worth it..I feel like going in past and change my decision of buying it.. Isse accha toh sasta Wale Hain ...itne jaldi kharab toh nhi hote. Aise bhi zindagi kharab ho rakhi Hain....aadmi thoda apna mood thik karne ke liye ganaa sunega par yahan toh yeh kaam hi nhi kar raha ...bahut bura lagta hain... frustration hoti hain...Boat ka sirf naam bada hain aur darshan chota hain..Ab batao what to do with these airdopes? Kya karoon ??? Paise toh mere doobe naa bekar ka...I don't even know ki company Wale review padhenge ki nahi 🙂🙂🙂 if the customer service reads this just one thing to say these airdopes suck . Thank you!!,India,20-July-2021,dont know say bought week ago one airdop work save money buy realis worth iti feel like go past chang decis buy iss accha toh sasta wale hain itn jaldi kharab toh nhi hote ais bhi zindagi kharab ho rakhi hainaadmi thoda apna mood thik karn ke liy ganaa sunega par yahan toh yeh kaam hi nhi kar raha bahut bura lagta hain frustrat hoti hainboat ka sirf naam bada hain aur darshan chota hainab batao airdop kya karoon pais toh mere doob naa bekar kai dont even know ki compani wale review padheng ki nahi custom servic read one thing say airdop suck thank,0.7905,positive
Purchase date is 26jul2021Month and year of import is august2021,India,19-January-2022,purchas date 26jul2021month year import august2021,0.0,neutral
"Honestly what else can you ask for in a tws at  Rs.999? I am honestly perplexed to see a lot of people rating something like this 3 stars. It has a USB C port which charges at 5V 2A,it connects to bluetooth super fast and not to mention it comes with a 1 year boat warranty. What else do you even want? Noise cancellation? Game mode? At 999? Come on. The plastic top snaps super hard owing to the great magnets in this case, which is why the case top feels flimsy at times. At medium/low sound I only drained around 20% of the battery in 1 and a half hours of playing music from spotify. Obstructions distort the earphones though but that is to be expected with all earphones. Coming to sound, the fact that it even outputs sound which is audible is good enough for me.  Passive noise cancellation works super well if you are playing music and walking on the street. You won't be hearing a lot of traffic. You are not making a mistake buying something like this at 999.",India,23-January-2022,honestli els ask tw rs999 honestli perplex see lot peopl rate someth like 3 star usb c port charg 5v 2ait connect bluetooth super fast mention come 1 year boat warranti els even want nois cancel game mode 999 come plastic top snap super hard owe great magnet case case top feel flimsi time mediumlow sound drain around 20 batteri 1 half hour play music spotifi obstruct distort earphon though expect earphon come sound fact even output sound audibl good enough passiv nois cancel work super well play music walk street wont hear lot traffic make mistak buy someth like 999,0.9845,positive
"                    The media could not be loaded.
                



 The boat airdopes 141 can not make us a satisfactory experience.For the rating of the individual segment given below.Sound quality- 4.5/5Bass quality- 4.5/5For the calling purposes- 1.5/5Noise cancellation- 1.8/5Battery backup- 5/5Charging speed- 5/5Touch response- 4.5/5Build quality- 3.9/5",India,26-July-2021," media could loaded
 



the boat airdop 141 make us satisfactori experiencefor rate individu segment given belowsound qualiti 455bass qualiti 455for call purpos 155nois cancel 185batteri backup 55charg speed 55touch respons 455build qualiti 395",0.3612,positive
"Airdopes are amazing ❤️. I bought one airdopes of Boat. But I'm going to buy two more quantity of same airdope 141. Product is superb & I'm in love with this airdopes. I am using headphone of skull candy but sound what I get in this Boat airdope 141 is much better than skull candy's headphone 🎧. Kindly buy this airdopes with blind eyes as this is fantastic product. Lots of people has posted negative reviews, kindly ignore them. I liked the design most. Due to it's amazing design, product will never fall from ears. It fits very well in ear, we can run, play while listening music in airdopes. I will suggest to buy it if you need a amazing airdopes. This is my 1st Boat product but I'll buy more boat products from now on. This is an amazing airdope.",India,1-August-2021,airdop amaz bought one airdop boat im go buy two quantiti airdop 141 product superb im love airdop use headphon skull candi sound get boat airdop 141 much better skull candi headphon kindli buy airdop blind eye fantast product lot peopl post neg review kindli ignor like design due amaz design product never fall ear fit well ear run play listen music airdop suggest buy need amaz airdop 1st boat product ill buy boat product amaz airdop,0.9934,positive
I don’t know why boat products has so much of hype. I may agree that boat products are economical good buy. But if you talk about there life it’s very short same as unknown Chinese  brands.I won’t be going to share my whole experience of boat products As it will be too long but all I can say the life of boat products is not good.They may are attractive because of their valuations and I also agree that they have one year of product warranty but what is the purpose of buying it when it is getting damaged within a month or week and you are going to service centre  or registering  complain online than checking the status.If you are lucky you make get a product which may work longer but I think out of 10 four people will receive a product which don’t have a good life.,India,22-November-2021,dont know boat product much hype may agre boat product econom good buy talk life short unknown chines brandsi wont go share whole experi boat product long say life boat product goodthey may attract valuat also agre one year product warranti purpos buy get damag within month week go servic centr regist complain onlin check statusif lucki make get product may work longer think 10 four peopl receiv product dont good life,0.9194,positive
