reviews,country,date,cleaned_reviews,sentiment_score,review_category
"The audio quality is not good as compared to boat airpods 141, and Calling quality is also very bad to much of noise and overall not a good product from boat",India,20-January-2022,audio qualiti good compar boat airpod 141 call qualiti also bad much nois overal good product boat,-0.8227,negative
"IMPORTANT: Please ignore the rant that the Airdopes 141 is better than this. Well, it is not. This Airdopes 181 will be an absolute treat to your ears. There is zero distortion in sound with mids, highs and lows proper sounding. Boomy bass and crystal clear loud music. It also supports AAC codec which means HD quality music. Calling is good too. This is a blind buy. No worries.",India,17-January-2022,import pleas ignor rant airdop 141 better well airdop 181 absolut treat ear zero distort sound mid high low proper sound boomi bass crystal clear loud music also support aac codec mean hd qualiti music call good blind buy worri,0.9093,positive
Loved the Design and worth in this price Range ..bass is punchy ..will share more after using it for long,India,17-January-2022,love design worth price rang bass punchi share use long,0.7906,positive
Only look goodSound queilty okEnx technology very very badBeas mode normalYe boat wale chutiya bana rahe hsi enx technology ke naam parDon't buy guys,India,20-January-2022,look goodsound queilti okenx technolog badbea mode normaly boat wale chutiya bana rahe hsi enx technolog ke naam pardont buy guy,0.0,neutral
"Honest Review: I'm a music lover, but seriously I was so disappointed with this earphone that I returned it within 24 hrs. The issue which I faced is the loudness of the airdopes, At full volume i wasn't getting that much of sound when I hear a wired boat earphones on same song. And second point would be ""Calling"", that is poor. And the touch sensor responses late take 2-3 seconds to respond for changing music or for pause/play. Better would be ""Realme Buds Air 2"", my brother uses that, i have used that airdopes and it's loudness is very good & calling is extremely good. But i found that bass is ok ok, but bass can be increased using Realme app, my bro said. The price is High upto 3k+, but it's worth.",India,16-January-2022,honest review im music lover serious disappoint earphon return within 24 hr issu face loud airdop full volum wasnt get much sound hear wire boat earphon song second point would call poor touch sensor respons late take 23 second respond chang music pauseplay better would realm bud air 2 brother use use airdop loud good call extrem good found bass ok ok bass increas use realm app bro said price high upto 3k worth,0.902,positive
"Happy with these airdopesPros:* Looks very stylish both the case and buds* Smallest case I have ever seen* Sound is decent* Very light and ergonomic, can wear for long* Decent battery back* Call quality is good and passive noise cancellation is decent* Pairs in 2-3 secondsCons:* Hyper sensitive touch* No ANC* No volume control* Beast mode deactivation is not flagged",India,22-January-2022,happi airdopespro look stylish case bud smallest case ever seen sound decent light ergonom wear long decent batteri back call qualiti good passiv nois cancel decent pair 23 secondscon hyper sensit touch anc volum control beast mode deactiv flag,0.7957,positive
This earbuds are pretty good in sound and also the design of is soo comfortable.This gives immersive sound and having two modes(beast mode) which can be switch by touch.There is one touch voice assistant feature.And the battery backup is also good you will get 90minutes for only 10minutes charging.I love that blue colour and the compact design boAt Airdopes 181 looks premium,India,30-January-2022,earbud pretti good sound also design soo comfortablethi give immers sound two modesbeast mode switch touchther one touch voic assist featureand batteri backup also good get 90minut 10minut chargingi love blue colour compact design boat airdop 181 look premium,0.9217,positive
Sound quality is very bad. Like as Rs 40 Local headphone. Very bad sound quality.,India,20-January-2022,sound qualiti bad like rs 40 local headphon bad sound qualiti,-0.7011,negative
"                    The media could not be loaded.
                



 It has a good battery life, nice sound, great qualityThank you ☺️💝 Amazon",India,26-January-2022," media could loaded
 



it good batteri life nice sound great qualitythank amazon",0.9565,positive
"I would be mainly comparing it to Boat 141 Airdopes since I have both of them1) Connectivity Range is Excellent. It is double the range of 1412) Sound Volume is a bit lower than 141 but in my POV, it's good because guys, hearing at such high volume is really bad for your hearing3) The button is a bit up in the control stick & so, if you move the dope a little bit in your ear, the song is paused because of it which is really disturbing4) Overall good experience, since I bought it @ 1,199/- only During sale and 141 I had bought @ 1,399/-EDIT: After more than 10 days of usage, the Earbuds are not working properlyThey are not switched on even after taking out  of the case. I have to manually switch on themWorst product ever purchased",India,19-January-2022,would mainli compar boat 141 airdop sinc them1 connect rang excel doubl rang 1412 sound volum bit lower 141 pov good guy hear high volum realli bad hearing3 button bit control stick move dope littl bit ear song paus realli disturbing4 overal good experi sinc bought 1199 sale 141 bought 1399edit 10 day usag earbud work properlythey switch even take case manual switch themworst product ever purchas,0.5656,positive
"The audio quality is not good as compared to boat airpods 141, and Calling quality is also very bad to much of noise and overall not a good product from boat",India,20-January-2022,audio qualiti good compar boat airpod 141 call qualiti also bad much nois overal good product boat,-0.8227,negative
"IMPORTANT: Please ignore the rant that the Airdopes 141 is better than this. Well, it is not. This Airdopes 181 will be an absolute treat to your ears. There is zero distortion in sound with mids, highs and lows proper sounding. Boomy bass and crystal clear loud music. It also supports AAC codec which means HD quality music. Calling is good too. This is a blind buy. No worries.",India,17-January-2022,import pleas ignor rant airdop 141 better well airdop 181 absolut treat ear zero distort sound mid high low proper sound boomi bass crystal clear loud music also support aac codec mean hd qualiti music call good blind buy worri,0.9093,positive
Loved the Design and worth in this price Range ..bass is punchy ..will share more after using it for long,India,17-January-2022,love design worth price rang bass punchi share use long,0.7906,positive
Only look goodSound queilty okEnx technology very very badBeas mode normalYe boat wale chutiya bana rahe hsi enx technology ke naam parDon't buy guys,India,20-January-2022,look goodsound queilti okenx technolog badbea mode normaly boat wale chutiya bana rahe hsi enx technolog ke naam pardont buy guy,0.0,neutral
"Honest Review: I'm a music lover, but seriously I was so disappointed with this earphone that I returned it within 24 hrs. The issue which I faced is the loudness of the airdopes, At full volume i wasn't getting that much of sound when I hear a wired boat earphones on same song. And second point would be ""Calling"", that is poor. And the touch sensor responses late take 2-3 seconds to respond for changing music or for pause/play. Better would be ""Realme Buds Air 2"", my brother uses that, i have used that airdopes and it's loudness is very good & calling is extremely good. But i found that bass is ok ok, but bass can be increased using Realme app, my bro said. The price is High upto 3k+, but it's worth.",India,16-January-2022,honest review im music lover serious disappoint earphon return within 24 hr issu face loud airdop full volum wasnt get much sound hear wire boat earphon song second point would call poor touch sensor respons late take 23 second respond chang music pauseplay better would realm bud air 2 brother use use airdop loud good call extrem good found bass ok ok bass increas use realm app bro said price high upto 3k worth,0.902,positive
"Happy with these airdopesPros:* Looks very stylish both the case and buds* Smallest case I have ever seen* Sound is decent* Very light and ergonomic, can wear for long* Decent battery back* Call quality is good and passive noise cancellation is decent* Pairs in 2-3 secondsCons:* Hyper sensitive touch* No ANC* No volume control* Beast mode deactivation is not flagged",India,22-January-2022,happi airdopespro look stylish case bud smallest case ever seen sound decent light ergonom wear long decent batteri back call qualiti good passiv nois cancel decent pair 23 secondscon hyper sensit touch anc volum control beast mode deactiv flag,0.7957,positive
This earbuds are pretty good in sound and also the design of is soo comfortable.This gives immersive sound and having two modes(beast mode) which can be switch by touch.There is one touch voice assistant feature.And the battery backup is also good you will get 90minutes for only 10minutes charging.I love that blue colour and the compact design boAt Airdopes 181 looks premium,India,30-January-2022,earbud pretti good sound also design soo comfortablethi give immers sound two modesbeast mode switch touchther one touch voic assist featureand batteri backup also good get 90minut 10minut chargingi love blue colour compact design boat airdop 181 look premium,0.9217,positive
Sound quality is very bad. Like as Rs 40 Local headphone. Very bad sound quality.,India,20-January-2022,sound qualiti bad like rs 40 local headphon bad sound qualiti,-0.7011,negative
"                    The media could not be loaded.
                



 It has a good battery life, nice sound, great qualityThank you ☺️💝 Amazon",India,26-January-2022," media could loaded
 



it good batteri life nice sound great qualitythank amazon",0.9565,positive
