reviews,country,date,cleaned_reviews,sentiment_score,review_category
"Sound Quality is Impressive. Nothing to complain about.The carrying case can charge the earbuds upto  3 times to a full chargeI use a single earbud at a time, because I mostly use it for phone conversations.Perfect fit inside a helmet while riding a bike.But i do enjoy the stereo quality at times.Excellent price for triple nine.Better than expected.Finally a functional product that will use.Edit: Right Earbud stopped functioning after 2 months. Now left earbud also stopped functioning after 3 months.Will edit review with warranty feedback.",India,22-October-2020,sound qualiti impress noth complain aboutth carri case charg earbud upto 3 time full chargei use singl earbud time mostli use phone conversationsperfect fit insid helmet ride bikebut enjoy stereo qualiti timesexcel price tripl ninebett expectedfin function product useedit right earbud stop function 2 month left earbud also stop function 3 monthswil edit review warranti feedback,0.8079,positive
"Don't hear what haters say, still best2 months usage  review Product is awesome ,ProsTotally premium look for budget 999/-Fit to ears if smaller rubbers fittedCase is very small and good fit for budsBuds are light weightBass is 8/10Sound  9/10Sound effect 7/10Mic 7/10Battery 6.5/10ConsThe Case ,charge indicator glass was broken when I got the product , that was sad but no issuesThere are better good buds if u spend more money",India,29-October-2020,dont hear hater say still best2 month usag review product awesom prostot premium look budget 999fit ear smaller rubber fittedcas small good fit budsbud light weightbass 810sound 910sound effect 710mic 710batteri 6510consth case charg indic glass broken got product sad issuesther better good bud u spend money,0.84,positive
Though I got the product at discounted price but quality is compromised. The cap of Charging case was very loose.,India,29-October-2020,though got product discount price qualiti compromis cap charg case loos,-0.5089,negative
"Honestly this product is not Good. Return & Replaced product also same behaviour.1) Poor pairing & Connective - if u move 4 or 5 meter away from phone bluetooth pairing get disconnected.2) Sound - Look like 100rs headphone sound.3) During Phone Call: Voice not clear and voice break, echoing during ms team meeting call4) Appario Retail Private Ltd: Distribution cheap quality, no Quality check. (Recently I order one mobile - Stop working in one month and I spend 3000rs to repair, one airpod - Completely dead with in 2 month). Totally waste of money when we ordered in Amazon.4) Only Good thing is battery life is Good as per specification.",India,22-October-2020,honestli product good return replac product also behaviour1 poor pair connect u move 4 5 meter away phone bluetooth pair get disconnected2 sound look like 100r headphon sound3 phone call voic clear voic break echo ms team meet call4 appario retail privat ltd distribut cheap qualiti qualiti check recent order one mobil stop work one month spend 3000r repair one airpod complet dead 2 month total wast money order amazon4 good thing batteri life good per specif,-0.8164,negative
एक पीस खराब हो गया है एक हिस्सा ही काम कर रहा है उसे भी कनेक्ट करने में समस्या आती हैंफोन पर बात करते समय दूसरा व्यक्ति समझ ही नही पाता कि में क्या बोल रहा हूँ उसे किलियर साउंड पहोच ही नही पाता .....अपने जीवन में मैने कभी इतना ज्यादा घटिया प्रोडक्ट नही देखा  बरेली जैसे बड़े शहर मेंसर्विस सेंटर का अता पता नही है कस्टमर केयर वाले फोन नही उठाते मेरे पूरे पैसे पानी मैं चले गए इससे अच्छा एक 40 रुपये वाला ईयर फोन खरीद लेता वह इससे बेहतर काम करता  वैसे में कभी किसी प्रोडक्ट की समीक्षा नही करता लेकिन इस उपकरण के इतने घटिया पर्दशन के चलते मुझेयह समीक्षा करनी पड़ी ..........!,India,19-October-2020, 40 ,0.0,neutral
"Nice bluetooth earphones at this range ""but"" Amazon really tricked me this time. I got my earphones on 3rd of December and within 10 days my left bud stopped working and when I tried to return it, it shows I can't return it now. How in the hell do you have return policy of less than 14 days? Are you kidding me?I got this for my online classes but damn all I got was to get tricked. ₹ 1300 bucks wastwd. I registered a complaint on boat website so it must be fine no. All I want to say is your return policy sucks. Y'all are doing the customers dirty.",India,5-November-2020,nice bluetooth earphon rang amazon realli trick time got earphon 3rd decemb within 10 day left bud stop work tri return show cant return hell return polici less 14 day kid mei got onlin class damn got get trick 1300 buck wastwd regist complaint boat websit must fine want say return polici suck yall custom dirti,-0.9666,negative
"Edit - one earphone stopped working. Thank fully the return window is still open. Do not purchase - 100% refurbished product.The product was delivered as a refurbished piece.Not a brand new piece.How do I know? The left headphones was loosely set up, the button wasn’t in motion VS the right headphones which were crisp.",India,26-June-2021,edit one earphon stop work thank fulli return window still open purchas 100 refurbish productth product deliv refurbish piecenot brand new piecehow know left headphon loos set button wasnt motion vs right headphon crisp,0.1531,positive
"I bought these in the great indian sale for ₹999TLDR;- Good sound and mic- Comfortable- Good quality- Decent battery life- Value for moneyFull review:- Firstly, the build quality. It feels sturdy and has magnets for the lid as well as the buds themselves. The case also has a satisfying click when closed :)- The buds are very lightweight and fit comfortably in the ears.- As soon as you pull out a bud from the case, it will get connected if you've paired with a device. As soon as you put it back in the case it'll disconnect. The magnet is strong and doesn't open when dropped :p- Sound quality is excellent for the price. If you connect with a device and the sound quality is bad or breaking, try closing any tabs/apps using the mic. Bluetooth headsets loose quality when mic is being used.- The percent displayed on the case is beautiful. Also very useful to know how much charge is left in the case. The charge left on the buds can be check on the paired device- The device works in mono or stereo, depending on how many buds are outside the case.- The box was sealed with shrinkwrap as well as two plastic seals, one on either sides.- There is one clickable button on each bud, which multifunctions as play/pause, accept calls, google assistant trugger, turn on/off, and reset settings- The mic quality is apparantly good as well, based on my conversation with a friend- With low to moderate usage these have lasted over 3 days now, with 100% on the buds and 20% on the case- BoAt also seems to have good after sales support. One of friends had had his headphones replaced a few times. And they have physical service centers available.All in all these buds are a bang for your buck10/10 would buy again",India,14-December-2020,bought great indian sale 999tldr good sound mic comfort good qualiti decent batteri life valu moneyful review firstli build qualiti feel sturdi magnet lid well bud case also satisfi click close bud lightweight fit comfort ear soon pull bud case get connect youv pair devic soon put back case itll disconnect magnet strong doesnt open drop p sound qualiti excel price connect devic sound qualiti bad break tri close tabsapp use mic bluetooth headset loos qualiti mic use percent display case beauti also use know much charg left case charg left bud check pair devic devic work mono stereo depend mani bud outsid case box seal shrinkwrap well two plastic seal one either side one clickabl button bud multifunct playpaus accept call googl assist trugger turn onoff reset set mic qualiti apparantli good well base convers friend low moder usag last 3 day 100 bud 20 case boat also seem good sale support one friend headphon replac time physic servic center availableal bud bang buck1010 would buy,0.9943,positive
"worth for the money ,I bought it for 999.",India,4-November-2020,worth money bought 999,0.2263,positive
Worst call experienceBut for use media sound quality is good,India,6-November-2020,worst call experiencebut use media sound qualiti good,-0.296,negative
