reviews,country,date,cleaned_reviews,sentiment_score,review_category
Best product ever taas zindabaad use code anshul to unacademy and join ca foundation intermediate with him and best book ever,India,26-June-2022,best product ever taa zindabaad use code anshul unacademi join ca foundat intermedi best book ever,0.891,positive
I would like to thank you sir for making books available for exam and also we will work hard and get the success.....I am also very proud to student of Ekagrata 1.0 batch❤️❤️☺️☺️👍👍🥰🥰,India,17-July-2022,would like thank sir make book avail exam also work hard get successi also proud student ekagrata 10 batch,0.981,positive
No words to express...this book is really great.. Anshul Sir we all students love you always ❤️❤️❤️,India,14-July-2022,word expressthi book realli great anshul sir student love alway ,0.8122,positive
"                    The media could not be loaded.
                



 Books are best...if anyone wants to clear ca then anshul sir is the king..",India,18-July-2022," media could loaded
 



book bestif anyon want clear ca anshul sir king",0.3818,positive
"Best book in ca foundation,paper Quality is very good,book is value for money,best book ever",India,18-July-2022,best book ca foundationpap qualiti goodbook valu moneybest book ever,0.7823,positive
"                    The media could not be loaded.
                



 Best book , thanks for hard copy sir❤️",India,15-July-2022," media could loaded
 



best book thank hard copi sir",-0.2187,negative
Thank you so much sir for this amazing books mean's a lot,India,23-July-2022,thank much sir amaz book mean lot,0.7906,positive
"BEST NOTES BY CA CS ANSHUL SIR FOR CA FOUNDATION PAPER-1 (ACCOUNTS) , THANK YOU SIR FOR HARD COPY 😇 ..",India,27-June-2022,best note ca cs anshul sir ca foundat paper1 account thank sir hard copi ,0.876,positive
this is a really awesome accounts book for CA foundation student by CA CS Anshul Aggarwal. Thanks sir for this hardcopy use code- ANSHUL ON UNACADEMY APP FOR MAXIMUM DISCOUNT,India,27-June-2022,realli awesom account book ca foundat student ca cs anshul aggarw thank sir hardcopi use code anshul unacademi app maximum discount,0.807,positive
Best book ever seen of accounting thanks for availing hard copy of your book thanks sir 😍I really admire you,India,27-June-2022,best book ever seen account thank avail hard copi book thank sir realli admir,0.9432,positive
Best product ever taas zindabaad use code anshul to unacademy and join ca foundation intermediate with him and best book ever,India,26-June-2022,best product ever taa zindabaad use code anshul unacademi join ca foundat intermedi best book ever,0.891,positive
I would like to thank you sir for making books available for exam and also we will work hard and get the success.....I am also very proud to student of Ekagrata 1.0 batch❤️❤️☺️☺️👍👍🥰🥰,India,17-July-2022,would like thank sir make book avail exam also work hard get successi also proud student ekagrata 10 batch,0.981,positive
No words to express...this book is really great.. Anshul Sir we all students love you always ❤️❤️❤️,India,14-July-2022,word expressthi book realli great anshul sir student love alway ,0.8122,positive
"                    The media could not be loaded.
                



 Books are best...if anyone wants to clear ca then anshul sir is the king..",India,18-July-2022," media could loaded
 



book bestif anyon want clear ca anshul sir king",0.3818,positive
"Best book in ca foundation,paper Quality is very good,book is value for money,best book ever",India,18-July-2022,best book ca foundationpap qualiti goodbook valu moneybest book ever,0.7823,positive
"                    The media could not be loaded.
                



 Best book , thanks for hard copy sir❤️",India,15-July-2022," media could loaded
 



best book thank hard copi sir",-0.2187,negative
Thank you so much sir for this amazing books mean's a lot,India,23-July-2022,thank much sir amaz book mean lot,0.7906,positive
"BEST NOTES BY CA CS ANSHUL SIR FOR CA FOUNDATION PAPER-1 (ACCOUNTS) , THANK YOU SIR FOR HARD COPY 😇 ..",India,27-June-2022,best note ca cs anshul sir ca foundat paper1 account thank sir hard copi ,0.876,positive
this is a really awesome accounts book for CA foundation student by CA CS Anshul Aggarwal. Thanks sir for this hardcopy use code- ANSHUL ON UNACADEMY APP FOR MAXIMUM DISCOUNT,India,27-June-2022,realli awesom account book ca foundat student ca cs anshul aggarw thank sir hardcopi use code anshul unacademi app maximum discount,0.807,positive
Best book ever seen of accounting thanks for availing hard copy of your book thanks sir 😍I really admire you,India,27-June-2022,best book ever seen account thank avail hard copi book thank sir realli admir,0.9432,positive
