reviews,country,date,cleaned_reviews,sentiment_score,review_category
"I am using this airdopes past 5 days. It is equipped with our ENx Environmental Noise Cancellation tech that ensures a smooth delivery of your voice via calls and lets you be heard crystal clear. It offers a total playback time of up to 20 hours including up to 5 hours of playtime with ANC & 6 hours without ANCASAP Charge helps the earbuds to garner up to 60Min of playtime in just 10 minutes of charge.You can control the playback, summon smart voice assistant as well as adjust the volume via easy Touch Controls; so pausing or playing tracks and changing volume while you are on the move are as easy as they getGood one to Buy !",India,20-July-2022,use airdop past 5 day equip enx environment nois cancel tech ensur smooth deliveri voic via call let heard crystal clear offer total playback time 20 hour includ 5 hour playtim anc 6 hour without ancasap charg help earbud garner 60min playtim 10 minut chargey control playback summon smart voic assist well adjust volum via easi touch control paus play track chang volum move easi getgood one buy ,0.9076,positive
"Budget earphone. Moderate ANC. Sounds a bit hollow in the name of soundstage.Biggest Drawback -You would expect double tapping on the buds will allow you to switch to the next /previous track. NO. It controls volume.Essentially you keep the most accessed feature handy,which is switching tracks or play/pause. But no, this earphone gives you volume control. Who is designing the UX on these products? Completely pathetic.",India,24-July-2022,budget earphon moder anc sound bit hollow name soundstagebiggest drawback would expect doubl tap bud allow switch next previou track control volumeessenti keep access featur handywhich switch track playpaus earphon give volum control design ux product complet pathet,-0.7218,negative
"                    The media could not be loaded.
                



 Good quality true wireless earbuds. Sturdy and solid matt finish build with IPX4 water resistance rating, feels like a permium product. Sound and bass quality is awesome with ANC and ENx technology for Crystal clear calls. Any other brand fails to provide these quality features at this price range. Loved it.",India,20-July-2022," media could loaded
 



good qualiti true wireless earbud sturdi solid matt finish build ipx4 water resist rate feel like permium product sound bass qualiti awesom anc enx technolog crystal clear call brand fail provid qualiti featur price rang love",0.9061,positive
,India,24-July-2022,,0.0,neutral
"                    The media could not be loaded.
                



 Pathetic airpodes the airpodes are not working newly arrived ones. Paid a good amount and so disappointed. This was a birthday gift for my dad.",India,26-July-2022," media could loaded
 



pathet airpod airpod work newli arriv one paid good amount disappoint birthday gift dad",0.5868,positive
"The delivery was super fast .. however I found while using the earphones for 5 hours the experience was decent, the treble and bass is okayish. Definitely it is not for someone who is a gamer or loud music listener.  Good for calls and mic feature is decent at this price range, even the anc and ambient is decent. Quality is okay looks really nice. So for a budget earphones it is a good buy at 2k.P.s. you will experience a slight lag which isn't a good experience but for me it will do. I will update on a long term review.Overall a 3/5 starsTo sum upCons: slight lag , not loud bass or overall music experience,  touch and feel plastic quality is okayish.Pro: good for calls (in this price range), Anc and ambient modes are decent, good design.Battery durability and usage I will update.",India,23-July-2022,deliveri super fast howev found use earphon 5 hour experi decent trebl bass okayish definit someon gamer loud music listen good call mic featur decent price rang even anc ambient decent qualiti okay look realli nice budget earphon good buy 2kp experi slight lag isnt good experi updat long term reviewoveral 35 starsto sum upcon slight lag loud bass overal music experi touch feel plastic qualiti okayishpro good call price rang anc ambient mode decent good designbatteri durabl usag updat,0.9096,positive
"I really like this Boat 413 ANC. I was looking for a quality product at a low price. This product has satisfied me. It helps me a lot by listening to music, movies and playing games. The bass satisfied me. Awesome ANC mode and ambient sound mode. The noise cancellation feature works well. But 1 drawback is not controlling forward and backward songs.",India,25-July-2022,realli like boat 413 anc look qualiti product low price product satisfi help lot listen music movi play game bass satisfi awesom anc mode ambient sound mode nois cancel featur work well 1 drawback control forward backward song,0.815,positive
,India,24-July-2022,,0.0,neutral
"I am using poco x3 pro and the airdopes are highly compatible with my piece. The main feature is that if you keep only 1 airpod on, it will make it as the master airpod. Loved it as look, feel and quality wise and giving it 💯.",India,1-August-2022,use poco x3 pro airdop highli compat piec main featur keep 1 airpod make master airpod love look feel qualiti wise give ,0.8555,positive
"Update: I got the replacement earbuds after raising complaint. The replacement buds don't have any issues. I would rate them 5 stars.Previous review: Rated 3 stars. I would have given these 5 stars if not for the audible clicks that are heard on only right earbud whenever you stop/start playing audio. It's really annoying and I'm not sure if all buds have this this issue or just the one that i got is faulty. Apart from this, everything else about these buds are good. The charging case and buds themselves are chic and comfy with premium touch. ANC is more than sufficient and exceeds expectations at this price range. Sound quality is superb, clear and well tuned.",India,23-July-2022,updat got replac earbud rais complaint replac bud dont issu would rate 5 starsprevi review rate 3 star would given 5 star audibl click heard right earbud whenev stopstart play audio realli annoy im sure bud issu one got faulti apart everyth els bud good charg case bud chic comfi premium touch anc suffici exce expect price rang sound qualiti superb clear well tune,0.7307,positive
