reviews,country,date,cleaned_reviews,sentiment_score,review_category
"About delivery and shipping:-I am a non-prime user and I ordered this book on 16th July, 2022. It live in Jammu, Jammu and Kashmir, and it arrived in just 5 days, on 21st July, 2022. Books arrived in a sturdy package and has no damages.About book material quality:-The thing I liked the most about this Book is its paper quality, cover quality and pint quality. The paper is so thick that when I turn a page it feels  like I'm turning 2 pages.About  study material quality:-Students who are preparing for CA exams, they know that ICAI modules are essential and enough. But this book is enhanced version of ICAI module. It compresses the ICAI study material from huge scattered data to well arranged and less cluttered information which is easy and swift to understand by students and help in saving some time, which can be reinvested to do multiple revisions.Thank you ANSHUL SIR❤️",India,21-July-2022,deliveri shippingi nonprim user order book 16th juli 2022 live jammu jammu kashmir arriv 5 day 21st juli 2022 book arriv sturdi packag damagesabout book materi qualityth thing like book paper qualiti cover qualiti pint qualiti paper thick turn page feel like im turn 2 pagesabout studi materi qualitystud prepar ca exam know icai modul essenti enough book enhanc version icai modul compress icai studi materi huge scatter data well arrang less clutter inform easi swift understand student help save time reinvest multipl revisionsthank anshul sir,0.9455,positive
,India,21-July-2022,,0.0,neutral
"Anshul sir's classbook is one of the best book you could ever have! The book contains pratical problems of each chapter categorised under 3 heads - Essentials, Growth and Maturity which gives us deep understanding and complexity level of questions. Also, at the end of each chapter sir has written some quotes which motivates and keeps us going. Thankyou sir for this wonderful creation. Love you.❤️",India,22-July-2022,anshul sir classbook one best book could ever book contain pratic problem chapter categoris 3 head essenti growth matur give us deep understand complex level question also end chapter sir written quot motiv keep us go thankyou sir wonder creation love,0.9439,positive
I liked the product a lot. This is the best book for ca intermediate students. Also there's a book for ca foundation students which is also the best.thank you TAAS (The Anshul Agarwal Sir),India,23-July-2022,like product lot best book ca intermedi student also there book ca foundat student also bestthank taa anshul agarw sir,0.7906,positive
Best book,India,19-July-2022,best book,0.6369,positive
Best book ever by anshul sir which gives comfort in preparation of ca exams steadily . Very planned and best book for ca accounts exams.,India,14-July-2022,best book ever anshul sir give comfort prepar ca exam steadili plan best book ca account exam,0.9035,positive
"It covers all the thoery concepts in simple and concise manner presented in the form of colourful charts, tables and images to enhance learner's experience. All the ICAI resources like study material, RTP and PYQs are covered in the questions making it a one stop solution for entire preparation!!🥳",India,12-July-2022,cover thoeri concept simpl concis manner present form colour chart tabl imag enhanc learner experi icai resourc like studi materi rtp pyq cover question make one stop solut entir prepar,0.6988,positive
"The way of presenting the syllabus makes this book extraordinary. The quality of questions is just mind blowing. It contains questions from study mat, rtps, pyqs etc. which makes it more useful and helpful. All the important theory has been properly covered here. Thank you so much Anshul Sir for this amazing and very helpful books.",India,15-July-2022,way present syllabu make book extraordinari qualiti question mind blow contain question studi mat rtp pyq etc make use help import theori properli cover thank much anshul sir amaz help book,0.9528,positive
"This is best compliation of study material and pyq ,MTP , RTp this book  basically focuses on each types of questions Book i.e Book covers all variety of questionsThis book also contains secret formula or method of doing questions which is formulated by one and only anshul Agrawal sir",India,15-July-2022,best compliat studi materi pyq mtp rtp book basic focus type question book ie book cover varieti questionsthi book also contain secret formula method question formul one anshul agraw sir,0.6369,positive
"This book is very instresting to learn ! It make our mood to study as it is colored book & has so many unique features. [Like it covers all type of quesn ! Sm pyq rtp ,different charts ,precise info extracted from icai sm in simple lang  & then the essential growth& maturity level of quesn boost our prep & confident in subject to the next level ]  although it  has  reduced our burden of dealing with those big three modules ✨  just amazing book  Always greatful, lots of love & respect",India,22-July-2022,book instrest learn make mood studi color book mani uniqu featur like cover type quesn sm pyq rtp differ chart precis info extract icai sm simpl lang essenti growth matur level quesn boost prep confid subject next level although reduc burden deal big three modul amaz book alway great lot love respect,0.9686,positive
